branch_name	statement_id	record_unit_id	page	loci	surface_sequence	selected_card_sequence_de	application_stages_de	complete_workshop_reading_de	body_or_medical_expansion_de	apparatus_rival_de
PREPARE_CLEAR_EXTRACT	H3-S001	H3	f11r	f11r.1	tshol · schoal · cfhy · shfydaiin · cphy · shey · tchody	Blütenkraut · in Wein kochen · auswringen · für die vorgeschriebene Zeit stehen lassen · nachseihen · Klarauszug · abkühlen; Ende	auswringen → stehen lassen → nachseihen → Klarauszug	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze; Koche sie in reinem Wein; Auswringen; Für die vorgeschriebene Zeit stehen lassen; Nachseihen; Klarauszug; Lass ihn abkühlen; damit endet der erste Posten	Anwendung an der bezeichneten Körper-, Bade- oder Auflagestelle	preparation stage shared by both content models
MEASURE_TARGET_PREPARATION	H4-S004	H4	f55v	f55v.11	aiin · okal · oltchy · or · y · orain	vorgeschriebenes Maß · an die Stelle setzen · gelind erwärmen · Zubereitung · dieser Arbeitsposten · eine Portion der Zubereitung	Maß → Stelle → Wärme → Zubereitung → Portion	Vorgeschriebenes Maß; An die Stelle setzen; Erwärme sie gelinde; Zubereitung; Dieser Arbeitsposten; Eine Portion der Zubereitung	Anwendung an der bezeichneten Körper-, Bade- oder Auflagestelle	application reading possible; plant work station remains rival
HERBAL_LAY_ON	H5-S001	H5	f56r	f56r.5|f56r.7	chochor · cho · chodaly · daiin · sho · kchol · otchor · choky · dal	Pflanzenzubereitung · Pflanze · Blütebeginn · vorgeschriebenes Maß · Pflanze · auflegen · die nächste Zubereitung · den laufenden Posten einsetzen · Stelle	Pflanzenzubereitung → Maß → auflegen → Stelle	Pflanzenzubereitung; Sammle das ganze oberirdische Kraut an einem feuchten Standort; Nimm es zu Beginn der Blüte; Vorgeschriebenes Maß; Zerstoße die frischen klebrigen Blätter; Lege sie als Auflage auf; Die nächste Zubereitung; Den laufenden Posten einsetzen; Stelle	Anwendung an der bezeichneten Körper-, Bade- oder Auflagestelle	strongest Herbal application branch
HERBAL_WASH_APPLY	H5-S002	H5	f56r	f56r.8	schol · choy · choky · cheeckhody	vom vorigen Posten nehmen · waschen · den laufenden Posten einsetzen · auftragen; Schluss	voriger Posten → waschen → auftragen → Schluss	Vom vorigen Posten nehmen; Wasche die bezeichnete Stelle; Den laufenden Posten einsetzen; Trage den laufenden Posten auf; Schluss	Anwendung an der bezeichneten Körper-, Bade- oder Auflagestelle	strongest complete Herbal apply-close branch
BRIEF_WASH_CONTACT	B1-S012	B1	f81v	f81v.21	lsho · qokey · lshedy	Waschgang · kurz anlegen · waschen; Schluss	Waschgang → kurz anlegen → waschen → Schluss	Waschgang; Kurz anlegen; Waschen; Schluss	Anwendung an der bezeichneten Körper-, Bade- oder Auflagestelle	body wash and apparatus rinse are isomorphic
TARGET_HOLD_REST	B1-S016	B1	f81v	f81v.24	qokal · okeey · qol · cheedy	an die Stelle setzen · länger halten · mit Vorigem weiter · ruhen oder absetzen; Schluss	Stelle → länger halten → ruhen → Schluss	An die Stelle setzen; Länger halten; und mit dem vorigen Ansatz weiter; Ruhen oder absetzen; Schluss	Anwendung an der bezeichneten Körper-, Bade- oder Auflagestelle	targeted sustained contact
RUB_OR_COAT	B1-S018	B1	f81v	f81v.24|f81v.27	ly · dsheol · oiiin · olkeedy	Gefäß füllen · einreiben · Sollstufe · länger auffangen; Schluss	Gefäß → einreiben → Sollstufe → auffangen	Fülle danach das Gefäß; Reibe die bezeichnete Stelle ein; Sollstufe; Länger auffangen; Schluss	Anwendung an der bezeichneten Körper-, Bade- oder Auflagestelle	technical coating remains stronger local rival
TECHNICAL_INSERT	B2-S005	B2	f82r	f82r.3|f82r.4	qokaly · solkaiin · chckhy · qokaiin · qokaiin · octheol · chkeey · ldy	Posten zur Stelle setzen · Seihtuch · durch den Durchlauf führen · auf das vorgeschriebene Maß einstellen · auf das vorgeschriebene Maß einstellen · gleiche Einstellung · den laufenden Posten länger warm halten · abziehen; Ende	Stelle → Seihtuch → Durchlauf → Maß → warm halten → abziehen	Posten zur Stelle setzen; Seihtuch; Durch den Durchlauf führen; Auf das vorgeschriebene Maß einstellen; Auf das vorgeschriebene Maß einstellen; dieselbe örtliche Einstellung; Den laufenden Posten länger warm halten; Ziehe es ab und beende den Schritt	Anwendung an der bezeichneten Körper-, Bade- oder Auflagestelle	strongest apparatus branch
CLEAR_EXTRACT_APPLICATION	B2-S012	B2	f82r	f82r.19|f82r.23	lchy · cheey · qcthey · qokeey · lcheey · daiin · chey · qokeeedy	den flüssigen Anteil des laufenden Postens abziehen · Klarauszug · den laufenden Posten gebrauchsfertig halten · länger halten · benetzte Stelle · vorgeschriebenes Maß · dieser Arbeitsposten · vollständig durchtränken; Schluss	Klarauszug → länger halten → benetzte Stelle → Maß → durchtränken	Den flüssigen Anteil des laufenden Postens abziehen; Klarauszug; Den laufenden Posten gebrauchsfertig halten; Länger halten; Benetzte Stelle; Vorgeschriebenes Maß; Dieser Arbeitsposten; Vollständig durchtränken; Schluss	Anwendung an der bezeichneten Körper-, Bade- oder Auflagestelle	strongest body-contact branch
TARGET_BRIEF_INSERT	B2-S016	B2	f82r	f82r.26|f82r.27	cheal · lchedar · ches · aiin · oteey · qokaiin · okey · pchedy	Stelle · aus der Quelle hinausführen · gleiche Anteile · vorgeschriebenes Maß · den nächsten Posten länger einwirken lassen · auf das vorgeschriebene Maß einstellen · kurz anlegen · hineinführen; Schluss	Stelle → Quelle → Maß → kurz anlegen → hineinführen	Stelle; Aus der Quelle hinausführen; Zu gleichen Anteilen; Vorgeschriebenes Maß; Den nächsten Posten länger einwirken lassen; Auf das vorgeschriebene Maß einstellen; Kurz anlegen; Hineinführen; Schluss	Anwendung an der bezeichneten Körper-, Bade- oder Auflagestelle	station handling stronger than body treatment
