event_id	page	record	statement_id	locus	owner_de	owner_renderer_tray	card_no	component_recipe	semantic_layer_de	owner_expansion_de	diagnostic_fragments	renderer_rules	renderer_pieces	entry_frame	surface_selection_layer	produced_surface	observed_surface	exact_surface_match	visible_character_layers_de
E001	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	OT01	PROC001	CH+E+Y	ABNEHMEN · KURZ · DIES	den laufenden Posten kurz abnehmen	ch-e-y	ENTRY_FRAME	PREFIX:d	d	GLOBAL_CARD_FORM	dchey	dchey	YES	KOMPONENTEN=ch-e-y; RENDERER=PREFIX:d; WAHL=GLOBAL_CARD_FORM
E002	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	OT01	PROC002	CTH+O+OR	BEREIT · GANG · ANSATZ	den laufenden Posten von dort im Arbeitsgang bis bereit übertragen	cth-o-or	DIRECT	NONE	BARE	GLOBAL_CARD_FORM	cthoor	cthoor	YES	KOMPONENTEN=cth-o-or; RENDERER=NONE; WAHL=GLOBAL_CARD_FORM
E003	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	OT01	PROC003	AR	QUELLE	den laufenden Posten von dort im Arbeitsgang bis bereit übertragen	ar	ENTRY_FRAME	PREFIX:ch	ch	GLOBAL_CARD_FORM	char	char	YES	KOMPONENTEN=ar; RENDERER=PREFIX:ch; WAHL=GLOBAL_CARD_FORM
E004	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	OT01	PROC004	T+Y	EINTRAGEN · DIES	den laufenden Posten von dort im Arbeitsgang bis bereit übertragen	t-y	ENTRY_FRAME	PREFIX:ch	ch	GLOBAL_CARD_FORM	chty	chty	YES	KOMPONENTEN=t-y; RENDERER=PREFIX:ch; WAHL=GLOBAL_CARD_FORM
E005	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	OT01	PROC005	OS	FACH	den laufenden Posten im Lauf ablaufen lassen	os	DIRECT	NONE	BARE	GLOBAL_CARD_FORM	os	os	YES	KOMPONENTEN=os; RENDERER=NONE; WAHL=GLOBAL_CARD_FORM
E006	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	OT01	PROC006	CH+AIR	ABNEHMEN · LAUF	den laufenden Posten im Lauf ablaufen lassen	ch-air	DIRECT	NONE	BARE	GLOBAL_CARD_FORM	chair	chair	YES	KOMPONENTEN=ch-air; RENDERER=NONE; WAHL=GLOBAL_CARD_FORM
E007	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	OT01	PROC007	OT+Y+T+CH+OL	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN	danach den laufenden Posten weiter eintragen und abnehmen	ot-y-t-ch-ol	DIRECT	NONE	BARE	GLOBAL_CARD_FORM	otytchol	otytchol	YES	KOMPONENTEN=ot-y-t-ch-ol; RENDERER=NONE; WAHL=GLOBAL_CARD_FORM
E008	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	OT01	PROC008	OK+Y	ANSETZEN · DIES	den laufenden Posten einsetzen	ok-y	DIRECT	NONE	BARE	OWNER_CARD_DEFAULT	oky	oky	YES	KOMPONENTEN=ok-y; RENDERER=NONE; WAHL=OWNER_CARD_DEFAULT
E009	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	OT01	PROC009	AIIN	MASS	den laufenden Posten nach vorgeschriebenem Maß kurz eintragen	aiin	ENTRY_FRAME	PREFIX:d	d	GLOBAL_CARD_FORM	daiin	daiin	YES	KOMPONENTEN=aiin; RENDERER=PREFIX:d; WAHL=GLOBAL_CARD_FORM
E010	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	OT01	PROC010	E+T+Y	KURZ · EINTRAGEN · DIES	den laufenden Posten nach vorgeschriebenem Maß kurz eintragen	e-t-y	TERMINAL_ECHO	Y>END:d	BARE	GLOBAL_CARD_FORM	etyd	etyd	YES	KOMPONENTEN=e-t-y; RENDERER=Y>END:d; WAHL=GLOBAL_CARD_FORM
