group_serial	page	locus	visible_owner	namespace_id	visible_surface	before_ot	after_ot	component_parse	portable_ot_value_de	composed_short_value_de	existing_diagram_reading_de
93	f67r2	f67r2.38	A1_LEFT_LOCAL_FIELD_38	F67_LEFT_WHEEL_NS	otoldos	ROOT	oldos	OT+OL+LOCAL_DOS	FOLGEPOSTEN	Folgeposten im selben Lauf weiter	Sternplatz A1_LEFT_LOCAL_FIELD_38: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest dos.
128	f67r2	f67r2.52	A1_LEFT_OUTER_STAR_STATION_01	F67_LEFT_WHEEL_NS	qotoear	q	oear	Q_FRAME+OT+LOCAL_OE+AR	FOLGEPOSTEN	Quelladresse des Folgepostens	Sternplatz A1_LEFT_OUTER_STAR_STATION_01: naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest q/oe.
143	f67r2	f67r2.62	A1_LEFT_OUTER_STAR_STATION_11	F67_LEFT_WHEEL_NS	otolor	ROOT	olor	OT+OL+OR	FOLGEPOSTEN	Folgeposten; gleiche Reihe; neuer Bedingungsansatz	Sternplatz A1_LEFT_OUTER_STAR_STATION_11: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen + Bedingungs-, Tabellen- oder Wahlansatz.
193	f68r1	f68r1.1	A2_LEFT_PANEL_HEADER	F68_LEFT_PANEL_HEADER_NS	choteey	ch	eey	LOCAL_CH+OT+EE+Y	FOLGEPOSTEN	Folgeposten laenger halten	Sternplatz A2_LEFT_PANEL_HEADER: naechster Platz oder folgende Bedingung + lange oder volle Diagrammstufe; lokaler Namensrest ch/y.
197	f68r1	f68r1.1	A2_LEFT_PANEL_HEADER	F68_LEFT_PANEL_HEADER_NS	otor	ROOT	or	OT+OR	FOLGEPOSTEN	Bedingungsansatz des Folgepostens	Sternplatz A2_LEFT_PANEL_HEADER: naechster Platz oder folgende Bedingung + Bedingungs-, Tabellen- oder Wahlansatz.
201	f68r1	f68r1.2	A2_MIDDLE_PANEL_HEADER	F68_MIDDLE_PANEL_HEADER_NS	otchl	ROOT	chl	OT+LOCAL_CHL	FOLGEPOSTEN	lokaler CHL-Folgeposten	Sternplatz A2_MIDDLE_PANEL_HEADER: naechster Platz oder folgende Bedingung; lokaler Namensrest chl.
224	f68r1	f68r1.10	A2_STAR_STATION_02	F68_LOCAL_STAR_SLOT_NS	otcheody	ROOT	cheody	OT+LOCAL_CHEODY	FOLGEPOSTEN	lokaler CHEODY-Folgeposten	Sternplatz A2_STAR_STATION_02: naechster Platz oder folgende Bedingung; lokaler Namensrest cheody.
228	f68r1	f68r1.14	A2_STAR_STATION_06	F68_LOCAL_STAR_SLOT_NS	otshey	ROOT	shey	OT+SHEY	FOLGEPOSTEN	naechster freigegebener Wert	Sternplatz A2_STAR_STATION_06: naechster Platz oder folgende Bedingung + abgelesener oder freigegebener Wert.
240	f68r1	f68r1.26	A2_STAR_STATION_18	F68_LOCAL_STAR_SLOT_NS	otor	ROOT	or	OT+OR	FOLGEPOSTEN	Bedingungsansatz des Folgepostens	Sternplatz A2_STAR_STATION_18: naechster Platz oder folgende Bedingung + Bedingungs-, Tabellen- oder Wahlansatz.
249	f68r1	f68r1.35	A2_STAR_STATION_27	F68_LOCAL_STAR_SLOT_NS	otochedy	ROOT	ochedy	OT+LOCAL_O+CHED+Y	FOLGEPOSTEN	naechsten Posten uebertragen	Sternplatz A2_STAR_STATION_27: naechster Platz oder folgende Bedingung + Wert oder Platzbezug uebertragen; lokaler Namensrest o/y.
258	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	otaza	ROOT	aza	OT+LOCAL_AZA	FOLGEPOSTEN	lokaler AZA-Folgeposten	Radstelle A3_LEFT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung; lokaler Namensrest aza.
268	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	otokeeey	ROOT	okeeey	OT+OK+EE+Y	FOLGEPOSTEN	Folgeposten laenger einsetzen	Radstelle A3_LEFT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; lokaler Namensrest y.
275	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	ot	ROOT	ROOT	OT	FOLGEPOSTEN	Folgeposten	Radstelle A3_LEFT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung.
290	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	oteeo	ROOT	eeo	OT+EE+LOCAL_O	FOLGEPOSTEN	lokalen Folgeposten laenger halten	Radstelle A3_LEFT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + lange oder volle Diagrammstufe; lokaler Namensrest o.
335	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	otaldal	ROOT	aldal	OT+AL+LOCAL_D+AL	FOLGEPOSTEN	Folgeposten an die bezeichnete Ziel-Unteradresse	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest d.
338	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	otoar	ROOT	oar	OT+LOCAL_O+AR	FOLGEPOSTEN	Quelladresse des Folgepostens	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest o.
341	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	qoteor	q	eor	Q_FRAME+OT+E+OR	FOLGEPOSTEN	kurzer Bedingungsansatz des Folgepostens	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest q/e.
343	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	qotair	q	air	Q_FRAME+OT+AIR	FOLGEPOSTEN	Laufbahn des Folgepostens	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest q.
345	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	oteeal	ROOT	eeal	OT+EE+AL	FOLGEPOSTEN	Folgeposten laenger an der Zieladresse halten	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + lange oder volle Diagrammstufe + Zielsektor, Zielstern oder Zielfeld.
349	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	oteody	ROOT	eody	OT+LOCAL_EODY	FOLGEPOSTEN	lokaler EODY-Folgeposten	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung; lokaler Namensrest eody.
353	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	otoly	ROOT	oly	OT+OL+Y	FOLGEPOSTEN	diesen Folgeposten im selben Lauf weiterfuehren	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest y.
355	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	oteoarar	ROOT	eoarar	OT+LOCAL_EO+AR+AR	FOLGEPOSTEN	Folgeposten mit doppelter Quelladresse	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest eo.
373	f69v	f69v.12	A3_LEFT_RADIAL_SLOT_09	F69_LEFT_WHEEL_NS	otody	ROOT	ody	OT+LOCAL_ODY	FOLGEPOSTEN	lokaler ODY-Folgeposten	Radstelle A3_LEFT_RADIAL_SLOT_09: naechster Platz oder folgende Bedingung; lokaler Namensrest ody.
376	f69v	f69v.15	A3_LEFT_RADIAL_SLOT_12	F69_LEFT_WHEEL_NS	oteeys	ROOT	eeys	OT+EE+LOCAL_YS	FOLGEPOSTEN	lokalen Folgeposten laenger halten	Radstelle A3_LEFT_RADIAL_SLOT_12: naechster Platz oder folgende Bedingung + lange oder volle Diagrammstufe; lokaler Namensrest ys.
377	f69v	f69v.16	A3_LEFT_RADIAL_SLOT_13	F69_LEFT_WHEEL_NS	oteol	ROOT	eol	OT+E+OL	FOLGEPOSTEN	Folgeposten kurz im selben Lauf weiterfuehren	Radstelle A3_LEFT_RADIAL_SLOT_13: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest e.
385	f69v	f69v.24	A3_LEFT_RADIAL_SLOT_21	F69_LEFT_WHEEL_NS	otchy	ROOT	chy	OT+CHY	FOLGEPOSTEN	diesen Folgeposten bearbeiten	Radstelle A3_LEFT_RADIAL_SLOT_21: naechster Platz oder folgende Bedingung; lokaler Namensrest chy.
