order	event_id	statement_id	surface	drawer	small_value_de	owner_zone
1	E167	B2-S001	dchedy	B1_TRANSFER	überführen; Schluss	B2_ZONE_A_UPPER_STATIONS
2	E168	B2-S002	qolchedy	B1_TRANSFER	weiterführen; Schluss	B2_ZONE_A_UPPER_STATIONS
3	E169	B2-S003	qokain	B1_TRANSFER	eine Portion zugeben	B2_ZONE_A_UPPER_STATIONS
4	E170	B2-S003	dy	B1_TRANSFER	dies	B2_ZONE_A_UPPER_STATIONS
5	E171	B2-S003	qokeedy	B2_PRODUCTIVE_COMPOSITION	länger ansetzen; Schluss	B2_ZONE_A_UPPER_STATIONS
6	E172	B2-S004	qokal	B1_TRANSFER	an die Stelle setzen	B2_ZONE_A_UPPER_STATIONS
7	E173	B2-S004	lcheckhy	B2_PRODUCTIVE_COMPOSITION	dies zum Durchlass führen	B2_ZONE_A_UPPER_STATIONS
8	E174	B2-S004	lched	B2_PRODUCTIVE_COMPOSITION	hinausführen	B2_ZONE_A_UPPER_STATIONS
9	E175	B2-S004	qokeey	B1_TRANSFER	länger ansetzen	B2_ZONE_A_UPPER_STATIONS
10	E176	B2-S004	lcheckhedy	B2_PRODUCTIVE_COMPOSITION	hinaus seihen; Schluss	B2_ZONE_A_UPPER_STATIONS
11	E177	B2-S005	qokaly	B2_PRODUCTIVE_COMPOSITION	dies an die Stelle setzen	B2_ZONE_A_UPPER_STATIONS
12	E178	B2-S005	solkaiin	B2_LOCAL_WHOLE_CARD	Seihtuch	B2_ZONE_A_UPPER_STATIONS
13	E179	B2-S005	chckhy	B1_TRANSFER	durchführen	B2_ZONE_A_UPPER_STATIONS
14	E180	B2-S005	qokaiin	B1_TRANSFER	bemessen	B2_ZONE_A_UPPER_STATIONS
15	E181	B2-S005	qokaiin	B1_TRANSFER	bemessen	B2_ZONE_A_UPPER_STATIONS
16	E182	B2-S005	octheol	B2_LOCAL_WHOLE_CARD	gleiche Einstellung	B2_ZONE_A_UPPER_STATIONS
17	E183	B2-S005	chkeey	B2_PRODUCTIVE_COMPOSITION	dies länger wärmen	B2_ZONE_A_UPPER_STATIONS
18	E184	B2-S005	ldy	B2_PRODUCTIVE_COMPOSITION	abführen; Schluss	B2_ZONE_A_UPPER_STATIONS
19	E185	B2-S006	oteey	B2_PRODUCTIVE_COMPOSITION	nächsten Posten länger halten	B2_ZONE_A_UPPER_STATIONS
20	E186	B2-S006	qokal	B1_TRANSFER	an die Stelle setzen	B2_ZONE_A_UPPER_STATIONS
21	E187	B2-S006	sheckhy	B2_PRODUCTIVE_COMPOSITION	dies kurz durchführen	B2_ZONE_A_UPPER_STATIONS
22	E188	B2-S006	qoky	B1_TRANSFER	verwende dies	B2_ZONE_A_UPPER_STATIONS
23	E189	B2-S007	dshedy	B2_LOCAL_WHOLE_CARD	Frischwasser; Schluss	B2_ZONE_B_SIDE_POOL
24	E190	B2-S008	sotaiin	B2_PRODUCTIVE_COMPOSITION	nächstes Maß	B2_ZONE_B_SIDE_POOL
