event_id	statement_id	page	visible_owner	source_instruction_de	encoded_master_card_id	renderer_choice_count	actual_visible_surface	decoded_master_card_id	decoded_instruction_de	master_roundtrip	instruction_roundtrip	terminal_status
E001	H1-S001	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Wurzel	MC071	1	dchey	MC071	Wurzel	PASS	PASS	NONCLOSE
E002	H1-S001	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	den Ansatz bereitstellen	MC158	1	cthoor	MC158	den Ansatz bereitstellen	PASS	PASS	NONCLOSE
E003	H1-S001	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	davon	MC055	3	char	MC055	davon	PASS	PASS	NONCLOSE
E004	H1-S001	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Teil	MC086	2	chty	MC086	Teil	PASS	PASS	NONCLOSE
E005	H1-S001	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	AUFNAHMEFELD_ODER_UMSCHLUSS	MC159	1	os	MC159	AUFNAHMEFELD_ODER_UMSCHLUSS	PASS	PASS	NONCLOSE
E006	H1-S001	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	laufendes Medium zugießen	MC014	1	chair	MC014	laufendes Medium zugießen	PASS	PASS	NONCLOSE
E007	H1-S001	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Folgeteil	MC069	1	otytchol	MC069	Folgeteil	PASS	PASS	NONCLOSE
E008	H1-S001	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	einsetzen	MC026	3	oky	MC026	einsetzen	PASS	PASS	NONCLOSE
E009	H1-S001	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Sollmaß	MC039	5	daiin	MC039	Sollmaß	PASS	PASS	NONCLOSE
E010	H1-S001	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	kleiner Rest	MC108	1	etyd	MC108	kleiner Rest	PASS	PASS	NONCLOSE
E011	H1-S002	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	den laufenden Posten einsetzen und weiterbearbeiten	MC103	3	qokchy	MC103	den laufenden Posten einsetzen und weiterbearbeiten	PASS	PASS	NONCLOSE
E012	H1-S002	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	zum Folgegang wechseln	MC163	1	qotchol	MC163	zum Folgegang wechseln	PASS	PASS	NONCLOSE
E013	H1-S002	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	weiter	MC153	6	chol	MC153	weiter	PASS	PASS	NONCLOSE
E014	H1-S002	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	bereit	MC161	3	cthy	MC161	bereit	PASS	PASS	NONCLOSE
