statement_id	record_unit_id	page	connective_de	owner_trace	atomic_card_chain_de	atomic_apprentice_clause_de	dictionary_layer
B1-S001	B1	f81v	Besitzer »gemeinsames zweireihiges Figuren-/Beckenfeld«:	gemeinsames zweireihiges Figuren-/Beckenfeld	kurz einwirken; Schluss	Besitzer »gemeinsames zweireihiges Figuren-/Beckenfeld«: kurz einwirken; Schluss.	SHARED_DECK_PLUS_ATOMIC_BIO_NOMENCLATOR
B1-S002	B1	f81v	Neuer Schritt:	gemeinsames zweireihiges Figuren-/Beckenfeld	bemessen | Beckenlauf | dorthin einsetzen | davon | weiter | Anteil | weiterer Anteil | dorthin | weiter | Anschluss | Zusatz | derselbe Ansatz | weiter | Kurze Zielpassage | Sollmaß | Langer Zieleinsatz | Sollmaß | durchleiten | überführen; Schluss	Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	SHARED_DECK_PLUS_ATOMIC_BIO_NOMENCLATOR
B1-S003	B1	f81v	Neuer Schritt:	gemeinsames zweireihiges Figuren-/Beckenfeld	weiter | Haltetransfer; Schluss	Neuer Schritt: weiter — Haltetransfer; Schluss.	SHARED_DECK_PLUS_ATOMIC_BIO_NOMENCLATOR
B1-S004	B1	f81v	Neuer Schritt:	gemeinsames zweireihiges Figuren-/Beckenfeld	überführen | weiter | kurz absetzen; Schluss	Neuer Schritt: überführen — weiter — kurz absetzen; Schluss.	SHARED_DECK_PLUS_ATOMIC_BIO_NOMENCLATOR
B1-S005	B1	f81v	Neuer Schritt:	gemeinsames zweireihiges Figuren-/Beckenfeld	weiterführen; Schluss	Neuer Schritt: weiterführen; Schluss.	SHARED_DECK_PLUS_ATOMIC_BIO_NOMENCLATOR
B1-S006	B1	f81v	Neuer Schritt:	gemeinsames zweireihiges Figuren-/Beckenfeld	Anteil zugeben | durchleiten | Zusatz | Zielmarke	Neuer Schritt: Anteil zugeben — durchleiten — Zusatz — Zielmarke.	SHARED_DECK_PLUS_ATOMIC_BIO_NOMENCLATOR
B1-S007	B1	f81v	am offenen Ziel in die Überführung weiter:	gemeinsames zweireihiges Figuren-/Beckenfeld	einführen; Schluss	am offenen Ziel in die Überführung weiter: einführen; Schluss.	SHARED_DECK_PLUS_ATOMIC_BIO_NOMENCLATOR
B1-S008	B1	f81v	Neuer Schritt:	gemeinsames zweireihiges Figuren-/Beckenfeld	dies | weiter | kurz wärmen | weiter | kurz absetzen; Schluss	Neuer Schritt: dies — weiter — kurz wärmen — weiter — kurz absetzen; Schluss.	SHARED_DECK_PLUS_ATOMIC_BIO_NOMENCLATOR
B1-S009	B1	f81v	Neuer Schritt:	gemeinsames zweireihiges Figuren-/Beckenfeld	kurz einwirken; Schluss	Neuer Schritt: kurz einwirken; Schluss.	SHARED_DECK_PLUS_ATOMIC_BIO_NOMENCLATOR
B1-S010	B1	f81v	Neuer Schritt:	gemeinsames zweireihiges Figuren-/Beckenfeld	kurz einwirken; Schluss	Neuer Schritt: kurz einwirken; Schluss.	SHARED_DECK_PLUS_ATOMIC_BIO_NOMENCLATOR
