visible_surface	concrete_default_de	occurrence_count	event_ids	pages	records	owners	dictionary_layers	value_invariant_across_all_occurrences
aiin	Sollwert	2	E217|E369	f82r|f83r	B2|B5	lokale Randstationen des unteren Feldes | linker offener Fransen-Endposten	BASE_CURRICULUM|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
al	dorthin	1	E109	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
chal	dorthin	1	E166	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
char	davon	1	E199	f82r	B2	ungelöste mittlere rechte Linie-/Liegepodeststation	BASE_CURRICULUM	YES
chary	Quellposten	1	E253	f83r	B3	untere korbartige Gefäß-Randstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
chckhal	Zielpassage	1	E355	f83r	B4	linke offene Fransen-/Unterlaufstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
chckhy	durchleiten	3	E119|E139|E179	f81v|f82r	B1|B2	gemeinsames zweireihiges Figuren-/Beckenfeld | obere Paarbecken-/Zylinderstation	BASE_CURRICULUM	YES
chdal	Zieltransfer	1	E368	f83r	B5	linker offener Fransen-Endposten	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
chdy	überführen	1	E342	f83r	B4	linke offene Fransen-/Unterlaufstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
cheal	dorthin	1	E214	f82r	B2	lokale Randstationen des unteren Feldes	BASE_CURRICULUM	YES
chealror	Zielbereitung	1	E290	f83r	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
checthy	bereit	2	E289|E310	f83r	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar | Hauptpaar am sichtbaren ungerichteten Bogen	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
chedain	Anteilstransfer	1	E303	f83r	B3	Hauptpaar am sichtbaren ungerichteten Bogen	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
chedchy	Postentransfer	1	E240	f83r	B3	mittlere runde Gefäß-Randstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
chedy	überführen	9	E123|E145|E244|E252|E287|E304|E319|E328|E372	f81v|f83r	B1|B3|B4|B5	gemeinsames zweireihiges Figuren-/Beckenfeld | mittlere runde Gefäß-Randstation | untere korbartige Gefäß-Randstation | ungelöster Zwischenposten zwischen Randstapel und Hauptpaar | Hauptpaar am sichtbaren ungerichteten Bogen | linker offener Fransen-Endposten	BASE_CURRICULUM|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
cheedar	Quelltransfer	1	E285	f83r	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
cheedy	kurz absetzen; Schluss	1	E155	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
cheeety	Vollteil	1	E296	f83r	B3	Hauptpaar am sichtbaren ungerichteten Bogen	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
