statement_id	page	record_unit_id	visible_owner	event_ids	visible_sequence	lesson_two_value_chain	revised_master_dictation_de	statement_status
B1-S001	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E101	qokedy	kurz einwirken; Schluss	Kurz einwirken lassen; Schluss.	UNCHANGED
B1-S002	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	bemessen | Beckenlauf | dorthin einsetzen | davon | weiter | Portion | weiterer Anteil | dorthin | weiter | Anschluss | BADZUSATZ | derselbe Ansatz | weiter | Kurze Zielpassage | Sollwert | Langer Zieleinsatz | Sollwert | durchleiten | überführen; Schluss	Den Beckenlauf bemessen, am Ziel einsetzen und davon Portion und weiteren Anteil weiterführen; Badzusatz aus demselben Ansatz zugeben, auf Sollwert durch den Lauf überführen; Schluss.	REVISED_WHOLE_SIGN_READING
B1-S003	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E121|E122	qol sshkchdy	weiter | SCHWENKEN; SCHLUSS	Weiterführen, schwenken; Schluss.	REVISED_WHOLE_SIGN_READING
B1-S004	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E123|E124|E125	chedy ol shedy	überführen | weiter | kurz absetzen; Schluss	Überführen, weiterführen und kurz absetzen lassen; Schluss.	UNCHANGED
B1-S005	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E126	qolchedy	weiterführen; Schluss	Weiterführen; Schluss.	UNCHANGED
B1-S006	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E127|E128|E129|E130	qokain shckhy dl ral	Anteil zugeben | durchleiten | BADZUSATZ | Zielmarke	Einen Anteil zugeben, durch den Lauf führen und den Badzusatz an die Zielmarke bringen.	REVISED_WHOLE_SIGN_READING
B1-S007	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E131	qokchdy	einführen; Schluss	In die offene Zielstelle einführen; Schluss.	UNCHANGED
B1-S008	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E132|E133|E134|E135|E136	chey ol cheky ol shedy	dies | weiter | kurz wärmen | weiter | kurz absetzen; Schluss	Diesen Posten weiterführen, kurz wärmen, nochmals weiterführen und kurz absetzen lassen; Schluss.	UNCHANGED
B1-S009	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E137	qokedy	kurz einwirken; Schluss	Kurz einwirken lassen; Schluss.	UNCHANGED
B1-S010	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E138	qokedy	kurz einwirken; Schluss	Kurz einwirken lassen; Schluss.	UNCHANGED
B1-S011	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E139|E140	chckhy qoky	durchleiten | einsetzen	Durch den verbundenen Gang leiten und einsetzen.	UNCHANGED
B1-S012	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E141|E142|E143	lsho qokey lshedy	Waschgang | kurz einwirken | Waschgang; Schluss	Waschen, kurz einwirken lassen und nochmals waschen; Schluss.	UNCHANGED
B1-S013	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E144	lshedy	Waschgang; Schluss	Einen Waschgang ausführen; Schluss.	UNCHANGED
B1-S014	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E145|E146|E147|E148|E149	chedy qolky lchedal qol otar	überführen | Weiterweg | Zielabführung | weiter | Folgequelle	Überführen, über den Weiterweg an der Zielstelle abführen und zur Folgequelle weitergehen.	UNCHANGED
B1-S015	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E150|E151	ytey okchedy	FÜLLEN | einführen; Schluss	Die Schale füllen und den Ansatz einführen; Schluss.	REVISED_WHOLE_SIGN_READING
B1-S016	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E152|E153|E154|E155	qokal okeey qol cheedy	dorthin einsetzen | lange einwirken | weiter | kurz absetzen; Schluss	Am Ziel einsetzen, länger einwirken lassen, weiterführen und kurz absetzen lassen; Schluss.	UNCHANGED
B1-S017	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E156|E157|E158	sal teol dchdy	dorthin | kurz weiterführen | Transfer; Schluss	Dorthin bringen, kurz weiterführen und übertragen; Schluss.	UNCHANGED
B1-S018	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E159|E160|E161|E162	ly dsheol oiiin olkeedy	AUFFANGSCHALE | Kurzhalt | Arbeitsstufe | lange sammeln; Schluss	In der Auffangschale kurz halten, die Arbeitsstufe setzen und länger sammeln; Schluss.	REVISED_WHOLE_SIGN_READING
B1-S019	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E163	tedy	kurz absetzen; Schluss	Kurz absetzen lassen; Schluss.	UNCHANGED
B1-S020	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E164|E165	cheky shckhedy	kurz wärmen | durchlassen; Schluss	Kurz wärmen und durchlassen; Schluss.	UNCHANGED
B1-S021	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E166	chal	dorthin	Dorthin bringen.	UNCHANGED
B2-S001	f82r	B2	obere Paarbecken-/Zylinderstation	E167	dchedy	überführen; Schluss	In die obere Paarbeckenstation überführen; Schluss.	UNCHANGED
B2-S002	f82r	B2	obere Paarbecken-/Zylinderstation	E168	qolchedy	weiterführen; Schluss	Durch die obere Station weiterführen; Schluss.	UNCHANGED
B2-S003	f82r	B2	obere Paarbecken-/Zylinderstation	E169|E170|E171	qokain dy qokeedy	Anteil zugeben | dies | lange einwirken; Schluss	Einen Anteil zugeben, diesen Posten länger einwirken lassen; Schluss.	UNCHANGED
B2-S004	f82r	B2	obere Paarbecken-/Zylinderstation	E172|E173|E174|E175|E176	qokal lcheckhy lched qokeey lcheckhedy	dorthin einsetzen | Abführpassage | Abführung | lange einwirken | Trennabzug; Schluss	Am Ziel einsetzen, durchleiten, abführen, länger einwirken und getrennt abziehen; Schluss.	UNCHANGED
B2-S005	f82r	B2	obere Paarbecken-/Zylinderstation	E177|E178|E179|E180|E181|E182|E183|E184	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	Zieleinsatz | Sollsammlung | durchleiten | bemessen | bemessen | Fortsetzung vorbereiten | Langwärmen | abziehen; Schluss	Am Ziel einsetzen, bis zum Soll sammeln, durchleiten, zweimal bemessen, die Fortsetzung vorbereiten, länger wärmen und abziehen; Schluss.	UNCHANGED
B2-S006	f82r	B2	obere Paarbecken-/Zylinderstation	E185|E186|E187|E188	oteey qokal sheckhy qoky	Langfolge | dorthin einsetzen | Kurzpassage | einsetzen	Die lange Folge ausführen, dorthin einsetzen, durch die kurze Passage führen und einsetzen.	UNCHANGED
B2-S007	f82r	B2	mittlere linke Geräte-/Inline-Knotenstation	E189	dshedy	Frischwasser zugeben; Schluss	An der mittleren linken Knotenstation Frischwasser zugeben; Schluss.	UNCHANGED
B2-S008	f82r	B2	mittlere linke Geräte-/Inline-Knotenstation	E190|E191|E192	sotaiin qokar shedy	Folgemaß | Quelleinsatz | kurz absetzen; Schluss	Das Folgemaß aus der Quelle einsetzen und kurz absetzen lassen; Schluss.	UNCHANGED
B2-S009	f82r	B2	mittlere linke Geräte-/Inline-Knotenstation	E193	solshedy	Folgeabsetzen; Schluss	Den Folgeposten absetzen lassen; Schluss.	UNCHANGED
B2-S010	f82r	B2	mittlere linke Geräte-/Inline-Knotenstation	E194|E195|E196|E197	qokeey qoky ls cheey	lange einwirken | einsetzen | DÜSE | Ergebnis	Länger einwirken lassen, einsetzen und an der Düse das Ergebnis abnehmen.	REVISED_WHOLE_SIGN_READING
B2-S011	f82r	B2	ungelöste mittlere rechte Linie-/Liegepodeststation	E198|E199|E200|E201	okain char okain qokeedy	Anteil zugeben | davon | Anteil zugeben | lange einwirken; Schluss	Anteil zugeben, davon Anteil zugeben und länger einwirken; Schluss.	UNCHANGED
B2-S012	f82r	B2	ungelöste mittlere rechte Linie-/Liegepodeststation	E202|E203|E204|E205|E206|E207|E208|E209	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	Abführgut | Ergebnis | kurz vorbereiten | lange einwirken | Klarabzug | Sollwert | dies | Volleinsatz; Schluss	Abführgut auf Ergebnis kurz vorbereiten, länger einwirken, klar abziehen, auf Sollwert bringen und vollständig einsetzen; Schluss.	UNCHANGED
B2-S013	f82r	B2	unteres grünes Mehrfigurenfeld	E210	lchedy	abführen; Schluss	In das untere grüne Mehrfigurenfeld abführen; Schluss.	UNCHANGED
B2-S014	f82r	B2	unteres grünes Mehrfigurenfeld	E211	lar	Quellabzug	Aus der Quelle abziehen.	UNCHANGED
B2-S015	f82r	B2	lokale Randstationen des unteren Feldes	E212|E213	tshey qokeedy	Folgeklarlauf | lange einwirken; Schluss	An der lokalen Randstation den Folgeklarlauf länger einwirken lassen; Schluss.	UNCHANGED
B2-S016	f82r	B2	lokale Randstationen des unteren Feldes	E214|E215|E216|E217|E218|E219|E220|E221	cheal lchedar ches aiin oteey qokaiin okey pchedy	dorthin | Quellabführung | GLEICHTEILEN | Sollwert | Langfolge | bemessen | kurz einwirken | Zuführung; Schluss	Zum Ziel führen, von der Quelle abführen, gleichteilen, auf Sollwert bringen, die Folge bemessen, kurz einwirken und zuführen; Schluss.	REVISED_WHOLE_SIGN_READING
B2-S017	f82r	B2	lokale Randstationen des unteren Feldes	E222|E223	rsheal daldy	Kurzhalt am Ziel | Zielschluss	Am Ziel kurz halten und den Zielschritt schließen.	UNCHANGED
B2-S018	f82r	B2	lokale Randstationen des unteren Feldes	E224	qokeedy	lange einwirken; Schluss	Länger einwirken lassen; Schluss.	UNCHANGED
B2-S019	f82r	B2	lokale Randstationen des unteren Feldes	E225	rshedy	Vollwaschung; Schluss	Eine Vollwaschung ausführen; Schluss.	UNCHANGED
B2-S020	f82r	B2	lokale Randstationen des unteren Feldes	E226	qoteedy	lange Folgestufe; Schluss	Die folgende Stufe länger halten; Schluss.	UNCHANGED
B2-S021	f82r	B2	lokale Randstationen des unteren Feldes	E227	qokeedy	lange einwirken; Schluss	Länger einwirken lassen; Schluss.	UNCHANGED
B2-S022	f82r	B2	lokale Randstationen des unteren Feldes	E228	lochedy	Abführung; Schluss	Abführen; Schluss.	UNCHANGED
