left_root	right_root	component_recipe	literal_prediction_de	status	events	surfaces	pages
OK	Y	OK+Y	SETZEN · POSTEN	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
OK	AIN	OK+AIN	SETZEN · PORTION	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
OK	AIIN	OK+AIIN	SETZEN · MASS	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
OK	AL	OK+AL	SETZEN · ZIEL	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
OK	AR	OK+AR	SETZEN · QUELLE	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
OK	AIR	OK+AIR	SETZEN · LAUF	BELEGT	2	okair|qokair	f75r|f83r
OK	OR	OK+OR	SETZEN · ANSATZ	BELEGT	3	chokor|qokor	f56r|f88r
OK	CTH	OK+CTH	SETZEN · BEREIT	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
OT	Y	OT+Y	DANACH · POSTEN	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
OT	AIN	OT+AIN	DANACH · PORTION	BELEGT	4	otain|qotain	f75r|f81v|f82r
OT	AIIN	OT+AIIN	DANACH · MASS	BELEGT	5	otaiin|qotaiin	f82r|f83r
OT	AL	OT+AL	DANACH · ZIEL	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
OT	AR	OT+AR	DANACH · QUELLE	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
OT	AIR	OT+AIR	DANACH · LAUF	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
OT	OR	OT+OR	DANACH · ANSATZ	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
OT	CTH	OT+CTH	DANACH · BEREIT	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
S	Y	S+Y	AUSWÄHLEN · POSTEN	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
S	AIN	S+AIN	AUSWÄHLEN · PORTION	BELEGT	9	sain	f67r2|f75r|f82r|f83r
S	AIIN	S+AIIN	AUSWÄHLEN · MASS	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
S	AL	S+AL	AUSWÄHLEN · ZIEL	BELEGT	4	sal	f67r2|f75r|f81v|f82r
S	AR	S+AR	AUSWÄHLEN · QUELLE	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
S	AIR	S+AIR	AUSWÄHLEN · LAUF	BELEGT	1	sair	f83r
S	OR	S+OR	AUSWÄHLEN · ANSATZ	BELEGT	5	sor	f10r|f67r2|f75r|f83r
S	CTH	S+CTH	AUSWÄHLEN · BEREIT	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
CH	Y	CH+Y	NEHMEN · POSTEN	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
CH	AIN	CH+AIN	NEHMEN · PORTION	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
CH	AIIN	CH+AIIN	NEHMEN · MASS	BELEGT	4	chaiin	f10r|f11r|f55v
CH	AL	CH+AL	NEHMEN · ZIEL	BELEGT	3	chal	f56r|f75r|f81v
CH	AR	CH+AR	NEHMEN · QUELLE	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
