fragment_id	source_case	surviving_cards	source_positions	surface_fragment	card_fragment	matching_cases	matching_case_count	unique_case_recovery	owner_or_margin_needed	shared_commands_de	resolution_rule_de
C1_K1_01	C1	1	1	qokaiin	PROC038	C1|C3|C4|C5	4	NO	YES	ANSETZEN · MASS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C1_K1_04	C1	1	4	qokal	PROC048	C1|C2|C3|C4	4	NO	YES	ANSETZEN · ZIEL	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C1_K1_05	C1	1	5	shey	PROC031	C1|C3	2	NO	YES	HALTEN · LANG · DIES	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C1_K1_06	C1	1	6	shedy	PROC078	C1|C3|C5	3	NO	YES	ABSETZEN; SCHLUSS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C1_K2_03	C1	2	1|4	qokaiin qokal	PROC038|PROC048	C1|C3|C4	3	NO	YES	ANSETZEN · MASS / ANSETZEN · ZIEL	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C1_K2_04	C1	2	1|5	qokaiin shey	PROC038|PROC031	C1|C3	2	NO	YES	ANSETZEN · MASS / HALTEN · LANG · DIES	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C1_K2_05	C1	2	1|6	qokaiin shedy	PROC038|PROC078	C1|C3|C5	3	NO	YES	ANSETZEN · MASS / ABSETZEN; SCHLUSS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C1_K2_13	C1	2	4|5	qokal shey	PROC048|PROC031	C1|C3	2	NO	YES	ANSETZEN · ZIEL / HALTEN · LANG · DIES	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C1_K2_14	C1	2	4|6	qokal shedy	PROC048|PROC078	C1|C3	2	NO	YES	ANSETZEN · ZIEL / ABSETZEN; SCHLUSS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C1_K2_15	C1	2	5|6	shey shedy	PROC031|PROC078	C1|C3	2	NO	YES	HALTEN · LANG · DIES / ABSETZEN; SCHLUSS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C1_K3_08	C1	3	1|4|5	qokaiin qokal shey	PROC038|PROC048|PROC031	C1|C3	2	NO	YES	ANSETZEN · MASS / ANSETZEN · ZIEL / HALTEN · LANG · DIES	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C1_K3_09	C1	3	1|4|6	qokaiin qokal shedy	PROC038|PROC048|PROC078	C1|C3	2	NO	YES	ANSETZEN · MASS / ANSETZEN · ZIEL / ABSETZEN; SCHLUSS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C1_K3_10	C1	3	1|5|6	qokaiin shey shedy	PROC038|PROC031|PROC078	C1|C3	2	NO	YES	ANSETZEN · MASS / HALTEN · LANG · DIES / ABSETZEN; SCHLUSS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C1_K3_20	C1	3	4|5|6	qokal shey shedy	PROC048|PROC031|PROC078	C1|C3	2	NO	YES	ANSETZEN · ZIEL / HALTEN · LANG · DIES / ABSETZEN; SCHLUSS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
