group_serial	diagram_id	page	locus	event_index	opaque_local_id	surface	visible_owner	local_namespace	transfer_status	exact_prose_joint_tuple_id	selected_component_parse	candidate_workshop_value_de	parse_alternatives	owner_and_namespace_preserved	cross_instrument_join	previous_candidate_value_de	atomic_common_root_value_de	common_root_revision	ambiguity_resolution_rule	label_frame_resolution_rule	address_core_resolution_rule	nomenclator_resolution	previous_atomic_value_de	common_action_revision
1	A1	f67r2	f67r2.1	1	A1:G001	ykshy	A1_RIGHT_SECTOR_SLOT_01	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	Y+K+Y	dies + zufuehren + dies	NONE	YES	NONE	dies + zufuehren + dies	dies + zufuehren + dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + dies	NO
2	A1	f67r2	f67r2.1	2	A1:G002	s	A1_RIGHT_SECTOR_SLOT_01	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LABEL_FRAME_RESOLVED_COMPONENT_SEQUENCE	NONE	S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Sternbezug	NO	NOT_REQUIRED	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL	NOT_APPLIED	NOT_REQUIRED	Sternbezug	NO
3	A1	f67r2	f67r2.1	3	A1:G003	aram	A1_RIGHT_SECTOR_SLOT_01	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	AR+AM_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	von dort + Gegenfeld	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	von dort + Gegenfeld	NO
4	A1	f67r2	f67r2.2	1	A1:G004	ykecho	A1_RIGHT_SECTOR_SLOT_02	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	Y+K+E+HO	dies + zufuehren + kurz + Zutat	NONE	YES	NONE	dies + zufuehren + kurz + Zutat	dies + zufuehren + kurz + Gabe	YES	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + kurz + Gabe	NO
5	A1	f67r2	f67r2.2	2	A1:G005	ols	A1_RIGHT_SECTOR_SLOT_02	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	O+LS	Arbeitsgang + abfuehren	NONE	YES	NONE	Arbeitsgang + abfuehren	Arbeitsgang + hinausfuehren	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Arbeitsgang + abfuehren	YES
6	A1	f67r2	f67r2.2	3	A1:G006	eesydy	A1_RIGHT_SECTOR_SLOT_02	A67_RIGHT_CELESTIAL_WHEEL	POSITION_RESOLVED_COMPONENT_SEQUENCE	NONE	EE+Y+DY	ASTRO_LOCAL_LABEL_PENDING_CHOICE	EE+Y+DY || EE+Y+Y	YES	NONE	ASTRO_LOCAL_LABEL_PENDING_CHOICE	laenger + dies + Schluss	NO	LOCUS_FINAL_OR_SINGLETON_TAKES_LICENSED_ENDPOINT	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	laenger + dies + Schluss	NO
7	A1	f67r2	f67r2.3	1	A1:G007	ey	A1_RIGHT_SECTOR_SLOT_03	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	E+Y	kurz + dies	NONE	YES	NONE	kurz + dies	kurz + dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	kurz + dies	NO
8	A1	f67r2	f67r2.3	2	A1:G008	shs	A1_RIGHT_SECTOR_SLOT_03	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LABEL_FRAME_RESOLVED_COMPONENT_SEQUENCE	NONE	SH+S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	halten + Sternbezug	NO	NOT_REQUIRED	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL	NOT_APPLIED	NOT_REQUIRED	halten + Sternbezug	NO
9	A1	f67r2	f67r2.3	3	A1:G009	okar	A1_RIGHT_SECTOR_SLOT_03	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	OK+AR	ansetzen + von dort	NONE	YES	NONE	ansetzen + von dort	ansetzen + von dort	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	ansetzen + von dort	NO
10	A1	f67r2	f67r2.4	1	A1:G010	shekchy	A1_RIGHT_SECTOR_SLOT_04	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	SH+E+K+Y	halten + kurz + zufuehren + dies	NONE	YES	NONE	halten + kurz + zufuehren + dies	halten + kurz + zufuehren + dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	halten + kurz + zufuehren + dies	NO
11	A1	f67r2	f67r2.4	2	A1:G011	sykos	A1_RIGHT_SECTOR_SLOT_04	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LABEL_FRAME_RESOLVED_COMPONENT_SEQUENCE	NONE	Y+K+O+S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	dies + zufuehren + Arbeitsgang + Sternbezug	NO	NOT_REQUIRED	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + Arbeitsgang + Sternbezug	NO
12	A1	f67r2	f67r2.5	1	A1:G012	ykeody	A1_RIGHT_SECTOR_SLOT_05	A67_RIGHT_CELESTIAL_WHEEL	POSITION_RESOLVED_COMPONENT_SEQUENCE	NONE	Y+K+E+O+Y	ASTRO_LOCAL_LABEL_PENDING_CHOICE	Y+K+E+O+DY || Y+K+E+O+Y	YES	NONE	ASTRO_LOCAL_LABEL_PENDING_CHOICE	dies + zufuehren + kurz + Arbeitsgang + dies	NO	LOCUS_INTERNAL_GROUP_KEEPS_CURRENT_ITEM	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + kurz + Arbeitsgang + dies	NO
13	A1	f67r2	f67r2.5	2	A1:G013	okchy	A1_RIGHT_SECTOR_SLOT_05	A67_RIGHT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	9ad66e67803a12e745de	OK+Y	dies ansetzen	NONE	YES	NONE	dies ansetzen	dies ansetzen	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies ansetzen	NO
14	A1	f67r2	f67r2.6	1	A1:G014	dchetay	A1_RIGHT_SECTOR_SLOT_06	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	D_ADDR+CH+E+T+A_ADDR+Y	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Teiladresse + entnehmen + kurz + eintragen + Nebenadresse + dies	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Teiladresse + abziehen + kurz + eintragen + Nebenadresse + dies	YES
15	A1	f67r2	f67r2.7	1	A1:G015	ykchy	A1_RIGHT_SECTOR_SLOT_07	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	Y+K+Y	dies + zufuehren + dies	NONE	YES	NONE	dies + zufuehren + dies	dies + zufuehren + dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + dies	NO
16	A1	f67r2	f67r2.7	2	A1:G016	kchey	A1_RIGHT_SECTOR_SLOT_07	A67_RIGHT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	b74e9e65637b7c8538dd	K+E+Y	dies kurz zuführen	NONE	YES	NONE	dies kurz zuführen	dies kurz zuführen	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies kurz zuführen	NO
17	A1	f67r2	f67r2.7	3	A1:G017	ykchys	A1_RIGHT_SECTOR_SLOT_07	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LABEL_FRAME_RESOLVED_COMPONENT_SEQUENCE	NONE	Y+K+Y+S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	dies + zufuehren + dies + Sternbezug	NO	NOT_REQUIRED	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + dies + Sternbezug	NO
18	A1	f67r2	f67r2.8	1	A1:G018	chkchdar	A1_RIGHT_SECTOR_SLOT_08	A67_RIGHT_CELESTIAL_WHEEL	POSITION_RESOLVED_COMPONENT_SEQUENCE	NONE	CHK+CHD+AR	ASTRO_LOCAL_LABEL_PENDING_CHOICE	CHK+CH+AR || CHK+CHD+AR	YES	NONE	ASTRO_LOCAL_LABEL_PENDING_CHOICE	anheben + umsetzen + von dort	NO	KNOWN_CHD_MACRO_BEATS_CH_PLUS_ENDPOINT	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	waermen + umsetzen + von dort	YES
19	A1	f67r2	f67r2.9	1	A1:G019	ykar	A1_RIGHT_SECTOR_SLOT_09	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	Y+K+AR	dies + zufuehren + von dort	NONE	YES	NONE	dies + zufuehren + von dort	dies + zufuehren + von dort	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + von dort	NO
20	A1	f67r2	f67r2.9	2	A1:G020	ykaly	A1_RIGHT_SECTOR_SLOT_09	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	Y+K+AL+Y	dies + zufuehren + Stelle + dies	NONE	YES	NONE	dies + zufuehren + Stelle + dies	dies + zufuehren + Stelle + dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + Stelle + dies	NO
21	A1	f67r2	f67r2.10	1	A1:G021	lkshy	A1_RIGHT_SECTOR_SLOT_10	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	L+K+Y	fuehren + zufuehren + dies	NONE	YES	NONE	fuehren + zufuehren + dies	fuehren + zufuehren + dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	fuehren + zufuehren + dies	NO
22	A1	f67r2	f67r2.10	2	A1:G022	kchy	A1_RIGHT_SECTOR_SLOT_10	A67_RIGHT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	b2812c8283c3a62438bd	K+Y	dies zuführen	NONE	YES	NONE	dies zuführen	dies zuführen	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies zuführen	NO
23	A1	f67r2	f67r2.10	3	A1:G023	okar	A1_RIGHT_SECTOR_SLOT_10	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	OK+AR	ansetzen + von dort	NONE	YES	NONE	ansetzen + von dort	ansetzen + von dort	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	ansetzen + von dort	NO
24	A1	f67r2	f67r2.11	1	A1:G024	chky	A1_RIGHT_SECTOR_SLOT_11	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	CHK+Y	waermen + dies	NONE	YES	NONE	waermen + dies	anheben + dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	waermen + dies	YES
