component	short_value_de	entry_kind	diagnostic_fragments	apprentice_rule	card_types	events
OK	ANSETZEN	COMPOSABLE_WORK_COMPONENT	ok	als kurzes Verb im Bedeutungsrezept lernen	23	79
CHD	UMSETZEN	COMPOSABLE_WORK_COMPONENT	ch	als kurzes Verb im Bedeutungsrezept lernen	22	48
SH	HALTEN	COMPOSABLE_WORK_COMPONENT	sh|ch|sch	als kurzes Verb im Bedeutungsrezept lernen	20	25
SHED	ABSETZEN	COMPOSABLE_WORK_COMPONENT	she|chee|te|shed	als kurzes Verb im Bedeutungsrezept lernen	3	15
CHK	WAERMEN	COMPOSABLE_WORK_COMPONENT	chk|ch	als kurzes Verb im Bedeutungsrezept lernen	4	7
CTH	BEREIT	COMPOSABLE_WORK_COMPONENT	cth	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	8	15
SOLK	AUFFANGEN	COMPOSABLE_WORK_COMPONENT	olk	als kurzes Verb im Bedeutungsrezept lernen	5	7
P	EINFUELLEN	COMPOSABLE_WORK_COMPONENT	p	als kurzes Verb im Bedeutungsrezept lernen	3	3
LSH	WASCHEN	COMPOSABLE_WORK_COMPONENT	lsh	als kurzes Verb im Bedeutungsrezept lernen	2	3
CFH	AUSWRINGEN	COMPOSABLE_WORK_COMPONENT	cfh	als kurzes Verb im Bedeutungsrezept lernen	1	1
CH	ABNEHMEN	COMPOSABLE_WORK_COMPONENT	ch	als kurzes Verb im Bedeutungsrezept lernen	15	16
T	EINTRAGEN	COMPOSABLE_WORK_COMPONENT	t	als kurzes Verb im Bedeutungsrezept lernen	9	10
K	ZUDOSIEREN	COMPOSABLE_WORK_COMPONENT	k	als kurzes Verb im Bedeutungsrezept lernen	18	21
S	TEILEN	COMPOSABLE_WORK_COMPONENT	s	als kurzes Verb im Bedeutungsrezept lernen	1	1
L	WEITERLEITEN	COMPOSABLE_WORK_COMPONENT	l	als kurzes Verb im Bedeutungsrezept lernen	18	27
OL	FORTSETZEN	COMPOSABLE_WORK_COMPONENT	ol|l	Quelle Ziel oder Reihenfolge relativ zum aktiven Posten lesen	25	48
OT	DANACH	COMPOSABLE_WORK_COMPONENT	ot	Quelle Ziel oder Reihenfolge relativ zum aktiven Posten lesen	16	26
AL	ZIEL	COMPOSABLE_WORK_COMPONENT	al	Quelle Ziel oder Reihenfolge relativ zum aktiven Posten lesen	22	39
AR	QUELLE	COMPOSABLE_WORK_COMPONENT	ar	Quelle Ziel oder Reihenfolge relativ zum aktiven Posten lesen	10	14
AIR	LAUF	COMPOSABLE_WORK_COMPONENT	air	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	5	5
OR	ANSATZ	COMPOSABLE_WORK_COMPONENT	or	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	10	18
HO	ZUTAT	COMPOSABLE_WORK_COMPONENT	ho	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	5	8
CKH	DURCHLASS	COMPOSABLE_WORK_COMPONENT	ckh	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	9	14
O	GANG	COMPOSABLE_WORK_COMPONENT	o	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	18	19
Y	DIES	COMPOSABLE_WORK_COMPONENT	y	auf den aktuell gemeinten vom Bild oder Record gelieferten Posten zeigen	60	124
AIN	PORTION	COMPOSABLE_WORK_COMPONENT	ain|an	als unteilbaren Parameterwert lesen	8	18
AIIN	MASS	COMPOSABLE_WORK_COMPONENT	aiin	als unteilbaren Parameterwert lesen	10	39
IIN	STUFE	COMPOSABLE_WORK_COMPONENT	iin	als unteilbaren Parameterwert lesen	3	4
E	KURZ	COMPOSABLE_WORK_COMPONENT	e	nur an einer lizenzierten Basis als Grad lesen	34	49
EE	LANG	COMPOSABLE_WORK_COMPONENT	ee|e	nur an einer lizenzierten Basis als Grad lesen	17	40
EEE	VOLL	COMPOSABLE_WORK_COMPONENT	eee	nur an einer lizenzierten Basis als Grad lesen	2	2
R	KUEHLEN	COMPOSABLE_WORK_COMPONENT	r	als kurzes Verb im Bedeutungsrezept lernen	6	6
AN	NACHGABE	COMPOSABLE_WORK_COMPONENT	an	als unteilbaren Parameterwert lesen	1	1
DA	ZWEIT	COMPOSABLE_WORK_COMPONENT	da	als unteilbaren Parameterwert lesen	1	1
LD	BEFESTIGEN	COMPOSABLE_WORK_COMPONENT	ld	als kurzes Verb im Bedeutungsrezept lernen	1	1
DY	SCHLUSS	COMPOSABLE_WORK_COMPONENT	dy	nur in einer lizenzierten exakten Endkarte als Schluss lesen	37	89
OS	FACH	MEMORIZED_WHOLE_COMMAND	os	als ganze Karte lernen; innere Zeichen nicht zerlegen	1	1
RESUME_CARD	WIEDERAUFNEHMEN	MEMORIZED_WHOLE_COMMAND	chol	als ganze Karte lernen; innere Zeichen nicht zerlegen	1	2
TALAM	VERWAHREN	MEMORIZED_WHOLE_COMMAND	talam	als ganze Karte lernen; innere Zeichen nicht zerlegen	1	1
