card_no	component_parse	invariant_card_reading_de	occurrences	records	pages	visible_surfaces	event_ids	cross_record	default_policy
PROC001	CH+E+Y	abziehen · kurz · dies	1	H1	f10r	dchey	E001	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC002	CTH+O+OR	bereit · Arbeitsgang · Ansatz	1	H1	f10r	cthoor	E002	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC003	AR	von dort	2	H1|H2	f10r	char|dar	E003|E031	YES	ONE_CARD_ONE_WORKSHOP_READING
PROC004	T+Y	eintragen · dies	1	H1	f10r	chty	E004	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC005	OS	Arbeitsfach	1	H1	f10r	os	E005	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC006	CH+AIR	abziehen · Lauf	1	H1	f10r	chair	E006	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC007	OT+Y+T+CH+OL	danach · dies · eintragen · abziehen · fortsetzen	1	H1	f10r	otytchol	E007	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC008	OK+Y	ansetzen · dies	3	H1|H5	f10r|f56r	oky|choky	E008|E081|E085	YES	ONE_CARD_ONE_WORKSHOP_READING
PROC009	AIIN	Maß	9	H1|H2|H3|H4|H5	f10r|f11r|f55v|f56r	daiin|taiin|chaiin|aiin	E009|E022|E030|E051|E057|E061|E068|E077|E100	YES	ONE_CARD_ONE_WORKSHOP_READING
PROC010	E+T+Y	kurz · eintragen · dies	1	H1	f10r	etyd	E010	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC011	OK+Y	ansetzen · dies	3	H1|H5	f10r|f56r	qokchy|okchy|chokchy	E011|E091|E095	YES	ONE_CARD_ONE_WORKSHOP_READING
PROC012	OT+CH+OL	danach · abziehen · fortsetzen	1	H1	f10r	qotchol	E012	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC013	OL	fortsetzen	3	H1|H2	f10r	chol	E013|E027|E029	YES	ONE_CARD_ONE_WORKSHOP_READING
PROC014	CTH+Y	bereit · dies	3	H1|H2|H3	f10r|f11r	cthy	E014|E016|E054	YES	ONE_CARD_ONE_WORKSHOP_READING
PROC015	Y+CH+E+OR	dies · abziehen · kurz · Ansatz	1	H2	f10r	ycheor	E015	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC016	OR	Ansatz	5	H2|H4	f10r|f55v	chor|shor|or	E017|E025|E033|E034|E071	YES	ONE_CARD_ONE_WORKSHOP_READING
PROC017	CTH+AIIN	bereit · Maß	1	H2	f10r	cthaiin	E018	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC018	O+CTH+OL+Y	Arbeitsgang · bereit · fortsetzen · dies	1	H2	f10r	qoctholy	E019	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC019	Y	dies	9	H2|H3|H4	f10r|f11r|f55v	dy|chy|shy|y	E020|E021|E023|E035|E037|E048|E050|E055|E072	YES	ONE_CARD_ONE_WORKSHOP_READING
PROC020	OT+CH+OR	danach · abziehen · Ansatz	2	H2|H5	f10r|f56r	qotchor|otchor	E024|E080	YES	ONE_CARD_ONE_WORKSHOP_READING
PROC021	OT+OL	danach · fortsetzen	1	H2	f10r	otol	E026	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC022	OL+OR	fortsetzen · Ansatz	1	H2	f10r	cholor	E028	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC023	O+Y+K+OR	Arbeitsgang · dies · zuführen · Ansatz	1	H2	f10r	oykchor	E032	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC024	K+IIN	zuführen · Sollstufe	1	H2	f10r	kaiiin	E036	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC025	CH+O+AIIN	abziehen · Arbeitsgang · Maß	1	H2	f10r	chodaiin	E038	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC026	T+SH+OL	eintragen · halten · fortsetzen	1	H3	f11r	tshol	E039	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC027	SH+O+AL	halten · Arbeitsgang · Zielstelle	1	H3	f11r	schoal	E040	NO	ONE_CARD_ONE_WORKSHOP_READING
