job_id	page	source_module	reading_unit_id	source_group_id	visible_owner	visible_surface	local_astro_value_de	prose_echo_de	menu_status	selection_id	orientation	crosspage_key
J1_ROOT_AND_LEAF_BASIN	f67r2	M67_RIGHT_SECTORS	f67r2.1	A1:G001	A1_RIGHT_SECTOR_SLOT_01	ykshy	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Position oder Bedingung halten; lokaler Namensrest yk/y.	NO_PROSE_ECHO	UNSELECTED_REFERENCE_OPTION	NO_SELECTION	NONE__VISIBLE_OWNER_ONLY	NONE
J1_ROOT_AND_LEAF_BASIN	f67r2	M67_RIGHT_SECTORS	f67r2.1	A1:G002	A1_RIGHT_SECTOR_SLOT_01	s	A1_RIGHT_SECTOR_SLOT_01: Nebenwert.	NO_PROSE_ECHO	UNSELECTED_REFERENCE_OPTION	NO_SELECTION	NONE__VISIBLE_OWNER_ONLY	NONE
J1_ROOT_AND_LEAF_BASIN	f67r2	M67_RIGHT_SECTORS	f67r2.1	A1:G003	A1_RIGHT_SECTOR_SLOT_01	aram	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest am.	NO_PROSE_ECHO	UNSELECTED_REFERENCE_OPTION	NO_SELECTION	NONE__VISIBLE_OWNER_ONLY	NONE
J1_ROOT_AND_LEAF_BASIN	f67r2	M67_RIGHT_SECTORS	f67r2.2	A1:G004	A1_RIGHT_SECTOR_SLOT_02	ykecho	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest ykec.	NO_PROSE_ECHO	UNSELECTED_REFERENCE_OPTION	NO_SELECTION	NONE__VISIBLE_OWNER_ONLY	NONE
J1_ROOT_AND_LEAF_BASIN	f67r2	M67_RIGHT_SECTORS	f67r2.2	A1:G005	A1_RIGHT_SECTOR_SLOT_02	ols	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest s.	NO_PROSE_ECHO	UNSELECTED_REFERENCE_OPTION	NO_SELECTION	NONE__VISIBLE_OWNER_ONLY	NONE
J1_ROOT_AND_LEAF_BASIN	f67r2	M67_RIGHT_SECTORS	f67r2.2	A1:G006	A1_RIGHT_SECTOR_SLOT_02	eesydy	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: lange oder volle Diagrammstufe; lokaler Namensrest sydy.	NO_PROSE_ECHO	UNSELECTED_REFERENCE_OPTION	NO_SELECTION	NONE__VISIBLE_OWNER_ONLY	NONE
J1_ROOT_AND_LEAF_BASIN	f67r2	M67_RIGHT_SECTORS	f67r2.3	A1:G007	A1_RIGHT_SECTOR_SLOT_03	ey	A1_RIGHT_SECTOR_SLOT_03: aktueller Auswahlwert.	NO_PROSE_ECHO	UNSELECTED_REFERENCE_OPTION	NO_SELECTION	NONE__VISIBLE_OWNER_ONLY	NONE
J1_ROOT_AND_LEAF_BASIN	f67r2	M67_RIGHT_SECTORS	f67r2.3	A1:G008	A1_RIGHT_SECTOR_SLOT_03	shs	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Position oder Bedingung halten; lokaler Namensrest s.	NO_PROSE_ECHO	UNSELECTED_REFERENCE_OPTION	NO_SELECTION	NONE__VISIBLE_OWNER_ONLY	NONE
J1_ROOT_AND_LEAF_BASIN	f67r2	M67_RIGHT_SECTORS	f67r2.3	A1:G009	A1_RIGHT_SECTOR_SLOT_03	okar	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.	NO_PROSE_ECHO	UNSELECTED_REFERENCE_OPTION	NO_SELECTION	NONE__VISIBLE_OWNER_ONLY	NONE
J1_ROOT_AND_LEAF_BASIN	f67r2	M67_RIGHT_SECTORS	f67r2.4	A1:G010	A1_RIGHT_SECTOR_SLOT_04	shekchy	Sektorplatz A1_RIGHT_SECTOR_SLOT_04: Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest e/y.	NO_PROSE_ECHO	UNSELECTED_REFERENCE_OPTION	NO_SELECTION	NONE__VISIBLE_OWNER_ONLY	NONE
J1_ROOT_AND_LEAF_BASIN	f67r2	M67_RIGHT_SECTORS	f67r2.4	A1:G011	A1_RIGHT_SECTOR_SLOT_04	sykos	A1_RIGHT_SECTOR_SLOT_04: sekundäre Grundklasse.	NO_PROSE_ECHO	UNSELECTED_REFERENCE_OPTION	NO_SELECTION	NONE__VISIBLE_OWNER_ONLY	NONE
