example_id	strip_no	component_id	value_de	host_card_no	host_surfaces	highlighted_parse	event_id	statement_id	record	page	owner_code	procedure_tokens	literal_host_reading_de
STRIP01_EX1	1	DY	ENDPOINT: Schluss	PROC078	cheedy|shedy|tedy	SHED+[DY]	E125	B1-S004	B1	f81v	B1_SHARED_TWO_ROW_POOL	HOLD_STATE>CLOSE	absetzen · Schluss
STRIP01_EX2	1	DY	ENDPOINT: Schluss	PROC082	qokchdy	OK+CHD+[DY]	E131	B1-S007	B1	f81v	B1_SHARED_TWO_ROW_POOL	ACTIVATE_CHARGE>CLOSE	ansetzen · umsetzen · Schluss
STRIP01_EX3	1	DY	ENDPOINT: Schluss	PROC047	oldy	OL+[DY]	E067	H4-S003	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	CONTINUE_USE>CLOSE	fortsetzen · Schluss
STRIP02_EX1	2	OK	FRAME: ansetzen	PROC008	choky|oky|qoky	[OK]+Y	E008	H1-S001	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	CONTINUE_USE	ansetzen · dies
STRIP02_EX2	2	OK	FRAME: ansetzen	PROC038	okaiin|qokaiin	[OK]+AIIN	E056	H4-S001	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	METER_CHECK	ansetzen · Maß
STRIP02_EX3	2	OK	FRAME: ansetzen	PROC082	qokchdy	[OK]+CHD+DY	E131	B1-S007	B1	f81v	B1_SHARED_TWO_ROW_POOL	ACTIVATE_CHARGE>CLOSE	ansetzen · umsetzen · Schluss
STRIP03_EX1	3	CHD	OPERATION: umsetzen	PROC042	chdy|chedy	[CHD]+Y	E062	H4-S002	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	ACTIVATE_CHARGE	umsetzen · dies
STRIP03_EX2	3	CHD	OPERATION: umsetzen	PROC120	lchedy	L+[CHD]+DY	E210	B2-S013	B2	f82r	B2_LOWER_GREEN_MULTI_FIGURE_POOL	MOVE_PASS>CLOSE	führen · umsetzen · Schluss
STRIP03_EX3	3	CHD	OPERATION: umsetzen	PROC076	dchedy|schedy|tchedy	[CHD]+DY	E120	B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	MOVE_PASS>CLOSE	umsetzen · Schluss
STRIP04_EX1	4	E	GRADE: kurz	PROC067	qokedy	OK+[E]+DY	E101	B1-S001	B1	f81v	B1_SHARED_TWO_ROW_POOL	HOLD_STATE>CLOSE	ansetzen · kurz · Schluss
STRIP04_EX2	4	E	GRADE: kurz	PROC085	okey|qokey	OK+[E]+Y	E142	B1-S012	B1	f81v	B1_SHARED_TWO_ROW_POOL	HOLD_STATE	ansetzen · kurz · dies
STRIP04_EX3	4	E	GRADE: kurz	PROC001	dchey	CH+[E]+Y	E001	H1-S001	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SOURCE_DRAW	abziehen · kurz · dies
STRIP05_EX1	5	EE	GRADE: laenger	PROC100	qokeedy	OK+[EE]+DY	E171	B2-S003	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	HOLD_STATE>CLOSE	ansetzen · länger · Schluss
STRIP05_EX2	5	EE	GRADE: laenger	PROC092	okeey|qokeey	OK+[EE]+Y	E153	B1-S016	B1	f81v	B1_SHARED_TWO_ROW_POOL	HOLD_STATE	ansetzen · länger · dies
STRIP05_EX3	5	EE	GRADE: laenger	PROC046	cheeky	CHK+[EE]+Y	E066	H4-S003	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	ACTIVATE_CHARGE	wärmen · länger · dies
STRIP06_EX1	6	OT	FRAME: danach	PROC112	otaiin|sotaiin	[OT]+AIIN	E190	B2-S008	B2	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	METER_CHECK	danach · Maß
STRIP06_EX2	6	OT	FRAME: danach	PROC131	otal|qotal	[OT]+AL	E230	B3-S002	B3	f83r	B3_UPPER_MARGIN_OPEN_FAN_STATION	TARGET_HANDOFF	danach · Zielstelle
STRIP06_EX3	6	OT	FRAME: danach	PROC020	otchor|qotchor	[OT]+CH+OR	E024	H2-S002	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ACTIVATE_CHARGE	danach · abziehen · Ansatz
STRIP07_EX1	7	K	OPERATION: zufuehren	PROC069	chkain|kain	[K]+AIN	E107	B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	ACTIVATE_CHARGE	zuführen · Portion
STRIP07_EX2	7	K	OPERATION: zufuehren	PROC023	oykchor	O+Y+[K]+OR	E032	H2-S003	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ACTIVATE_CHARGE	Arbeitsgang · dies · zuführen · Ansatz
STRIP07_EX3	7	K	OPERATION: zufuehren	PROC035	kchy	[K]+Y	E049	H3-S003	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	ACTIVATE_CHARGE	zuführen · dies
STRIP08_EX1	8	O	FRAME: Arbeitsgang	PROC097	oiiin|soiiin	[O]+IIN	E161	B1-S018	B1	f81v	B1_SHARED_TWO_ROW_POOL	METER_CHECK	Arbeitsgang · Sollstufe
STRIP08_EX2	8	O	FRAME: Arbeitsgang	PROC002	cthoor	CTH+[O]+OR	E002	H1-S001	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ACTIVATE_CHARGE	bereit · Arbeitsgang · Ansatz
STRIP08_EX3	8	O	FRAME: Arbeitsgang	PROC018	qoctholy	[O]+CTH+OL+Y	E019	H2-S001	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	CONTINUE_USE	Arbeitsgang · bereit · fortsetzen · dies
STRIP09_EX1	9	CH	OPERATION: abziehen	PROC020	otchor|qotchor	OT+[CH]+OR	E024	H2-S002	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ACTIVATE_CHARGE	danach · abziehen · Ansatz
STRIP09_EX2	9	CH	OPERATION: abziehen	PROC001	dchey	[CH]+E+Y	E001	H1-S001	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SOURCE_DRAW	abziehen · kurz · dies
STRIP09_EX3	9	CH	OPERATION: abziehen	PROC032	tchody	T+[CH]+O+DY	E045	H3-S001	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	SOURCE_DRAW>CLOSE	eintragen · abziehen · Arbeitsgang · Schluss
STRIP10_EX1	10	CTH	STATE: bereit	PROC014	checthy|cthy|shcthy	[CTH]+Y	E014	H1-S002	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	HOLD_STATE	bereit · dies
STRIP10_EX2	10	CTH	STATE: bereit	PROC117	qcthey|shcthey	[CTH]+E+Y	E204	B2-S012	B2	f82r	B2_LOWER_GREEN_MULTI_FIGURE_POOL	HOLD_STATE	bereit · kurz · dies
STRIP10_EX3	10	CTH	STATE: bereit	PROC002	cthoor	[CTH]+O+OR	E002	H1-S001	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ACTIVATE_CHARGE	bereit · Arbeitsgang · Ansatz
STRIP11_EX1	11	SHED	OPERATION: absetzen	PROC078	cheedy|shedy|tedy	[SHED]+DY	E125	B1-S004	B1	f81v	B1_SHARED_TWO_ROW_POOL	HOLD_STATE>CLOSE	absetzen · Schluss
STRIP11_EX2	11	SHED	OPERATION: absetzen	PROC142	shedal	[SHED]+AL	E275	B3-S021	B3	f83r	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	HOLD_STATE	absetzen · Zielstelle
STRIP11_EX3	11	SHED	OPERATION: absetzen	PROC128	rshedy	R+[SHED]+DY	E225	B2-S019	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	HOLD_STATE>CLOSE	abkühlen · absetzen · Schluss
STRIP12_EX1	12	CKH	OPERATION: Durchlass	PROC075	chckhy|shckhy	[CKH]+Y	E119	B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	MOVE_PASS	Durchlass · dies
STRIP12_EX2	12	CKH	OPERATION: Durchlass	PROC099	shckhedy	SH+[CKH]+E+DY	E165	B1-S020	B1	f81v	B1_SHARED_TWO_ROW_POOL	HOLD_STATE>CLOSE	halten · Durchlass · kurz · Schluss
STRIP12_EX3	12	CKH	OPERATION: Durchlass	PROC057	cheeckhody	CH+EE+[CKH]+O+DY	E086	H5-S002	H5	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	HOLD_STATE>CLOSE	abziehen · länger · Durchlass · Arbeitsgang · Schluss
