event_id	page	record	statement_id	surface	card_no	component_parse	owner_id	owner_de	primary_object_class	primary_object_de	operation_de	specifications_de	local_output_de	cross_owner_carry
E001	f10r	H1	H1-S001	dchey	PROC001	CH+E+Y	H1:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	CURRENT_ITEM	aktuell gemeinter Arbeitsposten	abziehen	kurz oder direkt	abgenommener oder abgezogener Anteil	WITHIN_ACTIVE_OWNER_ONLY
E002	f10r	H1	H1-S001	cthoor	PROC002	CTH+O+OR	H1:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	PREPARATION	aktueller Ansatz	adressieren oder spezifizieren	bis bereit | im bezeichneten Arbeitsgang	aktueller Ansatz	WITHIN_ACTIVE_OWNER_ONLY
E003	f10r	H1	H1-S001	char	PROC003	AR	H1:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	SOURCE_STOCK	lokaler Quellvorrat	adressieren oder spezifizieren	NONE	lokaler Quellvorrat	WITHIN_ACTIVE_OWNER_ONLY
E004	f10r	H1	H1-S001	chty	PROC004	T+Y	H1:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	CURRENT_ITEM	aktuell gemeinter Arbeitsposten	eintragen	NONE	im Arbeitsfach eingetragener Posten	WITHIN_ACTIVE_OWNER_ONLY
E005	f10r	H1	H1-S001	os	PROC005	OS	H1:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	WORK_COMPARTMENT	ausgewaehltes Arbeitsfach	adressieren oder spezifizieren	NONE	ausgewaehltes Arbeitsfach	WITHIN_ACTIVE_OWNER_ONLY
E006	f10r	H1	H1-S001	chair	PROC006	CH+AIR	H1:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	FLOWING_MEDIUM	laufende Arbeitsfluessigkeit	abziehen	NONE	abgenommener oder abgezogener Anteil	WITHIN_ACTIVE_OWNER_ONLY
E007	f10r	H1	H1-S001	otytchol	PROC007	OT+Y+T+CH+OL	H1:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	CURRENT_ITEM	aktuell gemeinter Arbeitsposten	eintragen + abziehen	danach | als Fortsetzung	im Arbeitsfach eingetragener Posten -> abgenommener oder abgezogener Anteil	WITHIN_ACTIVE_OWNER_ONLY
E008	f10r	H1	H1-S001	oky	PROC008	OK+Y	H1:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	CURRENT_ITEM	aktuell gemeinter Arbeitsposten	ansetzen	NONE	angesetzter Arbeitsposten	WITHIN_ACTIVE_OWNER_ONLY
E009	f10r	H1	H1-S001	daiin	PROC009	AIIN	H1:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	OWNER_BOUND_MATERIAL	vom Bildbesitzer gesetzter lokaler Arbeitsstoff	adressieren oder spezifizieren	nach vorgeschriebenem Mass	vom Bildbesitzer gesetzter lokaler Arbeitsstoff	WITHIN_ACTIVE_OWNER_ONLY
E010	f10r	H1	H1-S001	etyd	PROC010	E+T+Y	H1:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	CURRENT_ITEM	aktuell gemeinter Arbeitsposten	eintragen	kurz oder direkt	im Arbeitsfach eingetragener Posten	WITHIN_ACTIVE_OWNER_ONLY
E011	f10r	H1	H1-S002	qokchy	PROC011	OK+Y	H1:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	CURRENT_ITEM	aktuell gemeinter Arbeitsposten	ansetzen	NONE	angesetzter Arbeitsposten	WITHIN_ACTIVE_OWNER_ONLY
E012	f10r	H1	H1-S002	qotchol	PROC012	OT+CH+OL	H1:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	OWNER_BOUND_MATERIAL	vom Bildbesitzer gesetzter lokaler Arbeitsstoff	abziehen	danach | als Fortsetzung	abgenommener oder abgezogener Anteil	WITHIN_ACTIVE_OWNER_ONLY
E013	f10r	H1	H1-S002	chol	PROC013	OL	H1:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	OWNER_BOUND_MATERIAL	vom Bildbesitzer gesetzter lokaler Arbeitsstoff	adressieren oder spezifizieren	als Fortsetzung	vom Bildbesitzer gesetzter lokaler Arbeitsstoff	WITHIN_ACTIVE_OWNER_ONLY
E014	f10r	H1	H1-S002	cthy	PROC014	CTH+Y	H1:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	CURRENT_ITEM	aktuell gemeinter Arbeitsposten	adressieren oder spezifizieren	bis bereit	aktuell gemeinter Arbeitsposten	WITHIN_ACTIVE_OWNER_ONLY
E015	f10r	H2	H2-S001	ycheor	PROC015	Y+CH+E+OR	H2:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	PREPARATION	aktueller Ansatz	abziehen	kurz oder direkt	abgenommener oder abgezogener Anteil	WITHIN_ACTIVE_OWNER_ONLY
E016	f10r	H2	H2-S001	cthy	PROC014	CTH+Y	H2:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	CURRENT_ITEM	aktuell gemeinter Arbeitsposten	adressieren oder spezifizieren	bis bereit	aktuell gemeinter Arbeitsposten	WITHIN_ACTIVE_OWNER_ONLY
E017	f10r	H2	H2-S001	chor	PROC016	OR	H2:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	PREPARATION	aktueller Ansatz	adressieren oder spezifizieren	NONE	aktueller Ansatz	WITHIN_ACTIVE_OWNER_ONLY
E018	f10r	H2	H2-S001	cthaiin	PROC017	CTH+AIIN	H2:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	OWNER_BOUND_MATERIAL	vom Bildbesitzer gesetzter lokaler Arbeitsstoff	adressieren oder spezifizieren	bis bereit | nach vorgeschriebenem Mass	vom Bildbesitzer gesetzter lokaler Arbeitsstoff	WITHIN_ACTIVE_OWNER_ONLY
E019	f10r	H2	H2-S001	qoctholy	PROC018	O+CTH+OL+Y	H2:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	CURRENT_ITEM	aktuell gemeinter Arbeitsposten	adressieren oder spezifizieren	im bezeichneten Arbeitsgang | bis bereit | als Fortsetzung	aktuell gemeinter Arbeitsposten	WITHIN_ACTIVE_OWNER_ONLY
E020	f10r	H2	H2-S001	dy	PROC019	Y	H2:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	CURRENT_ITEM	aktuell gemeinter Arbeitsposten	adressieren oder spezifizieren	NONE	aktuell gemeinter Arbeitsposten	WITHIN_ACTIVE_OWNER_ONLY
