event_id	page	record	statement_id	owner_de	card_no	surface	component_recipe	rebuilt_reading_de	composition_status	form_owner_boundary_status
E001	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC001	dchey	CH+E+Y	ENTNEHMEN · KURZ · DIES	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E002	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC002	cthoor	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E003	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC003	char	AR	QUELLE	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E004	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC004	chty	T+Y	ANWENDEN · DIES	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E005	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC005	os	OS	FACH	HAS_MEMORIZED_WHOLE_COMMAND	UNCHANGED
E006	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC006	chair	CH+AIR	ENTNEHMEN · WASSER	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E007	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC007	otytchol	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E008	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC008	oky	OK+Y	ANSETZEN · DIES	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E009	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC009	daiin	AIIN	SOLLMASS	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E010	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC010	etyd	E+T+Y	KURZ · ANWENDEN · DIES	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E011	f10r	H1	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC011	qokchy	OK+Y	ANSETZEN · DIES	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E012	f10r	H1	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC012	qotchol	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E013	f10r	H1	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC013	chol	OL	WEITER	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E014	f10r	H1	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC014	cthy	CTH+Y	BEREITEN · DIES	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E015	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC015	ycheor	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E016	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC014	cthy	CTH+Y	BEREITEN · DIES	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E017	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC016	chor	OR	ANSATZ	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E018	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC017	cthaiin	CTH+AIIN	BEREITEN · SOLLMASS	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E019	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC018	qoctholy	O+CTH+OL+Y	ARBEITSGANG · BEREITEN · WEITER · DIES	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E020	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC019	dy	Y	DIES	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E021	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC019	chy	Y	DIES	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E022	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC009	taiin	AIIN	SOLLMASS	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E023	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC019	shy	Y	DIES	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E024	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC020	qotchor	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E025	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC016	chor	OR	ANSATZ	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
E026	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC021	otol	OT+OL	DANACH · WEITER	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	UNCHANGED
