exception_no	domain	item_id	unit_id	page	formal_parse	predicted_surface	observed_surface	generative_class	old_wrapper	new_wrapper	preserved_body	component_realization	observed_admitted
1	PROSE	E008	H1	f10r	OK+Y	choky	oky	ENTRY_WRAPPER_ALLOGRAPH	ch	BARE	oky	NOT_NEEDED	YES
2	PROSE	E011	H1	f10r	OK+Y	okchy	qokchy	ENTRY_WRAPPER_ALLOGRAPH	BARE	q	okchy	NOT_NEEDED	YES
3	PROSE	E020	H2	f10r	Y	chy	dy	ENTRY_WRAPPER_ALLOGRAPH	ch	d	y	NOT_NEEDED	YES
4	PROSE	E022	H2	f10r	AIIN	daiin	taiin	ENTRY_WRAPPER_ALLOGRAPH	d	t	aiin	NOT_NEEDED	YES
5	PROSE	E023	H2	f10r	Y	chey	shy	ENTRY_WRAPPER_ALLOGRAPH	che	sh	y	NOT_NEEDED	YES
6	PROSE	E024	H2	f10r	OT+CH+OR	otchor	qotchor	ENTRY_WRAPPER_ALLOGRAPH	BARE	q	otchor	NOT_NEEDED	YES
7	PROSE	E028	H2	f10r	OL+OR	olor	cholor	ENTRY_WRAPPER_ALLOGRAPH	BARE	ch	olor	NOT_NEEDED	YES
8	PROSE	E031	H2	f10r	AR	char	dar	ENTRY_WRAPPER_ALLOGRAPH	ch	d	ar	NOT_NEEDED	YES
9	PROSE	E033	H2	f10r	OR	chor	shor	ENTRY_WRAPPER_ALLOGRAPH	ch	sh	or	NOT_NEEDED	YES
10	PROSE	E037	H2	f10r	Y	chy	dy	ENTRY_WRAPPER_ALLOGRAPH	ch	d	y	NOT_NEEDED	YES
11	PROSE	E044	H3	f11r	WHOLE[cheey|shey]	cheey	shey	ENTRY_WRAPPER_ALLOGRAPH	che	sh	ey	NOT_NEEDED	YES
12	PROSE	E050	H3	f11r	Y	chy	dy	ENTRY_WRAPPER_ALLOGRAPH	ch	d	y	NOT_NEEDED	YES
13	PROSE	E055	H3	f11r	Y	chey	dy	ENTRY_WRAPPER_ALLOGRAPH	che	d	y	NOT_NEEDED	YES
14	PROSE	E057	H4	f55v	AIIN	daiin	chaiin	ENTRY_WRAPPER_ALLOGRAPH	d	ch	aiin	NOT_NEEDED	YES
15	PROSE	E068	H4	f55v	AIIN	daiin	aiin	ENTRY_WRAPPER_ALLOGRAPH	d	BARE	aiin	NOT_NEEDED	YES
16	PROSE	E069	H4	f55v	OK+AL	qokal	okal	ENTRY_WRAPPER_ALLOGRAPH	q	BARE	okal	NOT_NEEDED	YES
17	PROSE	E071	H4	f55v	OR	chor	or	ENTRY_WRAPPER_ALLOGRAPH	ch	BARE	or	NOT_NEEDED	YES
18	PROSE	E072	H4	f55v	Y	chey	y	ENTRY_WRAPPER_ALLOGRAPH	che	BARE	y	NOT_NEEDED	YES
19	PROSE	E083	H5	f56r	OL	dchol	schol	ENTRY_WRAPPER_ALLOGRAPH	d	s	chol	NOT_NEEDED	YES
20	PROSE	E095	H5	f56r	OK+Y	okchy	chokchy	ENTRY_WRAPPER_ALLOGRAPH	BARE	ch	okchy	NOT_NEEDED	YES
21	PROSE	E102	B1	f81v	OK+AIIN	qokaiin	okaiin	ENTRY_WRAPPER_ALLOGRAPH	q	BARE	okaiin	NOT_NEEDED	YES
22	PROSE	E104	B1	f81v	OK+AL	qokal	okal	ENTRY_WRAPPER_ALLOGRAPH	q	BARE	okal	NOT_NEEDED	YES
23	PROSE	E105	B1	f81v	AR	char	sar	ENTRY_WRAPPER_ALLOGRAPH	ch	s	ar	NOT_NEEDED	YES
24	PROSE	E109	B1	f81v	AL	dal	al	ENTRY_WRAPPER_ALLOGRAPH	d	BARE	al	NOT_NEEDED	YES
25	PROSE	E121	B1	f81v	OL	ol	qol	ENTRY_WRAPPER_ALLOGRAPH	BARE	q	ol	NOT_NEEDED	YES
26	PROSE	E128	B1	f81v	CKH+Y	chckhy	shckhy	ENTRY_WRAPPER_ALLOGRAPH	ch	sh	ckhy	NOT_NEEDED	YES
27	PROSE	E142	B1	f81v	OK+E+Y	okey	qokey	ENTRY_WRAPPER_ALLOGRAPH	BARE	q	okey	NOT_NEEDED	YES
28	PROSE	E148	B1	f81v	OL	ol	qol	ENTRY_WRAPPER_ALLOGRAPH	BARE	q	ol	NOT_NEEDED	YES
29	PROSE	E153	B1	f81v	OK+EE+Y	qokeey	okeey	ENTRY_WRAPPER_ALLOGRAPH	q	BARE	okeey	NOT_NEEDED	YES
30	PROSE	E154	B1	f81v	OL	ol	qol	ENTRY_WRAPPER_ALLOGRAPH	BARE	q	ol	NOT_NEEDED	YES
