statement_id	page	record	phase_signature	phrasebook_mode	macro_id	compact_formula_or_expansion_de	values_preserved	nearest_macro	edit_distance	edit_operations	revised_learning_mode
H1-S001	f10r	H1	MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST>MATERIAL_PREP	COMPOSE_ONCE_FROM_CORE	NONE	abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → Pflanzenstoff in den Ansatz geben → eintragen	YES	WM01	4	INSERT_MATERIAL_PREP|INSERT_MATERIAL_PREP|INSERT_SPECIALIST|SUBSTITUTE_CLOSE_WITH_MATERIAL_PREP	FREE_COMPOSITION
H1-S002	f10r	H1	SPECIALIST>MATERIAL_PREP	COMPOSE_ONCE_FROM_CORE	NONE	Pflanzenstoff in den Ansatz geben → abnehmen	YES	WM10	1	INSERT_SPECIALIST	SIMPLE_ONE_EDIT_VARIANT
H2-S001	f10r	H2	MATERIAL_PREP	USE_TAUGHT_MACRO	WM10	ziehe ab	YES	WM10	0	NONE	TAUGHT_MACRO
H2-S002	f10r	H2	MATERIAL_PREP	USE_TAUGHT_MACRO	WM10	ziehe ab	YES	WM10	0	NONE	TAUGHT_MACRO
H2-S003	f10r	H2	MEASURE_CHARGE>MATERIAL_PREP	COMPOSE_ONCE_FROM_CORE	NONE	zugeben → zugeben → abziehen	YES	WM04	1	INSERT_MATERIAL_PREP	SIMPLE_ONE_EDIT_VARIANT
H3-S001	f11r	H3	MATERIAL_PREP>HOLD>MATERIAL_PREP>HOLD>MEASURE_CHARGE>HOLD>MATERIAL_PREP>CLOSE	COMPOSE_ONCE_FROM_CORE	NONE	eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen	YES	WM05	5	INSERT_MATERIAL_PREP|INSERT_HOLD|INSERT_MATERIAL_PREP|INSERT_HOLD|INSERT_MATERIAL_PREP	FREE_COMPOSITION
H3-S002	f11r	H3	HOLD>MATERIAL_PREP	COMPOSE_ONCE_FROM_CORE	NONE	halten + eintragen	YES	WM02	1	SUBSTITUTE_CLOSE_WITH_MATERIAL_PREP	SIMPLE_ONE_EDIT_VARIANT
H3-S003	f11r	H3	MEASURE_CHARGE	USE_TAUGHT_MACRO	WM04	setze oder gib nach Maß/Teil	YES	WM04	0	NONE	TAUGHT_MACRO
H3-S004	f11r	H3	MEASURE_CHARGE	USE_TAUGHT_MACRO	WM04	setze oder gib nach Maß/Teil	YES	WM04	0	NONE	TAUGHT_MACRO
H4-S001	f55v	H4	MEASURE_CHARGE>CLOSE	USE_TAUGHT_MACRO	WM11	setze oder gib nach Maß/Teil → schließe	YES	WM11	0	NONE	TAUGHT_MACRO
H4-S002	f55v	H4	MEASURE_CHARGE>SETTLE	COMPOSE_ONCE_FROM_CORE	NONE	abmessen und umsetzen → verwahren	YES	WM04	1	INSERT_SETTLE	SIMPLE_ONE_EDIT_VARIANT
