token_order	corrected_field	master_card_id	surface	dictionary_value_de	corrected_slot	field_final	correction_note_de
1	1	MC160	talam	Verwahrort	UNCHANGED_FROM_R179	NO	field boundary update only
2	1	MC142	dchol	vom vorigen	UNCHANGED_FROM_R179	NO	field boundary update only
3	1	MC170	ykaiin	Sollportion	UNCHANGED_FROM_R179	NO	field boundary update only
4	1	MC152	ches	Teilen	UNCHANGED_FROM_R179	YES	field boundary update only
5	2	MC047	ykain	erste Portion	UNCHANGED_FROM_R179	NO	field boundary update only
6	2	MC100	ody	Abkühlen	G6	YES	ody is terminal in its sole manuscript use
7	3	MC160	talam	Verwahrort	UNCHANGED_FROM_R179	NO	field boundary update only
8	3	MC019	oldy	fertig	UNCHANGED_FROM_R179	YES	field boundary update only
9	4	MC148	ykan	zweite Portion	UNCHANGED_FROM_R179	NO	field boundary update only
10	4	MC147	cheky	kurz wärmen	UNCHANGED_FROM_R179	NO	field boundary update only
11	4	MC040	okal	dorthin einsetzen	UNCHANGED_FROM_R179	NO	field boundary update only
12	4	MC083	qokedy	kurz einwirken; Schluss	UNCHANGED_FROM_R179	YES	field boundary update only
13	5	MC107	qotchy	Folgeposten	G2	NO	field boundary update only
14	5	MC093	otal	danach dorthin	UNCHANGED_FROM_R179	NO	field boundary update only
15	5	MC026	qoky	einsetzen	G4	NO	field boundary update only
16	5	MC084	rshedy	Waschschluss	UNCHANGED_FROM_R179	YES	field boundary update only
