event_id	page	record	statement_id	observed_surface	card_no	gloss_free_mechanical_reading_de	context_requirement	complete
E001	f10r	H1	H1-S001	dchey	PROC001	abziehen · kurz · dieser Posten [Rahmen: abnehmen]	PORTABLE_WORDING_AVAILABLE	COMPLETE
E002	f10r	H1	H1-S001	cthoor	PROC002	bereit · Arbeitsgang · Ansatz	PORTABLE_WORDING_AVAILABLE	COMPLETE
E003	f10r	H1	H1-S001	char	PROC003	von dort	PORTABLE_WORDING_AVAILABLE	COMPLETE
E004	f10r	H1	H1-S001	chty	PROC004	eintragen · dieser Posten [Rahmen: eintragen, übertragen]	OWNER_OR_SLOT_CONTEXT_REQUIRED	COMPLETE
E005	f10r	H1	H1-S001	os	PROC005	Arbeitsfach	PORTABLE_WORDING_AVAILABLE	COMPLETE
E006	f10r	H1	H1-S001	chair	PROC006	abziehen · laufender Bestand [Rahmen: ablaufen lassen]	PORTABLE_WORDING_AVAILABLE	COMPLETE
E007	f10r	H1	H1-S001	otytchol	PROC007	danach · dieser Posten · eintragen · abziehen · fortsetzen [Rahmen: abnehmen, eintragen]	PORTABLE_WORDING_AVAILABLE	COMPLETE
E008	f10r	H1	H1-S001	oky	PROC008	ansetzen · dieser Posten [Rahmen: einsetzen, einleiten, anlegen]	OWNER_OR_SLOT_CONTEXT_REQUIRED	COMPLETE
E009	f10r	H1	H1-S001	daiin	PROC009	vorgeschriebenes Maß	PORTABLE_WORDING_AVAILABLE	COMPLETE
E010	f10r	H1	H1-S001	etyd	PROC010	kurz · eintragen · dieser Posten [Rahmen: eintragen]	PORTABLE_WORDING_AVAILABLE	COMPLETE
E011	f10r	H1	H1-S002	qokchy	PROC011	ansetzen · dieser Posten [Rahmen: einsetzen, ansetzen]	OWNER_OR_SLOT_CONTEXT_REQUIRED	COMPLETE
E012	f10r	H1	H1-S002	qotchol	PROC012	danach · abziehen · fortsetzen [Rahmen: abnehmen]	PORTABLE_WORDING_AVAILABLE	COMPLETE
E013	f10r	H1	H1-S002	chol	PROC013	fortsetzen	PORTABLE_WORDING_AVAILABLE	COMPLETE
E014	f10r	H1	H1-S002	cthy	PROC014	bereit · dieser Posten	PORTABLE_WORDING_AVAILABLE	COMPLETE
E015	f10r	H2	H2-S001	ycheor	PROC015	dieser Posten · abziehen · kurz · Ansatz [Rahmen: abziehen]	PORTABLE_WORDING_AVAILABLE	COMPLETE
E016	f10r	H2	H2-S001	cthy	PROC014	bereit · dieser Posten	PORTABLE_WORDING_AVAILABLE	COMPLETE
E017	f10r	H2	H2-S001	chor	PROC016	Ansatz	PORTABLE_WORDING_AVAILABLE	COMPLETE
E018	f10r	H2	H2-S001	cthaiin	PROC017	bereit · vorgeschriebenes Maß	PORTABLE_WORDING_AVAILABLE	COMPLETE
E019	f10r	H2	H2-S001	qoctholy	PROC018	Arbeitsgang · bereit · fortsetzen · dieser Posten	PORTABLE_WORDING_AVAILABLE	COMPLETE
E020	f10r	H2	H2-S001	dy	PROC019	dieser Posten	PORTABLE_WORDING_AVAILABLE	COMPLETE
E021	f10r	H2	H2-S001	chy	PROC019	dieser Posten	PORTABLE_WORDING_AVAILABLE	COMPLETE
E022	f10r	H2	H2-S001	taiin	PROC009	vorgeschriebenes Maß	PORTABLE_WORDING_AVAILABLE	COMPLETE
E023	f10r	H2	H2-S001	shy	PROC019	dieser Posten	PORTABLE_WORDING_AVAILABLE	COMPLETE
E024	f10r	H2	H2-S002	qotchor	PROC020	danach · abziehen · Ansatz [Rahmen: abziehen]	PORTABLE_WORDING_AVAILABLE	COMPLETE
E025	f10r	H2	H2-S002	chor	PROC016	Ansatz	PORTABLE_WORDING_AVAILABLE	COMPLETE
E026	f10r	H2	H2-S002	otol	PROC021	danach · fortsetzen	PORTABLE_WORDING_AVAILABLE	COMPLETE
E027	f10r	H2	H2-S002	chol	PROC013	fortsetzen	PORTABLE_WORDING_AVAILABLE	COMPLETE
E028	f10r	H2	H2-S002	cholor	PROC022	fortsetzen · Ansatz	PORTABLE_WORDING_AVAILABLE	COMPLETE
