core	endpoint	grade	status	events	surfaces	reading_de
OK	Y	E	ATTESTED	2	okey,qokey	ANSETZEN · KURZ · DIES
OK	Y	EE	ATTESTED	7	okeey,qokeey	ANSETZEN · LANG · DIES
OK	Y	EEE	FORMABLE_BY_REPEATED_LADDER	0	okeeey,qokeeey	ANSETZEN · VOLL · DIES
OK	DY	E	ATTESTED	8	qokedy	ANSETZEN · KURZ · SCHLUSS
OK	DY	EE	ATTESTED	10	qokeedy	ANSETZEN · LANG · SCHLUSS
OK	DY	EEE	ATTESTED	1	qokeeedy	ANSETZEN · VOLL · SCHLUSS
OK	AL	E	NO_LOCAL_LADDER	0	NONE	NOT_ASSIGNED
OK	AL	EE	ATTESTED	1	qokeedal	ANSETZEN · LANG · ZIELSTELLE
OK	AL	EEE	NO_LOCAL_LADDER	0	NONE	NOT_ASSIGNED
OK	OL	E	NO_LOCAL_LADDER	0	NONE	NOT_ASSIGNED
OK	OL	EE	ATTESTED	1	okeeol	ANSETZEN · LANG · WEITER
OK	OL	EEE	NO_LOCAL_LADDER	0	NONE	NOT_ASSIGNED
OK	AIIN	E	NO_LOCAL_LADDER	0	NONE	NOT_ASSIGNED
OK	AIIN	EE	NO_LOCAL_LADDER	0	NONE	NOT_ASSIGNED
OK	AIIN	EEE	NO_LOCAL_LADDER	0	NONE	NOT_ASSIGNED
OT	Y	E	NO_LOCAL_LADDER	0	NONE	NOT_ASSIGNED
OT	Y	EE	ATTESTED	2	oteey	DANACH · LANG · DIES
OT	Y	EEE	NO_LOCAL_LADDER	0	NONE	NOT_ASSIGNED
OT	DY	E	ATTESTED	2	otedy	DANACH · KURZ · SCHLUSS
OT	DY	EE	ATTESTED	2	qoteedy	DANACH · LANG · SCHLUSS
OT	DY	EEE	FORMABLE_BY_REPEATED_LADDER	0	qoteeedy	DANACH · VOLL · SCHLUSS
OT	AL	E	NO_LOCAL_LADDER	0	NONE	NOT_ASSIGNED
OT	AL	EE	NO_LOCAL_LADDER	0	NONE	NOT_ASSIGNED
OT	AL	EEE	NO_LOCAL_LADDER	0	NONE	NOT_ASSIGNED
OT	OL	E	NO_LOCAL_LADDER	0	NONE	NOT_ASSIGNED
OT	OL	EE	NO_LOCAL_LADDER	0	NONE	NOT_ASSIGNED
OT	OL	EEE	NO_LOCAL_LADDER	0	NONE	NOT_ASSIGNED
OT	AIIN	E	ATTESTED	1	qotedaiin	DANACH · KURZ · SOLLMASS
OT	AIIN	EE	NO_LOCAL_LADDER	0	NONE	NOT_ASSIGNED
OT	AIIN	EEE	NO_LOCAL_LADDER	0	NONE	NOT_ASSIGNED
