statement_id	record_unit_id	page	picture_owner	events	event_ids	field_ids	literal_card_chain_de	controlled_fluent_reading_de	silent_subject	discarded_content_reintroduced
H1-S001	H1	f10r	F10R_PICTURED_PLANT	10	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	F001	dies kurz abziehen; Ansatz bereit; dasselbe; dies fuellen; Gefäß; Wasser abziehen; danach dies fuellen und weiter abziehen; verwende dies; Mass; dies kurz fuellen.	Von der abgebildeten Pflanze kurz abziehen; der Ansatz ist bereit. Dasselbe in das Gefäß füllen. Wasser abziehen, danach diesen Posten füllen und weiter abziehen. Dies nach Maß verwenden und kurz füllen.	PICTURED_PLANT	NO
H1-S002	H1	f10r	F10R_PICTURED_PLANT	4	E011|E012|E013|E014	F002	dies ansetzen; danach weiter abziehen; fortsetzen; bereit.	Diesen Posten ansetzen, danach weiter abziehen und fortfahren, bis er bereit ist.	INHERITED_RECORD_ITEM	NO
H2-S001	H2	f10r	F10R_PICTURED_PLANT	9	E015|E016|E017|E018|E019|E020|E021|E022|E023	F003	diesen Ansatz kurz abziehen; bereit; Ansatz; auf Maß bereitstellen; dies bereit weiterführen; dies; dies; Mass; dies.	Diesen Ansatz kurz abziehen; der Ansatz ist bereit. Ihn auf Maß bereitstellen und als bereiten Posten weiterführen; dieser Posten bleibt am Maß.	PICTURED_PLANT	NO
H2-S002	H2	f10r	F10R_PICTURED_PLANT	8	E024|E025|E026|E027|E028|E029|E030|E031	F004	danach Ansatz abziehen; Ansatz; danach fortsetzen; fortsetzen; weiterer Ansatz; fortsetzen; Mass; dasselbe.	Danach vom Ansatz abziehen und damit fortfahren. Den weiteren Ansatz nach Maß ebenso fortführen.	INHERITED_RECORD_ITEM	NO
H2-S003	H2	f10r	F10R_PICTURED_PLANT	7	E032|E033|E034|E035|E036|E037|E038	F005	dies dem Ansatz zuführen; Ansatz; Ansatz; dies; bis zur Sollstufe zuführen; dies; auf Maß abziehen.	Diesen Posten dem Ansatz zuführen; der Ansatz bleibt aktiv. Dies bis zur Sollstufe zuführen und auf Maß abziehen.	INHERITED_RECORD_ITEM	NO
H3-S001	H3	f11r	F11R_PICTURED_PLANT	7	E039|E040|E041|E042|E043|E044|E045	F006	weiter gefuellt halten; an der Stelle halten; auswringen; dies bis zum Maß halten; dies hineinführen; Klarauszug; fuellen und abziehen; Schluss.	Den gefüllten Posten weiter an der Stelle halten, auswringen, bis zum Maß halten und hineinführen. Den Klarauszug nehmen; füllen und abziehen; Schluss.	PICTURED_PLANT	NO
H3-S002	H3	f11r	F11R_PICTURED_PLANT	1	E046	F007	dies halten und fuellen.	Diesen Posten halten und füllen.	INHERITED_RECORD_ITEM	NO
H3-S003	H3	f11r	F11R_PICTURED_PLANT	5	E047|E048|E049|E050|E051	F008	fortsetzen; dies; dies zuführen; dies; Mass.	Fortfahren; diesen Posten zuführen und ihn nach Maß weiterführen.	INHERITED_RECORD_ITEM	NO
H3-S004	H3	f11r	F11R_PICTURED_PLANT	4	E052|E053|E054|E055	F009	nächster Posten; weiter ansetzen; bereit; dies.	Den nächsten Posten weiter ansetzen; sobald er bereit ist, gilt dieser Posten.	INHERITED_RECORD_ITEM	NO
H4-S001	H4	f55v	F55V_PICTURED_PLANT	5	E056|E057|E058|E059|E060	F010	bemessen; Mass; eine Portion davon zuführen; eine Portion davon zuführen; Arbeitsgang abschließen.	Bemessen: nach Maß eine Portion davon zuführen, dann noch eine Portion; den Arbeitsgang abschließen.	PICTURED_PLANT	NO
