line_no	visible_no	source_position	surface	joint_tuple_id	atomic_value_de	slot_family	slot_rank	owner	planted_role_hidden_from_corrector
1	1	1	or	7a4bb8136330ee4e6e56	Ansatz	B03	1	B3_MAIN_ARCH_LINKED_PAIR	SOURCE
1	2	2	kain	9da1b6ac2c929daea697	Portion	M02	2	B3_MAIN_ARCH_LINKED_PAIR	SOURCE
1	3	3	chckhy	2cc8bb3c2af19607888f	durchleiten	T04	3	B3_MAIN_ARCH_LINKED_PAIR	SOURCE
1	4	4	cheky	d904bf7b044dd3922781	Kurzwärme	D04	4	B3_MAIN_ARCH_LINKED_PAIR	LEGAL_ANTICIPATION
2	1	4	cheky	d904bf7b044dd3922781	Kurzwärme	D04	4	B3_MAIN_ARCH_LINKED_PAIR	SOURCE
2	2	5	oky	276a7c2d74d1143446f4	Einsetzen	Z02	5	B3_MAIN_ARCH_LINKED_PAIR	SOURCE
2	3	6	aiin	2f1c5e56e8f0ff459065	Sollmaß	M01	2	B3_MAIN_ARCH_LINKED_PAIR	ILLEGAL_RESET_DUPLICATE
3	1	6	aiin	2f1c5e56e8f0ff459065	Sollmaß	M01	2	B3_MAIN_ARCH_LINKED_PAIR	SOURCE
3	2	7	okeey	0275fbf14e07935b0a45	Langkontakt	D03	4	B3_MAIN_ARCH_LINKED_PAIR	SOURCE
3	3	8	qokedy	7db18b2f0fb7ed0fcfd3	Kurzkontakt	D03	4	B3_MAIN_ARCH_LINKED_PAIR	SOURCE
