source_group_id	unit_id	record_id	page	surface_layer	atom_layer	minimal_dictionary_layer	owner_layer	neutral_source_clause_layer	rich_content_source
E039	H3-S001	H3	f11r	tshol	HO+L	Zutat entnehmen	der ganzen dicht blau bekrönten Bildpflanze	Setze die gelernte Fachkarte: Zutat entnehmen.	SIMULATED_MASTER_EXEMPLAR
E040	H3-S001	H3	f11r	schoal	HO+AL	Zutat an die Arbeitsstelle geben	der ganzen dicht blau bekrönten Bildpflanze	Setze die gelernte Fachkarte: Zutat an die Arbeitsstelle geben.	SIMULATED_MASTER_EXEMPLAR
E041	H3-S001	H3	f11r	cfhy	CFH+Y	auswringen + dies	der ganzen dicht blau bekrönten Bildpflanze	Führe es mit diesem laufenden Posten aus: aktuellen Posten auswringen.	SIMULATED_MASTER_EXEMPLAR
E042	H3-S001	H3	f11r	shfydaiin	SH+AIIN	halten + Sollwert	der ganzen dicht blau bekrönten Bildpflanze	Führe es in der angegebenen Portion oder Stufe aus: Standmaß.	SIMULATED_MASTER_EXEMPLAR
E043	H3-S001	H3	f11r	cphy	CPH+Y	nachseihen + dies	der ganzen dicht blau bekrönten Bildpflanze	Führe es mit diesem laufenden Posten aus: aktuellen Posten nachseihen.	SIMULATED_MASTER_EXEMPLAR
E044	H3-S001	H3	f11r	shey	CHEEY	klarer Auszug	der ganzen dicht blau bekrönten Bildpflanze	Setze die gelernte Fachkarte: klarer Auszug.	SIMULATED_MASTER_EXEMPLAR
E045	H3-S001	H3	f11r	tchody	HO+CLOSE	Eingangsposten beiseitestellen; Schluss	der ganzen dicht blau bekrönten Bildpflanze	Setze die gelernte Fachkarte: Eingangsposten beiseitestellen; Schluss.	SIMULATED_MASTER_EXEMPLAR
E046	H3-S002	H3	f11r	shoyty	HO+Y+TY	Zutatenteil	der ganzen dicht blau bekrönten Bildpflanze	Setze die gelernte Fachkarte: Zutatenteil.	SIMULATED_MASTER_EXEMPLAR
E047	H3-S003	H3	f11r	dchol	PREV+OL	vorher + weiter	der ganzen dicht blau bekrönten Bildpflanze	Danach oder in demselben Gang: vorigen Posten fortsetzen.	SIMULATED_MASTER_EXEMPLAR
E048	H3-S003	H3	f11r	chy	Y	dies	der ganzen dicht blau bekrönten Bildpflanze	Nimm diesen Posten wieder auf: dieser Posten.	SIMULATED_MASTER_EXEMPLAR
E049	H3-S003	H3	f11r	kchy	KCH+Y	bearbeiten + dies	der ganzen dicht blau bekrönten Bildpflanze	Führe es mit diesem laufenden Posten aus: diesen Posten bearbeiten.	SIMULATED_MASTER_EXEMPLAR
E050	H3-S003	H3	f11r	dy	Y	dies	der ganzen dicht blau bekrönten Bildpflanze	Nimm diesen Posten wieder auf: dieser Posten.	SIMULATED_MASTER_EXEMPLAR
E051	H3-S003	H3	f11r	daiin	AIIN	Sollwert	der ganzen dicht blau bekrönten Bildpflanze	Setze Maß, Portion oder Stufe: Sollmaß.	SIMULATED_MASTER_EXEMPLAR
E052	H3-S004	H3	f11r	qotchy	OT+Y	danach + dies	der ganzen dicht blau bekrönten Bildpflanze	Danach oder in demselben Gang: anschließender Arbeitsposten.	SIMULATED_MASTER_EXEMPLAR
E053	H3-S004	H3	f11r	okchol	OK+OL	ansetzen + weiter	der ganzen dicht blau bekrönten Bildpflanze	Danach oder in demselben Gang: weiterlaufenden Posten aufnehmen.	SIMULATED_MASTER_EXEMPLAR
E054	H3-S004	H3	f11r	cthy	CTH+Y	bereit + dies	der ganzen dicht blau bekrönten Bildpflanze	Führe es mit diesem laufenden Posten aus: bereit.	SIMULATED_MASTER_EXEMPLAR
E055	H3-S004	H3	f11r	dy	Y	dies	der ganzen dicht blau bekrönten Bildpflanze	Nimm diesen Posten wieder auf: dieser Posten.	SIMULATED_MASTER_EXEMPLAR
E167	B2-S001	B2	f82r	dchedy	CHD+CLOSE	umsetzen + Ende	den oberen Paarbecken mit Zylinder	Führe die Handlung aus; schließe nur bei Endkarte: Posten überführen; Schluss.	SIMULATED_MASTER_EXEMPLAR
