master_event_id	position	anchor_kind	hand_a_surface	hand_b_surface	mixed_surface	exact_card	use_de
MP001	1	VARIABLE_HAND_MARKER	okchy	chokchy	okchy	PROC011	lokalisiert die Hand
MP002	2	VARIABLE_HAND_MARKER	aiin	chaiin	aiin	PROC009	lokalisiert die Hand
MP003	3	INVARIANT_CARD_ANCHOR	cho	cho	cho	PROC052	sichert nur Kartenidentitaet
MP004	4	VARIABLE_HAND_MARKER	okchy	chokchy	okchy	PROC011	lokalisiert die Hand
MP005	5	INVARIANT_CARD_ANCHOR	kchoar	kchoar	kchoar	PROC063	sichert nur Kartenidentitaet
MP006	6	VARIABLE_HAND_MARKER	aiin	chaiin	aiin	PROC009	lokalisiert die Hand
MP007	7	VARIABLE_HAND_MARKER	chdy	chedy	chdy	PROC042	lokalisiert die Hand
MP008	8	INVARIANT_CARD_ANCHOR	talam	talam	talam	PROC043	sichert nur Kartenidentitaet
MP009	9	VARIABLE_HAND_MARKER	aiin	chaiin	aiin	PROC009	lokalisiert die Hand
MP010	10	INVARIANT_CARD_ANCHOR	dchdy	dchdy	dchdy	PROC094	sichert nur Kartenidentitaet
MP011	11	VARIABLE_HAND_MARKER	or	chor	or	PROC016	lokalisiert die Hand
MP012	12	VARIABLE_HAND_MARKER	aiin	chaiin	aiin	PROC009	lokalisiert die Hand
MP013	13	VARIABLE_HAND_MARKER	oky	choky	oky	PROC008	lokalisiert die Hand
MP014	14	VARIABLE_HAND_MARKER	al	cheal	cheal	PROC055	lokalisiert die Hand
MP015	15	INVARIANT_CARD_ANCHOR	dchedy	dchedy	dchedy	PROC076	sichert nur Kartenidentitaet
MP016	16	INVARIANT_CARD_ANCHOR	chedchy	chedchy	chedchy	PROC133	sichert nur Kartenidentitaet
MP017	17	VARIABLE_HAND_MARKER	okal	qokal	qokal	PROC048	lokalisiert die Hand
MP018	18	INVARIANT_CARD_ANCHOR	dchedy	dchedy	dchedy	PROC076	sichert nur Kartenidentitaet
MP019	19	INVARIANT_CARD_ANCHOR	ytey	ytey	ytey	PROC090	sichert nur Kartenidentitaet
MP020	20	VARIABLE_HAND_MARKER	okchedy	qokchedy	qokchedy	PROC091	lokalisiert die Hand
MP021	21	INVARIANT_CARD_ANCHOR	qokchdy	qokchdy	qokchdy	PROC082	sichert nur Kartenidentitaet
MP022	22	INVARIANT_CARD_ANCHOR	dchedy	dchedy	dchedy	PROC076	sichert nur Kartenidentitaet
MP023	23	VARIABLE_HAND_MARKER	chdy	chedy	chedy	PROC042	lokalisiert die Hand
MP024	24	VARIABLE_HAND_MARKER	aiin	chaiin	chaiin	PROC009	lokalisiert die Hand
MP025	25	INVARIANT_CARD_ANCHOR	chckhy	chckhy	chckhy	PROC075	sichert nur Kartenidentitaet
MP026	26	INVARIANT_CARD_ANCHOR	dchedy	dchedy	dchedy	PROC076	sichert nur Kartenidentitaet
MP027	27	INVARIANT_CARD_ANCHOR	qokchdy	qokchdy	qokchdy	PROC082	sichert nur Kartenidentitaet
