unified_serial	job_id	phase	page	local_unit	source_group_id	visible_owner	visible_surface	current_reading_de	menu_status	orientation	crosspage_key
U001	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E001	H1	dchey	Wurzel · Posten	ACTIVE_PROSE	PROSE_ORDER	NONE
U002	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E002	H1	cthoor	bereitstellen · Ansatz	ACTIVE_PROSE	PROSE_ORDER	NONE
U003	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E003	H1	char	davon	ACTIVE_PROSE	PROSE_ORDER	NONE
U004	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E004	H1	chty	einen Teil abtrennen	ACTIVE_PROSE	PROSE_ORDER	NONE
U005	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E005	H1	os	Gefäß	ACTIVE_PROSE	PROSE_ORDER	NONE
U006	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E006	H1	chair	Flüssigkeitslauf	ACTIVE_PROSE	PROSE_ORDER	NONE
U007	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E007	H1	otytchol	danach · Teil · weiter	ACTIVE_PROSE	PROSE_ORDER	NONE
U008	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E008	H1	oky	diesen Posten einsetzen	ACTIVE_PROSE	PROSE_ORDER	NONE
U009	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E009	H1	daiin	Sollmaß	ACTIVE_PROSE	PROSE_ORDER	NONE
U010	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E010	H1	etyd	kurz · Teil	ACTIVE_PROSE	PROSE_ORDER	NONE
U011	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S002	E011	H1	qokchy	diesen Posten weiterbearbeiten	ACTIVE_PROSE	PROSE_ORDER	NONE
U012	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S002	E012	H1	qotchol	danach · weiter	ACTIVE_PROSE	PROSE_ORDER	NONE
U013	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S002	E013	H1	chol	weiter	ACTIVE_PROSE	PROSE_ORDER	NONE
U014	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S002	E014	H1	cthy	diesen Posten bereitstellen	ACTIVE_PROSE	PROSE_ORDER	NONE
U015	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H2-S001	E015	H2	ycheor	Posten · Auszug · Ansatz	ACTIVE_PROSE	PROSE_ORDER	NONE
U016	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H2-S001	E016	H2	cthy	diesen Posten bereitstellen	ACTIVE_PROSE	PROSE_ORDER	NONE
U017	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H2-S001	E017	H2	chor	Arbeitsansatz	ACTIVE_PROSE	PROSE_ORDER	NONE
U018	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H2-S001	E018	H2	cthaiin	bereitstellen · Sollmaß	ACTIVE_PROSE	PROSE_ORDER	NONE
U019	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H2-S001	E019	H2	qoctholy	bereitstellen · weiter · Posten	ACTIVE_PROSE	PROSE_ORDER	NONE
U020	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H2-S001	E020	H2	dy	dieser Posten	ACTIVE_PROSE	PROSE_ORDER	NONE
U021	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H2-S001	E021	H2	chy	dieser Posten	ACTIVE_PROSE	PROSE_ORDER	NONE
U022	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H2-S001	E022	H2	taiin	Sollmaß	ACTIVE_PROSE	PROSE_ORDER	NONE
U023	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H2-S001	E023	H2	shy	dieser Posten	ACTIVE_PROSE	PROSE_ORDER	NONE
U024	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H2-S002	E024	H2	qotchor	nächster Arbeitsansatz	ACTIVE_PROSE	PROSE_ORDER	NONE
U025	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H2-S002	E025	H2	chor	Arbeitsansatz	ACTIVE_PROSE	PROSE_ORDER	NONE
U026	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H2-S002	E026	H2	otol	danach · weiter	ACTIVE_PROSE	PROSE_ORDER	NONE
U027	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H2-S002	E027	H2	chol	weiter	ACTIVE_PROSE	PROSE_ORDER	NONE
U028	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H2-S002	E028	H2	cholor	damit weiter	ACTIVE_PROSE	PROSE_ORDER	NONE
U029	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H2-S002	E029	H2	chol	weiter	ACTIVE_PROSE	PROSE_ORDER	NONE
U030	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H2-S002	E030	H2	daiin	Sollmaß	ACTIVE_PROSE	PROSE_ORDER	NONE
U031	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H2-S002	E031	H2	dar	davon	ACTIVE_PROSE	PROSE_ORDER	NONE
