parameter_role	card_or_component	selected_value_de	ca_1420_teaching_parallel	workshop_use
PORTION_CORE	AIN	PORTION	PARS	physical share of the active material
PORTION_ADD	OK+AIN	PORTION ZUGEBEN	PONE PARTEM	add one portion
PORTION_MORE	OL+AIN	WEITERE PORTION	PARS ULTERIOR	continue with another portion
BATCH_PORTION	OR+AIN	ANSATZPORTION	PARS COMPOSITI	portion of the batch
ITEM_PORTION	Y+AIN	POSTENPORTION	PARS EIUS	portion of the current item
TRANSFER_PORTION	CHED+AIN	PORTION UMSETZEN	PARTEM TRANSFERE	transfer a portion
MEASURE_CORE	AIIN	SOLLMASS	MENSURA DEBITA	selected working measure
MEASURE_SET	OK+AIIN	AUF SOLLMASS EINSTELLEN	PONE AD MENSURAM	set the measure
MEASURE_NEXT	OT+AIIN	FOLGEMASS	MENSURA SEQUENS	measure for the following step
MEASURE_ITEM	Y+AIIN	POSTENMASS	MENSURA EIUS	measure of the current item
MEASURE_INGREDIENT	HO+AIIN	ZUTATENMASS	MENSURA SPECIEI	ingredient measure
MEASURE_READY	CTH+AIIN	FERTIGMASS	MENSURA PARATA	ready threshold
MEASURE_STAND	SHFY+AIIN	STANDMASS	MENSURA STANDI	standing threshold
MEASURE_SETTLE	CHLD+AIIN	ABSETZMASS	MENSURA DEPOSITIONIS	settling threshold
STAGE_CORE	IIN	SOLLSTUFE	GRADUS DEBITUS	target process stage
STAGE_SOFT	K+IIN	WEICHSTUFE	GRADUS MOLLIS	softness stage
STAGE_OPENING	DA+IIN	ÖFFNUNGSSTUFE	GRADUS APERTURAE	opening setting
MIDDLE_MEASURE	SHECKHAL	MITTELMASS	MENSURA MEDIA	learned intermediate setting
HOLD_TIME	CHCKHAL	HALTEZEIT	TEMPUS TENENDI	learned duration setting
DOSE	KEOL	GABE	DOSIS	learned administration unit
WET_SITE	LCHEEY	NASSSTELLE	LOCUS MADIDUS	learned application site
