component_id	symbol	short_meaning_de	component_class	composition_position_de	observed_examples	apprentice_gloss_de
A01	AIIN	VORGABEWERT	ARGUMENT	bei Posten, Maß oder Wert	aiin / okaiin / otaiin	AIIN heißt immer kurz VORGABEWERT
A02	AIN	ANTEIL	ARGUMENT	bei Posten, Maß oder Wert	okain / orain / ykain	AIN heißt immer kurz ANTEIL
A03	AR	VOM AUSGANG	DIRECTION	vor oder nach der Handlung	char / otar / qokar	AR heißt immer kurz VOM AUSGANG
A04	AL	ZUM ZIEL	DIRECTION	vor oder nach der Handlung	dal / okal / otal	AL heißt immer kurz ZUM ZIEL
A05	Y	AKTUELLER POSTEN	REFERENT	als laufender Gegenstand	y / chdy / otchey	Y heißt immer kurz AKTUELLER POSTEN
A06	OK	SETZEN	OPERATION	als Handlungskern	oky / okey / okal	OK heißt immer kurz SETZEN
A07	OL	FORTSETZEN	ORDER	vor der folgenden Handlung	ol / oldy / otol	OL heißt immer kurz FORTSETZEN
A08	OT	FOLGEND	ORDER	vor der folgenden Handlung	otar / otchey / oteey	OT heißt immer kurz FOLGEND
A09	E	KURZ	GRADE	zwischen Handlung und Referent oder Schluss	okey / kchey / otedy	E heißt immer kurz KURZ
A10	EE	LÄNGER	GRADE	zwischen Handlung und Referent oder Schluss	okeey / oteey / sheey	EE heißt immer kurz LÄNGER
A11	EEE	VOLLSTÄNDIG	GRADE	zwischen Handlung und Referent oder Schluss	qokeeedy	EEE heißt immer kurz VOLLSTÄNDIG
A12	CHD	ÜBERTRAGEN	OPERATION	als Handlungskern	chdy / otchdy / dchedy	CHD heißt immer kurz ÜBERTRAGEN
A13	OR	ANSATZ ODER SATZ	OBJECT	als Arbeitsgegenstand	or / olor / otchor	OR heißt immer kurz ANSATZ ODER SATZ
A14	HO	EINGANGSPOSTEN	OBJECT	als Arbeitsgegenstand	cho / chochor / chodaly	HO heißt immer kurz EINGANGSPOSTEN
A15	KCH	BEARBEITEN	OPERATION	als Handlungskern	kchy / kchey / kchal	KCH heißt immer kurz BEARBEITEN
A16	SH	HALTEN	STATE	als Haltehandlung	sheey / rsheal / dsheol	SH heißt immer kurz HALTEN
A17	CLOSE	SCHLIESSEN	CLOSURE	immer am Kartenende	oldy / qokedy / otchdy	CLOSE heißt immer kurz SCHLIESSEN
W01	CHEEY	FREIGEGEBENER WERT	LEARNED_WHOLE_CARD	unteilbar auswendig lernen	cheey / shey	CHEEY heißt immer kurz FREIGEGEBENER WERT
W02	DAIN	ABDECKTRÄGER	LEARNED_WHOLE_CARD	unteilbar auswendig lernen	dain	DAIN heißt immer kurz ABDECKTRÄGER
W03	ODY	ZURÜCKNEHMEN	LEARNED_WHOLE_CARD	unteilbar auswendig lernen	ody	ODY heißt immer kurz ZURÜCKNEHMEN
W04	OS	UMSCHLIESSENDER TRÄGER	LEARNED_WHOLE_CARD	unteilbar auswendig lernen	os	OS heißt immer kurz UMSCHLIESSENDER TRÄGER
