occurrence_id	bridge_id	template_id	register	statement_id	page	record	event_ids	surface_pair	card_pair	component_pair	local_template_reading_de	full_statement_de	direct_cross_reference
PO01	BG01	PT1	HERBAL_WHAT	H1-S001	f10r	H1	E008,E009	oky daiin	PROC008>PROC009	OK+Y>AIIN	Diesen Posten bis zum Maß ansetzen.	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; Wasser entnehmen, danach den Posten weiterfuehren, nach Mass ansetzen und kurz anwenden.	NONE
PO02	BG01	PT1	BIOLOGICAL_HOW	B3-S030	f83r	B3	E298,E299	qoky saiin	PROC008>PROC009	OK+Y>AIIN	Diesen Posten bis zum Maß ansetzen.	Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Mass ansetzen, die laufende Fluessigkeit umsetzen; danach nochmals umsetzen und schliessen.	NONE
PO03	BG02	PT2	HERBAL_WHAT	H2-S001	f10r	H2	E022,E023	taiin shy	PROC009>PROC019	AIIN>Y	Den aktuellen Posten nach dem Maß beibehalten.	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Mass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.	NONE
PO04	BG02	PT2	BIOLOGICAL_HOW	B2-S012	f82r	B2	E207,E208	daiin chey	PROC009>PROC019	AIIN>Y	Den aktuellen Posten nach dem Maß beibehalten.	An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten weiterleiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger weiterleiten; nach Mass beibehalten, vollstaendig ansetzen und schliessen.	NONE
PO05	BG02	PT2	BIOLOGICAL_HOW	B3-S003	f83r	B3	E233,E234	daiin chey	PROC009>PROC019	AIIN>Y	Den aktuellen Posten nach dem Maß beibehalten.	An der oberen offenen Faecherstation: Den laufenden Posten nach Mass beibehalten, anschliessend weiterleiten und umsetzen, dann schliessen.	NONE
PO06	BG03	PT1	HERBAL_WHAT	H2-S002	f10r	H2	E029,E030	chol daiin	PROC013>PROC009	OL>AIIN	Bis zum Maß weiterarbeiten.	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren Fortsetzungsschritten nach Mass aus der Quelle weiterfuehren.	NONE
PO07	BG03	PT1	BIOLOGICAL_HOW	B6-S001	f83r	B6	E376,E377	ol daiin	PROC013>PROC009	OL>AIIN	Bis zum Maß weiterarbeiten.	An der rechten S-Lauf-Nebenstation: Den Posten laenger auffangen, kurz zugeben, am Ziel kuehlen, nach Mass weiterarbeiten, eine Portion nehmen und den Ansatz zum Ziel weiterleiten.	NONE
PO08	BG04	PT3	HERBAL_WHAT	H2-S003	f10r	H2	E034,E035	chor chy	PROC016>PROC019	OR>Y	Diesen Ansatz als laufenden Posten führen.	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiter zugeben und anschliessend im Arbeitsgang nach Mass entnehmen.	NONE
PO09	BG04	PT3	HERBAL_WHAT	H4-S004	f55v	H4	E071,E072	or y	PROC016>PROC019	OR>Y	Diesen Ansatz als laufenden Posten führen.	Bei der breitblaettrigen rispigen Pflanze: Nach Mass am Ziel ansetzen, den laufenden Posten weiter anwenden, als Ansatz beibehalten und als Ansatzportion fuehren.	NONE
PO10	BG04	PT3	BIOLOGICAL_HOW	B4-S014	f83r	B4	E348,E349	or chey	PROC016>PROC019	OR>Y	Diesen Ansatz als laufenden Posten führen.	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, die laufende Fluessigkeit als aktuellen Posten fuehren und schliessen.	NONE
PO11	BG05	PT1	HERBAL_WHAT	H2-S001	f10r	H2	E021,E022	chy taiin	PROC019>PROC009	Y>AIIN	Diesen Posten bis zum Maß führen.	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Mass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.	NONE
PO12	BG05	PT1	HERBAL_WHAT	H3-S003	f11r	H3	E050,E051	dy daiin	PROC019>PROC009	Y>AIIN	Diesen Posten bis zum Maß führen.	Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Mass weiterfuehren.	NONE
PO13	BG05	PT1	BIOLOGICAL_HOW	B3-S003	f83r	B3	E232,E233	chey daiin	PROC019>PROC009	Y>AIIN	Diesen Posten bis zum Maß führen.	An der oberen offenen Faecherstation: Den laufenden Posten nach Mass beibehalten, anschliessend weiterleiten und umsetzen, dann schliessen.	NONE
PO14	BG05	PT1	BIOLOGICAL_HOW	B3-S021	f83r	B3	E273,E274	sy saiin	PROC019>PROC009	Y>AIIN	Diesen Posten bis zum Maß führen.	Im bildlich unverbundenen Zwischenabschnitt: Nach Mass ansetzen und den Posten bereitet halten. Am Ziel nach Mass absetzen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, am Ziel erneut bereitet halten, umsetzen und schliessen.	NONE
PO15	BG06	PT4	HERBAL_WHAT	H2-S002	f10r	H2	E028,E029	cholor chol	PROC022>PROC013	OL+OR>OL	Mit demselben Ansatz weiterarbeiten.	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren Fortsetzungsschritten nach Mass aus der Quelle weiterfuehren.	NONE
PO16	BG06	PT4	BIOLOGICAL_HOW	B1-S002	f81v	B1	E113,E114	olor ol	PROC022>PROC013	OL+OR>OL	Mit demselben Ansatz weiterarbeiten.	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und die laufende Fluessigkeit zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	NONE
