master_card_id	master_form	all_registered_surfaces	semantic_atoms	short_default_de	teaching_tier	productivity_tier	event_count	records	pages
MC001	chdal	chdal	CHD+AL	umsetzen+Ziel	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	B5	f83r
MC002	okeey	okeey|qokeey	OK+EE+Y	ansetzen+länger+Posten	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	7	B1|B2|B3|B4	f81v|f82r|f83r
MC003	sheedy	sheedy	SHED+EE+CLOSE	absetzen+länger+Schluss	SPECIALIST_OR_LEARNED_CARD	NARROW_RECURRENT_PATTERN	1	B3	f83r
MC004	ldy	ldy	L+CLOSE	abführen+Schluss	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	2	B2|B3	f82r|f83r
MC005	okchedy	okchedy|qokchedy	OK+CHD+CLOSE	ansetzen+umsetzen+Schluss	BRIDGE_CARD	BROAD_PRODUCTIVE_PARADIGM	2	B1|B3	f81v|f83r
MC006	chokcheo	chokcheo	OK+CHEO	ansetzen+Auszug	SPECIALIST_OR_LEARNED_CARD	BROAD_PRODUCTIVE_PARADIGM	1	H5	f56r
MC007	okey	okey|qokey	OK+E+Y	ansetzen+kurz+Posten	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	2	B1|B2	f81v|f82r
MC008	lchy	lchy	L+Y	abführen+Posten	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	B2	f82r
MC009	chary	chary	AR+Y	Quelle+Posten	CORE_CARD	LEARNED_WHOLE_CARD	1	B3	f83r
MC010	chodaly	chodaly	HO+AL+Y	Zutat+Ziel+Posten	SPECIALIST_OR_LEARNED_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	H5	f56r
MC011	lchedar	lchedar	L+CHD+AR	abführen+umsetzen+Quelle	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	B2	f82r
MC012	dl	dl	LOCAL_WHOLE	Zusatz	SPECIALIST_OR_LEARNED_CARD	LEARNED_WHOLE_CARD	2	B1	f81v
MC013	otchor	otchor|qotchor	OT+OR	danach+Ansatz	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	2	H2|H5	f10r|f56r
MC014	chair	chair	AIR	Lauf	BRIDGE_CARD	LEARNED_WHOLE_CARD	1	H1	f10r
MC015	qokokchy	qokokchy	OK+OK+Y	ansetzen+ansetzen+Posten	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	1	H5	f56r
MC016	rol	rol	OL	weiter	CORE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	B1	f81v
MC017	okain	okain|qokain	OK+AIN	ansetzen+Anteil	BRIDGE_CARD	BROAD_PRODUCTIVE_PARADIGM	7	B1|B2|B3|B4	f81v|f82r|f83r
MC018	qotedaiin	qotedaiin	OT+E+AIIN	danach+kurz+Sollmaß	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	1	B3	f83r
MC019	oldy	oldy	OL+CLOSE	weiter+Schluss	CORE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	2	B4|H4	f55v|f83r
MC020	solkeey	solkeey	SOLK+EE+Y	sammeln+länger+Posten	SPECIALIST_OR_LEARNED_CARD	NARROW_RECURRENT_PATTERN	1	B6	f83r
MC021	oltchy	oltchy	OL+CTH+Y	weiter+bereit+Posten	CORE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	H4	f55v
MC022	chckhal	chckhal	CKH+AL	Durchlass+Ziel	BRIDGE_CARD	NARROW_RECURRENT_PATTERN	1	B4	f83r
MC023	kair	kair	AIR	Lauf	BRIDGE_CARD	LEARNED_WHOLE_CARD	1	B1	f81v
MC024	qokol	qokol	OK+OL	ansetzen+weiter	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	1	B4	f83r
MC025	dchedy	dchedy|schedy|tchedy	CHD+CLOSE	umsetzen+Schluss	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	4	B1|B2|B3	f81v|f82r|f83r
MC026	choky	choky|oky|qoky	OK+Y	ansetzen+Posten	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	10	B1|B2|B3|B4|H1|H5	f10r|f56r|f81v|f82r|f83r
MC027	oykchor	oykchor	Y+KCH+OR	Posten+bearbeiten+Ansatz	CORE_CARD	LEARNED_WHOLE_CARD	1	H2	f10r
MC028	olchedy	olchedy|qolchedy	OL+CHD+CLOSE	weiter+umsetzen+Schluss	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	3	B1|B2|B3	f81v|f82r|f83r
MC029	lar	lar	L+AR	abführen+Quelle	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	B2	f82r
MC030	lo	lo	L	abführen	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	B3	f83r
MC031	dalchdy	dalchdy	AL+CHD+CLOSE	Ziel+umsetzen+Schluss	BRIDGE_CARD	LEARNED_WHOLE_CARD	1	B3	f83r
MC032	cheeky	cheeky	CHK+EE+Y	wärmen+länger+Posten	BRIDGE_CARD	NARROW_RECURRENT_PATTERN	2	B4|H4	f55v|f83r
MC033	oiiin	oiiin|soiiin	IIN	Stufe	BRIDGE_CARD	LEARNED_WHOLE_CARD	2	B1|B3	f81v|f83r
MC034	cho	cho|sho	HO	Zutat	SPECIALIST_OR_LEARNED_CARD	BOUNDED_PRODUCTIVE_PARADIGM	4	H5	f56r
MC035	chckhy	chckhy|shckhy	CKH+Y	Durchlass+Posten	BRIDGE_CARD	NARROW_RECURRENT_PATTERN	4	B1|B2	f81v|f82r
MC036	solkaiin	solkaiin	SOLK+AIIN	sammeln+Sollmaß	SPECIALIST_OR_LEARNED_CARD	NARROW_RECURRENT_PATTERN	1	B2	f82r
MC037	tchody	tchody	HO+CLOSE	Zutat+Schluss	SPECIALIST_OR_LEARNED_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	H3	f11r
MC038	lshedy	lshedy	WASH+CLOSE	waschen+Schluss	SPECIALIST_OR_LEARNED_CARD	LEARNED_WHOLE_CARD	2	B1	f81v
MC039	aiin	aiin|chaiin|daiin|saiin|taiin	AIIN	Sollmaß	CORE_CARD	LEARNED_WHOLE_CARD	20	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	f10r|f11r|f55v|f56r|f81v|f82r|f83r
MC040	okal	okal|qokal	OK+AL	ansetzen+Ziel	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	6	B1|B2|B3|H4	f55v|f81v|f82r|f83r
MC041	okchol	okchol	OK+OL	ansetzen+weiter	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	1	H3	f11r
MC042	cheedar	cheedar	CHD+AR	umsetzen+Quelle	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	B3	f83r
MC043	shecthedchy	shecthedchy	CTH+CHD+Y	bereit+umsetzen+Posten	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	B3	f83r
MC044	qokar	qokar	OK+AR	ansetzen+Quelle	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	1	B2	f82r
MC045	olkeedy	olkeedy|solkeedy	SOLK+EE+CLOSE	sammeln+länger+Schluss	SPECIALIST_OR_LEARNED_CARD	NARROW_RECURRENT_PATTERN	3	B1|B3	f81v|f83r
MC046	raly	raly	AL+Y	Ziel+Posten	CORE_CARD	LEARNED_WHOLE_CARD	1	B6	f83r
MC047	ykain	ykain	Y+AIN	Posten+Anteil	BRIDGE_CARD	LEARNED_WHOLE_CARD	1	H4	f55v
MC048	kaiiin	kaiiin	IIN	Stufe	BRIDGE_CARD	LEARNED_WHOLE_CARD	1	H2	f10r
MC049	schoal	schoal	HO+AL	Zutat+Ziel	SPECIALIST_OR_LEARNED_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	H3	f11r
MC050	solkey	solkey	SOLK+E+Y	sammeln+kurz+Posten	SPECIALIST_OR_LEARNED_CARD	NARROW_RECURRENT_PATTERN	1	B4	f83r
MC051	lchedal	lchedal	L+CHD+AL	abführen+umsetzen+Ziel	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	B1	f81v
MC052	qekey	qekey	KCH+E+Y	bearbeiten+kurz+Posten	CORE_CARD	NARROW_RECURRENT_PATTERN	1	B6	f83r
MC053	otol	otol	OT+OL	danach+weiter	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	1	H2	f10r
MC054	qokaly	qokaly	OK+AL+Y	ansetzen+Ziel+Posten	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	1	B2	f82r
MC055	char	char|dar|sar	AR	Quelle	CORE_CARD	LEARNED_WHOLE_CARD	5	B1|B2|B3|H1|H2	f10r|f81v|f82r|f83r
MC056	ral	ral	AL	Ziel	CORE_CARD	LEARNED_WHOLE_CARD	1	B1	f81v
MC057	otchedy	otchedy|qotchedy	OT+CHD+CLOSE	danach+umsetzen+Schluss	BRIDGE_CARD	BROAD_PRODUCTIVE_PARADIGM	2	B3	f83r
MC058	sheckhal	sheckhal	CKH+E+AL	Durchlass+kurz+Ziel	BRIDGE_CARD	NARROW_RECURRENT_PATTERN	1	B1	f81v
MC059	dain	dain	DAIN	Tuch	SPECIALIST_OR_LEARNED_CARD	LEARNED_WHOLE_CARD	2	B4|B6	f83r
MC060	otaiin	otaiin|sotaiin	OT+AIIN	danach+Sollmaß	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	3	B2|B3	f82r|f83r
MC061	sshkchdy	sshkchdy	SH+KCH+CHD+CLOSE	halten+bearbeiten+umsetzen+Schluss	BRIDGE_CARD	NARROW_RECURRENT_PATTERN	1	B1	f81v
MC062	shoyty	shoyty	HO+Y+TY	Zutat+Posten+Teil	SPECIALIST_OR_LEARNED_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	H3	f11r
MC063	oteey	oteey	OT+EE+Y	danach+länger+Posten	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	2	B2	f82r
MC064	chedchy	chedchy	CHD+Y	umsetzen+Posten	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	B3	f83r
MC065	ls	ls	L	abführen	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	B2	f82r
MC066	lcheey	lcheey	L+CHEEY	abführen+Ergebnis	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	B2	f82r
MC067	otchdy	otchdy	OT+CHD+CLOSE	danach+umsetzen+Schluss	BRIDGE_CARD	BROAD_PRODUCTIVE_PARADIGM	1	B5	f83r
MC068	sotodan	sotodan	OT+DAN	danach+anwenden	SPECIALIST_OR_LEARNED_CARD	BROAD_PRODUCTIVE_PARADIGM	1	H5	f56r
MC069	otytchol	otytchol	OT+TY+OL	danach+Teil+weiter	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	1	H1	f10r
MC070	pchedy	pchedy	P+CHD+CLOSE	zuführen+umsetzen+Schluss	SPECIALIST_OR_LEARNED_CARD	LEARNED_WHOLE_CARD	1	B2	f82r
