event_id	page	record_unit_id	statement_id	visible_surface	master_card_id	quantity_ending	family_value_de	local_card_value_de	visible_owner	terminal_status
E009	f10r	H1	H1-S001	daiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sollwert	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E018	f10r	H2	H2-S001	cthaiin	MC169	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sollvorbereitung	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E022	f10r	H2	H2-S001	taiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sollwert	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E030	f10r	H2	H2-S002	daiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sollwert	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E038	f10r	H2	H2-S003	chodaiin	MC087	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Zugabemaß	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E042	f11r	H3	H3-S001	shfydaiin	MC111	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Stehzeit	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
E051	f11r	H3	H3-S003	daiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sollwert	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
E056	f55v	H4	H4-S001	qokaiin	MC120	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	bemessen	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
E057	f55v	H4	H4-S001	chaiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sollwert	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
E058	f55v	H4	H4-S001	ykain	MC047	AIN	ABGEGRENZTER_ANTEIL	erste Portion	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
E059	f55v	H4	H4-S001	ykan	MC148	AN	ZWEITER_ODER_ALTERNATIVER_ANTEIL	zweite Portion	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
E061	f55v	H4	H4-S002	daiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sollwert	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
E064	f55v	H4	H4-S003	ykaiin	MC170	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sollportion	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
E068	f55v	H4	H4-S004	aiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sollwert	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
E073	f55v	H4	H4-S004	orain	MC072	AIN	ABGEGRENZTER_ANTEIL	Bereitungsanteil	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
E077	f56r	H5	H5-S001	daiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sollwert	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
E097	f56r	H5	H5-S005	sotodan	MC068	FALSE_FRIEND	GANZKARTE_KEINE_MENGENENDUNG	Folgeanwendung	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
E100	f56r	H5	H5-S006	daiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sollwert	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
E102	f81v	B1	B1-S002	okaiin	MC120	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	bemessen	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
E107	f81v	B1	B1-S002	kain	MC105	AIN	ABGEGRENZTER_ANTEIL	Portion	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
E108	f81v	B1	B1-S002	olkain	MC097	AIN	ABGEGRENZTER_ANTEIL	weiterer Anteil	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
E116	f81v	B1	B1-S002	daiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sollwert	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
E118	f81v	B1	B1-S002	daiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sollwert	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
E127	f81v	B1	B1-S006	qokain	MC017	AIN	ABGEGRENZTER_ANTEIL	Anteil zugeben	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
E169	f82r	B2	B2-S003	qokain	MC017	AIN	ABGEGRENZTER_ANTEIL	Anteil zugeben	obere Paarbecken-/Zylinderstation	NONCLOSE
E178	f82r	B2	B2-S005	solkaiin	MC036	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sollsammlung	obere Paarbecken-/Zylinderstation	NONCLOSE
E180	f82r	B2	B2-S005	qokaiin	MC120	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	bemessen	obere Paarbecken-/Zylinderstation	NONCLOSE
E181	f82r	B2	B2-S005	qokaiin	MC120	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	bemessen	obere Paarbecken-/Zylinderstation	NONCLOSE
E190	f82r	B2	B2-S008	sotaiin	MC060	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Folgemaß	mittlere linke Geräte-/Inline-Knotenstation	NONCLOSE
