rule_id	input_pattern	readable_output	semantic_change
R01	Material dieser Pflanze	Pflanzenmaterial	NONE
R02	entnommene Fraktion aus Pflanzenmaterial	Pflanzenanteil	NONE
R03	laufender Ansatz bei Besitzer	laufender Pflanzen-/Stationsansatz	NONE
R04	Laufflüssigkeit bei Besitzer	Arbeitsflüssigkeit	NONE
R05	abgeteilte Portion von X	Teilportion von X	NONE
R06	Portion von Portion von X	zweite Teilportion von X	NONE
R07	entnommene Fraktion aus Flüssigkeit	abgezogene Flüssigkeitsfraktion	NONE
R08	aufgefangener Bestand von X	aufgefangener Bestand des X	NONE
R09	owner-specific long Bio referent	kurzer Stationsposten	NONE
R10	adjacent identical event values	N× Wert; Ereignis-IDs bleiben einzeln	NONE
R11	ASCII-Umschrift	deutsche Umlaute	NONE
R12	Astro locus owner	Owner: lokale Lesung; kein Cross-Locus-Carry	NONE
