group_serial	page	locus	visible_owner	namespace_id	visible_surface	master_card_id	relation_stems	relation_skeleton_de	portable_prose_value_de	diagram_local_reading_de
13	f67r2	f67r2.5	A1_RIGHT_SECTOR_SLOT_05	F67_RIGHT_WHEEL_NS	okchy	MC103	Y	DIES_AKTUELLER_POSTEN	weiterbearbeiten	Sektorplatz A1_RIGHT_SECTOR_SLOT_05: diesen Diagrammposten setzen.
16	f67r2	f67r2.7	A1_RIGHT_SECTOR_SLOT_07	F67_RIGHT_WHEEL_NS	kchey	MC122	Y	DIES_AKTUELLER_POSTEN	Kurzbearbeitung	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: diesen Diagrammplatz kurz bearbeiten.
22	f67r2	f67r2.10	A1_RIGHT_SECTOR_SLOT_10	F67_RIGHT_WHEEL_NS	kchy	MC117	Y	DIES_AKTUELLER_POSTEN	Bearbeiten	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: diesen Diagrammplatz bearbeiten.
26	f67r2	f67r2.11	A1_RIGHT_SECTOR_SLOT_11	F67_RIGHT_WHEEL_NS	chy	MC123	Y	DIES_AKTUELLER_POSTEN	dies	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: dieser lokale Diagrammposten.
35	f67r2	f67r2.14	A1_RIGHT_RING_BAND_02	F67_RIGHT_WHEEL_NS	oldy	MC019	OL	WEITER_GLEICHER_FORTGANG	fertig	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: fortsetzen und den Eintrag schliessen.
40	f67r2	f67r2.16	A1_LEFT_LOCAL_FIELD_16	F67_LEFT_WHEEL_NS	y	MC123	Y	DIES_AKTUELLER_POSTEN	dies	Sternplatz A1_LEFT_LOCAL_FIELD_16: dieser lokale Diagrammposten.
41	f67r2	f67r2.17	A1_LEFT_LOCAL_FIELD_17	F67_LEFT_WHEEL_NS	otchey	MC171	OT|Y	DANACH_NAECHSTER + DIES_AKTUELLER_POSTEN	das nächste	Sternplatz A1_LEFT_LOCAL_FIELD_17: naechster Diagrammposten.
43	f67r2	f67r2.17	A1_LEFT_LOCAL_FIELD_17	F67_LEFT_WHEEL_NS	dy	MC123	Y	DIES_AKTUELLER_POSTEN	dies	Sternplatz A1_LEFT_LOCAL_FIELD_17: dieser lokale Diagrammposten.
46	f67r2	f67r2.18	A1_LEFT_LOCAL_FIELD_18	F67_LEFT_WHEEL_NS	dal	MC154	AL	ZU_ZIEL	dorthin	Sternplatz A1_LEFT_LOCAL_FIELD_18: zum bezeichneten Zielplatz.
56	f67r2	f67r2.22	A1_LEFT_LOCAL_FIELD_22	F67_LEFT_WHEEL_NS	okal	MC040	AL	ZU_ZIEL	dorthin einsetzen	Sternplatz A1_LEFT_LOCAL_FIELD_22: am Zielplatz setzen.
86	f67r2	f67r2.35	A1_LEFT_LOCAL_FIELD_35	F67_LEFT_WHEEL_NS	chol	MC153	OL	WEITER_GLEICHER_FORTGANG	weiter	Sternplatz A1_LEFT_LOCAL_FIELD_35: im selben Ring oder Band fortsetzen.
91	f67r2	f67r2.36	A1_LEFT_LOCAL_FIELD_36	F67_LEFT_WHEEL_NS	or	MC080	OR	ANSATZ_AKTIVER_SATZ	Ansatz	Sternplatz A1_LEFT_LOCAL_FIELD_36: Bedingungs- oder Tabellensatz.
95	f67r2	f67r2.39	A1_LEFT_LOCAL_FIELD_39	F67_LEFT_WHEEL_NS	sor	MC080	OR	ANSATZ_AKTIVER_SATZ	Ansatz	Sternplatz A1_LEFT_LOCAL_FIELD_39: Bedingungs- oder Tabellensatz.
97	f67r2	f67r2.39	A1_LEFT_LOCAL_FIELD_39	F67_LEFT_WHEEL_NS	dy	MC123	Y	DIES_AKTUELLER_POSTEN	dies	Sternplatz A1_LEFT_LOCAL_FIELD_39: dieser lokale Diagrammposten.
121	f67r2	f67r2.48	A1_LEFT_LOCAL_FIELD_48	F67_LEFT_WHEEL_NS	dy	MC123	Y	DIES_AKTUELLER_POSTEN	dies	Sternplatz A1_LEFT_LOCAL_FIELD_48: dieser lokale Diagrammposten.
126	f67r2	f67r2.50	A1_LEFT_LOCAL_FIELD_50	F67_LEFT_WHEEL_NS	sal	MC154	AL	ZU_ZIEL	dorthin	Sternplatz A1_LEFT_LOCAL_FIELD_50: zum bezeichneten Zielplatz.
130	f67r2	f67r2.54	A1_LEFT_OUTER_STAR_STATION_03	F67_LEFT_WHEEL_NS	y	MC123	Y	DIES_AKTUELLER_POSTEN	dies	Sternplatz A1_LEFT_OUTER_STAR_STATION_03: dieser lokale Diagrammposten.
133	f67r2	f67r2.56	A1_LEFT_OUTER_STAR_STATION_05	F67_LEFT_WHEEL_NS	tol	MC153	OL	WEITER_GLEICHER_FORTGANG	weiter	Sternplatz A1_LEFT_OUTER_STAR_STATION_05: im selben Ring oder Band fortsetzen.
135	f67r2	f67r2.57	A1_LEFT_OUTER_STAR_STATION_06	F67_LEFT_WHEEL_NS	otar	MC121	AR|OT	VON_QUELLE + DANACH_NAECHSTER	Folgequelle	Sternplatz A1_LEFT_OUTER_STAR_STATION_06: danach vom bezeichneten Ausgangsplatz.
136	f67r2	f67r2.57	A1_LEFT_OUTER_STAR_STATION_06	F67_LEFT_WHEEL_NS	dy	MC123	Y	DIES_AKTUELLER_POSTEN	dies	Sternplatz A1_LEFT_OUTER_STAR_STATION_06: dieser lokale Diagrammposten.
138	f67r2	f67r2.58	A1_LEFT_OUTER_STAR_STATION_07	F67_LEFT_WHEEL_NS	dal	MC154	AL	ZU_ZIEL	dorthin	Sternplatz A1_LEFT_OUTER_STAR_STATION_07: zum bezeichneten Zielplatz.
155	f67r2	f67r2.72	A1_LEFT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS	dar	MC055	AR	VON_QUELLE	davon	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: vom bezeichneten Ausgangsplatz.
166	f67r2	f67r2.72	A1_LEFT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS	okey	MC007	Y	DIES_AKTUELLER_POSTEN	kurz einwirken	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: in kurzer Stufe setzen.
168	f67r2	f67r2.73	A1_RIGHT_OUTER_RING_TEXT	F67_RIGHT_WHEEL_NS	sy	MC123	Y	DIES_AKTUELLER_POSTEN	dies	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: dieser lokale Diagrammposten.
213	f68r1	f68r1.3	A2_RIGHT_PANEL_HEADER	F68_RIGHT_PANEL_HEADER_NS	okeey	MC002	Y	DIES_AKTUELLER_POSTEN	lange einwirken	Sektorplatz A2_RIGHT_PANEL_HEADER: in langer Stufe setzen.
234	f68r1	f68r1.20	A2_STAR_STATION_12	F68_LOCAL_STAR_SLOT_NS	olor	MC157	OL|OR	WEITER_GLEICHER_FORTGANG + ANSATZ_AKTIVER_SATZ	derselbe Ansatz	Sternplatz A2_STAR_STATION_12: fortgesetzter Bedingungs- oder Tabellensatz.
237	f68r1	f68r1.23	A2_STAR_STATION_15	F68_LOCAL_STAR_SLOT_NS	otchdy	MC067	OT	DANACH_NAECHSTER	Nachtransfer; Schluss	Sternplatz A2_STAR_STATION_15: den folgenden Platz uebertragen und den Eintrag schliessen.
239	f68r1	f68r1.25	A2_STAR_STATION_17	F68_LOCAL_STAR_SLOT_NS	otol	MC053	OL|OT	WEITER_GLEICHER_FORTGANG + DANACH_NAECHSTER	Fortgang	Sternplatz A2_STAR_STATION_17: danach im selben Ring oder Band fortsetzen.
251	f68r1	f68r1.37	A2_CENTRAL_LEGEND_UNRESOLVED	F68_CENTRAL_LEGEND_QUARANTINE_NS	oky	MC026	Y	DIES_AKTUELLER_POSTEN	einsetzen	Legendenstelle A2_CENTRAL_LEGEND_UNRESOLVED: diesen Diagrammposten setzen.
259	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	sar	MC055	AR	VON_QUELLE	davon	Radstelle A3_LEFT_WHEEL_RING_TEXT: vom bezeichneten Ausgangsplatz.
270	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	okeey	MC002	Y	DIES_AKTUELLER_POSTEN	lange einwirken	Radstelle A3_LEFT_WHEEL_RING_TEXT: in langer Stufe setzen.
273	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	y	MC123	Y	DIES_AKTUELLER_POSTEN	dies	Radstelle A3_LEFT_WHEEL_RING_TEXT: dieser lokale Diagrammposten.
274	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	chey	MC123	Y	DIES_AKTUELLER_POSTEN	dies	Radstelle A3_LEFT_WHEEL_RING_TEXT: dieser lokale Diagrammposten.
276	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	y	MC123	Y	DIES_AKTUELLER_POSTEN	dies	Radstelle A3_LEFT_WHEEL_RING_TEXT: dieser lokale Diagrammposten.
280	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	y	MC123	Y	DIES_AKTUELLER_POSTEN	dies	Radstelle A3_LEFT_WHEEL_RING_TEXT: dieser lokale Diagrammposten.
281	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	dy	MC123	Y	DIES_AKTUELLER_POSTEN	dies	Radstelle A3_LEFT_WHEEL_RING_TEXT: dieser lokale Diagrammposten.
285	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	chol	MC153	OL	WEITER_GLEICHER_FORTGANG	weiter	Radstelle A3_LEFT_WHEEL_RING_TEXT: im selben Ring oder Band fortsetzen.
291	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	dar	MC055	AR	VON_QUELLE	davon	Radstelle A3_LEFT_WHEEL_RING_TEXT: vom bezeichneten Ausgangsplatz.
295	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	char	MC055	AR	VON_QUELLE	davon	Radstelle A3_LEFT_WHEEL_RING_TEXT: vom bezeichneten Ausgangsplatz.
297	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	chol	MC153	OL	WEITER_GLEICHER_FORTGANG	weiter	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: im selben Ring oder Band fortsetzen.
299	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	dal	MC154	AL	ZU_ZIEL	dorthin	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: zum bezeichneten Zielplatz.
308	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	sheey	MC095	Y	DIES_AKTUELLER_POSTEN	Langhalt	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: diese Position laenger halten.
310	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	y	MC123	Y	DIES_AKTUELLER_POSTEN	dies	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: dieser lokale Diagrammposten.
313	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	cheal	MC154	AL	ZU_ZIEL	dorthin	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: zum bezeichneten Zielplatz.
316	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	y	MC123	Y	DIES_AKTUELLER_POSTEN	dies	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: dieser lokale Diagrammposten.
317	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	dy	MC123	Y	DIES_AKTUELLER_POSTEN	dies	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: dieser lokale Diagrammposten.
320	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	y	MC123	Y	DIES_AKTUELLER_POSTEN	dies	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: dieser lokale Diagrammposten.
321	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	dy	MC123	Y	DIES_AKTUELLER_POSTEN	dies	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: dieser lokale Diagrammposten.
322	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	chol	MC153	OL	WEITER_GLEICHER_FORTGANG	weiter	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: im selben Ring oder Band fortsetzen.
324	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	ol	MC153	OL	WEITER_GLEICHER_FORTGANG	weiter	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: im selben Ring oder Band fortsetzen.
325	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	y	MC123	Y	DIES_AKTUELLER_POSTEN	dies	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: dieser lokale Diagrammposten.
327	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	chey	MC123	Y	DIES_AKTUELLER_POSTEN	dies	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: dieser lokale Diagrammposten.
328	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	dal	MC154	AL	ZU_ZIEL	dorthin	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: zum bezeichneten Zielplatz.
