selection_order	statement_id	occurrence_id	template_id	event_ids	events	actual_span_de
1	H1-S001	O002	M09	E008|E009	2	verwende abgezogene Flüssigkeitsfraktion; Maß
2	H2-S001	O005	M08	E017|E018	2	Ansatz; auf Maß bereitstellen
3	H2-S001	O004	M06	E020|E021|E022	3	laufender Pflanzenansatz; laufender Pflanzenansatz; Maß
4	H2-S002	O006	M01	E027|E028|E029|E030|E031	5	fortsetzen; weiterer Ansatz; fortsetzen; Maß; aus dem laufenden Pflanzenansatz
5	H2-S003	O010	M03	E032|E033|E034|E035	4	laufender Pflanzenansatz dem Ansatz zuführen; Ansatz; Ansatz; laufender Pflanzenansatz
6	H2-S003	O009	M02	E036|E037|E038	3	bis zur Sollstufe zuführen; laufender Pflanzenansatz; auf Maß abziehen
7	H3-S001	O015	M01	E041|E042|E043	3	auswringen; Pflanzenmaterial bis zum Maß halten; Pflanzenmaterial hineinführen
8	H4-S003	O018	M02	E064|E065|E066	3	zweite Teilportion vom Pflanzenmaterial auf Maß zuführen; Auszug aus der Quelle; zweite Teilportion vom Pflanzenmaterial länger wärmen
9	H4-S004	O022	M09	E069|E070	2	an die Stelle setzen; zweite Teilportion vom Pflanzenmaterial weiter füllen
10	H4-S004	O021	M06	E072|E073	2	laufender Pflanzenansatz; Ansatzportion
11	H5-S001	O023	M06	E076|E077	2	diese Zutat an die Stelle; Maß
12	H5-S005	O024	M06	E096|E097	2	Zutat aus dem Vorrat zuführen; danach eine Portion
13	B1-S002	O026	M04	E102|E103	2	bemessen; Wasser zuführen
14	B1-S002	O029	M07	E105|E106	2	aus der Arbeitsflüssigkeit; fortsetzen
15	B1-S002	O027	M04	E107|E108|E109	3	eine Portion; weitere Portion; Stelle
16	B1-S002	O031	M07	E112|E113|E114	3	weiterführen; weiterer Ansatz; fortsetzen
17	B1-S002	O028	M04	E118|E119|E120	3	Maß; durchführen; umsetzen; Schluss
18	B1-S004	O034	M07	E123|E124	2	laufender Stationsansatz umsetzen; fortsetzen
19	B1-S006	O035	M04	E127|E128|E129	3	eine Portion zugeben; durchführen; weiterführen
20	B1-S008	O036	M07	E132|E133	2	laufender Stationsansatz; fortsetzen
21	B1-S014	O037	M03	E147|E148|E149	3	zum Auslass führen; fortsetzen; danach von aufgefangener Bestand des laufender Stationsansatz
22	B2-S004	O041	M09	E172|E173	2	an die Stelle setzen; Teilportion von obere Beckenflüssigkeit zum Durchlass führen
23	B2-S005	O047	M09	E177|E178	2	Teilportion von obere Beckenflüssigkeit an die Stelle setzen; Auffangmass
24	B2-S005	O046	M06	E179|E180|E181	3	durchführen; bemessen; bemessen
25	B2-S005	O044	M04	E183|E184	2	Teilportion von obere Beckenflüssigkeit länger wärmen; abführen; Schluss
26	B2-S006	O048	M09	E186|E187	2	an die Stelle setzen; Teilportion von obere Beckenflüssigkeit kurz im Durchlass halten
27	B2-S008	O049	M04	E190|E191	2	nächstes Maß; von Flüssigkeit am Zwischenknoten einsetzen
28	B2-S016	O053	M07	E214|E215|E216	3	Stelle; von Flüssigkeit am Beckenrand hinausführen; teilen
29	B2-S016	O051	M05	E217|E218	2	Maß; nächsten Posten länger halten
30	B2-S016	O052	M05	E219|E220	2	bemessen; kurz ansetzen
31	B3-S004	O055	M04	E236|E237|E238	3	bemessen; Folgestelle; von aufgefangener Bestand des Gut der Fächerstation
32	B3-S007	O056	M04	E243|E244	2	bemessen; Gefäßflüssigkeit umsetzen
33	B3-S021	O058	M06	E272|E273|E274	3	Stelle; laufender Stationsansatz; Maß
34	B3-S026	O059	M02	E286|E287|E288	3	Abfuehrmass; laufender Stationsansatz umsetzen; eine Portion zugeben
35	B3-S030	O062	M04	E299|E300|E301	3	Maß; Wasser weiterführen; danach umsetzen; Schluss
36	B4-S011	O067	M05	E338|E339|E340	3	Maß; kurz wärmen; länger fortsetzen
37	B4-S015	O068	M04	E354|E355	2	eine Portion; Durchlassstelle
38	B4-S016	O069	M04	E358|E359|E360	3	weitere Portion; Stelle; aus dem Vorrat zuführen
39	B5-S003	O071	M03	E365|E366|E367	3	Stelle; fortsetzen; weiterführen
40	B5-S003	O075	M09	E368|E369	2	an der Stelle umsetzen; Maß
41	B5-S003	O070	M01	E370|E371|E372	3	fortsetzen; zweite Stufe; laufender Stationsansatz umsetzen
42	B6-S001	O078	M08	E376|E377	2	fortsetzen; Maß
43	B6-S001	O076	M01	E378|E379|E380|E381	4	fortsetzen; Portion; Teilportion des aufgefangenen Bestands der rechten Nachtragsflüssigkeit; Ansatz zur Stelle führen
