global_token_order	section	global_field_id	grammar_slot	master_card_id	hand_a_surface	hand_b_surface	surface_changed	registered_surface_inventory	decoded_card_id	hand_a_value_de	hand_b_decoded_value_de	finality_rule
1	A	N01	G1	MC142	dchol	schol	YES	dchol|schol	MC142	vom vorigen	vom vorigen	NOT_OBSERVED_AS_CLOSE
2	A	N01	G2	MC119	shey	cheey	YES	cheey|shey	MC119	Klarauszug	Klarauszug	NOT_OBSERVED_AS_CLOSE
3	A	N01	G2	MC039	aiin	chaiin	YES	aiin|chaiin|daiin|saiin|taiin	MC039	Sollmaß	Sollmaß	NOT_OBSERVED_AS_CLOSE
4	A	N02	G3	MC147	cheky	cheky	NO	cheky	MC147	kurz wärmen	kurz wärmen	NOT_OBSERVED_AS_CLOSE
5	A	N02	G3	MC059	dain	dain	NO	dain	MC059	Einlage	Einlage	NOT_OBSERVED_AS_CLOSE
6	A	N02	G4	MC074	chedy	chdy	YES	chdy|chedy	MC074	überführen	überführen	NOT_OBSERVED_AS_CLOSE
7	A	N02	G4	MC082	qokeedy	qokeedy	NO	qokeedy	MC082	lange einwirken; Schluss	lange einwirken; Schluss	ALWAYS_FIELD_FINAL
8	A	N03	G4	MC143	shckhedy	shckhedy	NO	shckhedy	MC143	durchlassen; Schluss	durchlassen; Schluss	ALWAYS_FIELD_FINAL
9	A	N04	G4	MC143	shckhedy	shckhedy	NO	shckhedy	MC143	durchlassen; Schluss	durchlassen; Schluss	ALWAYS_FIELD_FINAL
10	A	N05	G2	MC105	kain	chkain	YES	chkain|kain	MC105	Anteil	Anteil	NOT_OBSERVED_AS_CLOSE
11	A	N05	G5	MC154	dal	sal	YES	al|chal|cheal|dal|sal|tal	MC154	dorthin	dorthin	NOT_OBSERVED_AS_CLOSE
12	A	N05	G5	MC026	qoky	choky	YES	choky|oky|qoky	MC026	einsetzen	einsetzen	NOT_OBSERVED_AS_CLOSE
13	A	N05	G6	MC038	lshedy	lshedy	NO	lshedy	MC038	Waschgang; Schluss	Waschgang; Schluss	ALWAYS_FIELD_FINAL
14	C	N06	G1	MC142	dchol	schol	YES	dchol|schol	MC142	vom vorigen	vom vorigen	NOT_OBSERVED_AS_CLOSE
15	C	N06	G2	MC039	aiin	chaiin	YES	aiin|chaiin|daiin|saiin|taiin	MC039	Sollmaß	Sollmaß	NOT_OBSERVED_AS_CLOSE
16	C	N06	G3	MC147	cheky	cheky	NO	cheky	MC147	kurz wärmen	kurz wärmen	NOT_OBSERVED_AS_CLOSE
17	C	N06	G5	MC040	okal	qokal	YES	okal|qokal	MC040	dorthin einsetzen	dorthin einsetzen	NOT_OBSERVED_AS_CLOSE
18	C	N06	G4	MC007	okey	qokey	YES	okey|qokey	MC007	kurz einwirken	kurz einwirken	NOT_OBSERVED_AS_CLOSE
19	C	N06	G2	MC105	kain	chkain	YES	chkain|kain	MC105	Anteil	Anteil	NOT_OBSERVED_AS_CLOSE
20	C	N06	G4	MC074	chedy	chdy	YES	chdy|chedy	MC074	überführen	überführen	NOT_OBSERVED_AS_CLOSE
21	C	N06	G5	MC154	dal	sal	YES	al|chal|cheal|dal|sal|tal	MC154	dorthin	dorthin	NOT_OBSERVED_AS_CLOSE
22	C	N06	G2	MC119	shey	cheey	YES	cheey|shey	MC119	Klarauszug	Klarauszug	NOT_OBSERVED_AS_CLOSE
