exact_card_id	registered_surfaces	component_recipe	component_values_de	working_reading_de	exact_semantic_rebuild	card_tier	core15_components	core15_touch	fully_core15	events	copy_rule
PROC001	dchey	CH+E+Y	ENTNEHMEN · KURZ · DIES	ENTNEHMEN · KURZ · DIES	YES	PRODUCTIVE_RECIPE	E+Y	YES	NO	1	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC002	cthoor	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	BEREITEN · ARBEITSGANG · ANSATZ	YES	PRODUCTIVE_RECIPE	NONE	NO	NO	1	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC003	char|dar|sar	AR	QUELLE	QUELLE	YES	PRODUCTIVE_RECIPE	AR	YES	YES	5	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC004	chety|chty	T+Y	ANWENDEN · DIES	ANWENDEN · DIES	YES	PRODUCTIVE_RECIPE	Y	YES	NO	2	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC005	os	OS	FACH	FACH	YES	MEMORIZED_WHOLE_CARD	NONE	NO	NO	1	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC006	chair	CH+AIR	ENTNEHMEN · WASSER	ENTNEHMEN · WASSER	YES	PRODUCTIVE_RECIPE	NONE	NO	NO	1	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC007	otytchol	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	YES	PRODUCTIVE_RECIPE	OT+Y+OL	YES	NO	1	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC008	choky|oky|qoky	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	YES	PRODUCTIVE_RECIPE	OK+Y	YES	YES	10	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC011	chokchy|okchy|qokchy	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	YES	PRODUCTIVE_RECIPE	OK+Y	YES	YES	3	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	SOLLMASS	SOLLMASS	YES	PRODUCTIVE_RECIPE	AIIN	YES	YES	20	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC010	etyd	E+T+Y	KURZ · ANWENDEN · DIES	KURZ · ANWENDEN · DIES	YES	PRODUCTIVE_RECIPE	E+Y	YES	NO	1	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC012	qotchol	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	DANACH · ENTNEHMEN · WEITER	YES	PRODUCTIVE_RECIPE	OT+OL	YES	NO	1	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC013	cheol|chol|ol|qol|sol|tol	OL	WEITER	WEITER	YES	PRODUCTIVE_RECIPE	OL	YES	YES	19	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC115	ls	OL	WEITER	WEITER	YES	PRODUCTIVE_RECIPE	OL	YES	YES	1	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC014	checthy|cthy|shcthy	CTH+Y	BEREITEN · DIES	BEREITEN · DIES	YES	PRODUCTIVE_RECIPE	Y	YES	NO	7	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC015	ycheor	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	DIES · ENTNEHMEN · KURZ · ANSATZ	YES	PRODUCTIVE_RECIPE	Y+E	YES	NO	1	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC016	chor|or|shor|sor	OR	ANSATZ	ANSATZ	YES	PRODUCTIVE_RECIPE	NONE	NO	NO	7	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC017	cthaiin	CTH+AIIN	BEREITEN · SOLLMASS	BEREITEN · SOLLMASS	YES	PRODUCTIVE_RECIPE	AIIN	YES	NO	1	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC018	qoctholy	O+CTH+OL+Y	ARBEITSGANG · BEREITEN · WEITER · DIES	ARBEITSGANG · BEREITEN · WEITER · DIES	YES	PRODUCTIVE_RECIPE	OL+Y	YES	NO	1	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC019	chey|chy|dy|shy|sy|y	Y	DIES	DIES	YES	PRODUCTIVE_RECIPE	Y	YES	YES	18	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC020	otchor|qotchor	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	DANACH · ENTNEHMEN · ANSATZ	YES	PRODUCTIVE_RECIPE	OT	YES	NO	2	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC021	otol	OT+OL	DANACH · WEITER	DANACH · WEITER	YES	PRODUCTIVE_RECIPE	OT+OL	YES	YES	1	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC022	cholor|olor	OL+OR	WEITER · ANSATZ	WEITER · ANSATZ	YES	PRODUCTIVE_RECIPE	OL	YES	NO	2	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC023	oykchor	O+Y+K+OR	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	YES	PRODUCTIVE_RECIPE	Y+K	YES	NO	1	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC024	kaiiin	K+IIN	ZUGEBEN · ARBEITSSTUFE	ZUGEBEN · ARBEITSSTUFE	YES	PRODUCTIVE_RECIPE	K	YES	NO	1	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC025	chodaiin	CH+O+AIIN	ENTNEHMEN · ARBEITSGANG · SOLLMASS	ENTNEHMEN · ARBEITSGANG · SOLLMASS	YES	PRODUCTIVE_RECIPE	AIIN	YES	NO	1	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
