statement_id	page	record	events	owner_sequence	owner_handoff_before	internal_owner_reset	surface_sequence	component_sequence	atomic_trace_de	fluent_local_station_clause_de	water_named	global_flow_claim	form_status
B1-S001	f81v	B1	1	B1_SHARED_TWO_ROW_POOL	RECORD_START	NO	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	[Station B1_SHARED_TWO_ROW_POOL] Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen.	NO	NONE	UNCHANGED
B1-S002	f81v	B1	19	B1_SHARED_TWO_ROW_POOL	NO	NO	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	ANSETZEN · MASS | ZUGEBEN · WASSER | ANSETZEN · ZIEL | QUELLE | FORTSETZEN | ZUGEBEN · PORTION | FORTSETZEN · ZUGEBEN · PORTION | ZIEL | FORTSETZEN | KUEHLEN · FORTSETZEN | WEITERLEITEN | FORTSETZEN · ANSATZ | FORTSETZEN | HALTEN · KURZ · DURCHLASS · ZIEL | MASS | ANSETZEN · LANG · ZIEL | MASS | DURCHLASS · DIES | UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und Wasser zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	YES	NONE	UNCHANGED
B1-S003	f81v	B1	2	B1_SHARED_TWO_ROW_POOL	NO	NO	qol sshkchdy	OL | SH+K+CHD+DY	FORTSETZEN | HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Fortsetzen; dann halten, zugeben und umsetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B1-S004	f81v	B1	3	B1_SHARED_TWO_ROW_POOL	NO	NO	chedy ol shedy	CHD+Y | OL | SHED+DY	UMSETZEN · DIES | FORTSETZEN | ABSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen.	NO	NONE	UNCHANGED
B1-S005	f81v	B1	1	B1_SHARED_TWO_ROW_POOL	NO	NO	qolchedy	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B1-S006	f81v	B1	4	B1_SHARED_TWO_ROW_POOL	NO	NO	qokain shckhy dl ral	OK+AIN | CKH+Y | L | R+AL	ANSETZEN · PORTION | DURCHLASS · DIES | WEITERLEITEN | KUEHLEN · ZIEL	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann weiterleiten; dann zum Ziel kuehlen.	NO	NONE	UNCHANGED
B1-S007	f81v	B1	1	B1_SHARED_TWO_ROW_POOL	NO	NO	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B1-S008	f81v	B1	5	B1_SHARED_TWO_ROW_POOL	NO	NO	chey ol cheky ol shedy	Y | OL | CHK+E+Y | OL | SHED+DY	DIES | FORTSETZEN | WAERMEN · KURZ · DIES | FORTSETZEN | ABSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und fortsetzen, kurz erwaermen, weiterfuehren, absetzen lassen und den Schritt schliessen.	NO	NONE	UNCHANGED
B1-S009	f81v	B1	1	B1_SHARED_TWO_ROW_POOL	NO	NO	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B1-S010	f81v	B1	1	B1_SHARED_TWO_ROW_POOL	NO	NO	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
