card_no	surfaces	component_parse	component_count	short_card_default_de	spoken_as_de	old_portable_role_reading_de	old_role_word_count	old_sentence_sized	case_expansion_policy	composition_status	occurrences	sections	records	recitation_kind	spoken_recitation_de	scope_note_de	scope_repair_cost	component_order_preserved	new_whole_card_semantic_value	semantic_component_parse	consolidated_short_default_de	graphic_alias_used
PROC001	dchey	CH+E+Y	3	ABZIEHEN·KURZ·DIES	abziehen kurz dies	diesen Posten kurz abziehen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H1	SHORT_LEFT_TO_RIGHT	ABZIEHEN · KURZ · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	CH+E+Y	ABZIEHEN·KURZ·DIES	NONE
PROC002	cthoor	CTH+O+OR	3	BEREIT·GANG·ANSATZ	bereit gang ansatz	bereit · Arbeitsgang · Ansatz	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H1	SHORT_LEFT_TO_RIGHT	BEREIT · GANG · ANSATZ	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	CTH+O+OR	BEREIT·GANG·ANSATZ	NONE
PROC003	char|dar|sar	AR	1	QUELLE	quelle	von dort	2	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	5	HERBAL|BIOLOGICAL	H1|H2|B1|B2|B3	SHORT_LEFT_TO_RIGHT	QUELLE	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	AR	QUELLE	NONE
PROC004	chety|chty	T+Y	2	EINTRAGEN·DIES	eintragen dies	diesen Posten eintragen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H1|B3	SHORT_LEFT_TO_RIGHT	EINTRAGEN · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	T+Y	EINTRAGEN·DIES	NONE
PROC005	os	OS	1	FACH	fach	Arbeitsfach	1	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	LEARNED_WHOLE_CARD	1	HERBAL	H1	SHORT_LEFT_TO_RIGHT	FACH	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OS	FACH	NONE
PROC006	chair	CH+AIR	2	ABZIEHEN·LAUF	abziehen lauf	den laufenden Posten durch laufender Bestand abziehen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H1	SHORT_LEFT_TO_RIGHT	ABZIEHEN · LAUF	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	CH+AIR	ABZIEHEN·LAUF	NONE
PROC007	otytchol	OT+Y+T+CH+OL	5	DANACH·DIES·EINTRAGEN·ABZIEHEN·FORTSETZEN	danach dies eintragen abziehen fortsetzen	danach fortsetzen diesen Posten eintragen und abziehen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H1	SEQUENCE_BRACKET	DANACH [DIES EINTRAGEN · ABZIEHEN] FORTSETZEN	OT eröffnet und OL schließt denselben Folgeblock; kein neues Ganzwort.	1	YES	NO	OT+Y+T+CH+OL	DANACH·DIES·EINTRAGEN·ABZIEHEN·FORTSETZEN	NONE
PROC008	choky|oky|qoky	OK+Y	2	ANSETZEN·DIES	ansetzen dies	diesen Posten ansetzen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	10	HERBAL|BIOLOGICAL	H1|H5|B1|B2|B3|B4	SHORT_LEFT_TO_RIGHT	ANSETZEN · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OK+Y	ANSETZEN·DIES	NONE
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	1	MASS	mass	vorgeschriebenes Maß	2	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	20	HERBAL|BIOLOGICAL	H1|H2|H3|H4|H5|B1|B2|B3|B4|B5|B6	SHORT_LEFT_TO_RIGHT	MASS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	AIIN	MASS	NONE
PROC010	etyd	E+T+Y	3	KURZ·EINTRAGEN·DIES	kurz eintragen dies	diesen Posten kurz eintragen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H1	SHORT_LEFT_TO_RIGHT	KURZ · EINTRAGEN · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	E+T+Y	KURZ·EINTRAGEN·DIES	NONE
PROC011	chokchy|okchy|qokchy	OK+Y	2	ANSETZEN·DIES	ansetzen dies	diesen Posten ansetzen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	3	HERBAL	H1|H5	SHORT_LEFT_TO_RIGHT	ANSETZEN · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OK+Y	ANSETZEN·DIES	NONE
PROC012	qotchol	OT+CH+OL	3	DANACH·ABZIEHEN·FORTSETZEN	danach abziehen fortsetzen	danach fortsetzen den laufenden Posten abziehen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H1	SHORT_LEFT_TO_RIGHT	DANACH · ABZIEHEN · FORTSETZEN	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OT+CH+OL	DANACH·ABZIEHEN·FORTSETZEN	NONE
