row_kind	target_components	minimal_pair_family	joint_tuple_id	surface_family	occurrences	event_ids	event_surface_realizations	pages	records	statements	event_locations_and_statement_positions	line_transition_after_event	image_or_station_owner	owner_class	selected_parse	concrete_default_de	grade_value_de	visible_process_state_de	referent_status_de	cell_close_status	core_grade_y_dy_hypothesis	minimal_pair_or_boundary_note	bounded_prediction_de
ATTESTED_TARGET_CARD	EE|CHK	CHK_WARMTH_LADDER	2c1a5fd92b9e3c762242	cheeky	2	E066|E333	E066=cheeky|E333=cheeky	f55v|f83r	H4|B4	H4-S003|B4-S008	E066@f55v:f55v.11/H4-S003:MIDDLE | E333@f83r:f83r.28/B4-S008:MIDDLE	E066:SAME_PHYSICAL_LINE_CONTINUES | E333:SAME_PHYSICAL_LINE_CONTINUES	abgebildete Pflanze f55v | lokale Gefäß-/Leitungsstation f83r	PAGE_PLANT_OWNER|LOCAL_BIOLOGICAL_OWNER	CHK_WARMTH_PAIR+E_GRADE_2	länger warm halten	EE=anhaltend/verlängert	Wärme-/Haltestufe; Zelle bleibt fortsetzbar	KY-HÜLLE; kein selbständig abgetrenntes Y	DOES_NOT_CLOSE_LOCAL_CELL	GRADE_PAIR_SUPPORTED; KY_REMAINS_OPAQUE	CHEKY ↔ CHEEKY: kurz/mild erwärmen ↔ länger warm halten; KY bleibt eine gelernte Hülle.	CHK+E/EE → kurz erwärmen bzw. länger warm halten; keine freie Y/DY-Erweiterung
ATTESTED_TARGET_CARD	E|CHK	CHK_WARMTH_LADDER	d904bf7b044dd3922781	cheky	3	E134|E164|E339	E134=cheky|E164=cheky|E339=cheky	f81v|f83r	B1|B4	B1-S008|B1-S020|B4-S011	E134@f81v:f81v.18/B1-S008:MIDDLE | E164@f81v:f81v.27/B1-S020:START | E339@f83r:f83r.35/B4-S011:MIDDLE	E134:SAME_PHYSICAL_LINE_CONTINUES | E164:SAME_PHYSICAL_LINE_CONTINUES | E339:SAME_PHYSICAL_LINE_CONTINUES	Becken-/Figurenfeld f81v | lokale Gefäß-/Leitungsstation f83r	LOCAL_BIOLOGICAL_OWNER	CHK_WARMTH_PAIR+E_GRADE_1	kurz oder mild erwärmen	E=kurz/direkt/gewöhnlich	Wärme-/Haltestufe; Zelle bleibt fortsetzbar	KY-HÜLLE; kein selbständig abgetrenntes Y	DOES_NOT_CLOSE_LOCAL_CELL	GRADE_PAIR_SUPPORTED; KY_REMAINS_OPAQUE	CHEKY ↔ CHEEKY: kurz/mild erwärmen ↔ länger warm halten; KY bleibt eine gelernte Hülle.	CHK+E/EE → kurz erwärmen bzw. länger warm halten; keine freie Y/DY-Erweiterung
ATTESTED_TARGET_CARD	CTH	CTH_READY_LADDER	e0b630cb1b5df5e7105b	checthy|cthy|shcthy	7	E014|E016|E054|E271|E279|E289|E310	E014=cthy|E016=cthy|E054=cthy|E271=shcthy|E279=shcthy|E289=checthy|E310=checthy	f10r|f11r|f83r	H1|H2|H3|B3	H1-S002|H2-S001|H3-S004|B3-S021|B3-S026|B3-S034	E014@f10r:f10r.5/H1-S002:END | E016@f10r:f10r.6/H2-S001:MIDDLE | E054@f11r:f11r.7/H3-S004:MIDDLE | E271@f83r:f83r.14/B3-S021:MIDDLE | E279@f83r:f83r.15/B3-S021:MIDDLE | E289@f83r:f83r.16/B3-S026:MIDDLE | E310@f83r:f83r.24/B3-S034:MIDDLE	E014:STATEMENT_END | E016:SAME_PHYSICAL_LINE_CONTINUES | E054:SAME_PHYSICAL_LINE_CONTINUES | E271:SAME_PHYSICAL_LINE_CONTINUES | E279:SAME_PHYSICAL_LINE_CONTINUES | E289:SAME_PHYSICAL_LINE_CONTINUES | E310:SAME_PHYSICAL_LINE_CONTINUES	abgebildete Pflanze f10r | abgebildete Pflanze f11r | lokale Gefäß-/Leitungsstation f83r	PAGE_PLANT_OWNER|LOCAL_BIOLOGICAL_OWNER	cthy=bereit	bereit	KEIN PRODUKTIVER ZUSTANDSGRAD	Bereitschaftszustand; Zelle bleibt fortsetzbar	kein Y-Referent in dieser Karte	DOES_NOT_CLOSE_LOCAL_CELL	BOUNDED_STATE_FAMILY	CTHY ↔ CTH+E+Y: bereit sein ↔ den laufenden Posten bereit halten.	CTH(+E)+Y → laufenden Posten bereit bzw. in Bereitschaft halten
ATTESTED_TARGET_CARD	E|CTH|Y	CTH_READY_LADDER	6b89d6dd70635bc60fe0	qcthey|shcthey	2	E204|E258	E204=qcthey|E258=shcthey	f82r|f83r	B2|B3	B2-S012|B3-S013	E204@f82r:f82r.23/B2-S012:MIDDLE | E258@f83r:f83r.11/B3-S013:MIDDLE	E204:SAME_PHYSICAL_LINE_CONTINUES | E258:SAME_PHYSICAL_LINE_CONTINUES	lokale Becken-/Gerätestation f82r | lokale Gefäß-/Leitungsstation f83r	LOCAL_BIOLOGICAL_OWNER	Q_S_RENDERER+CTH_READY+E_HOLD+Y_REFERENT	den laufenden Posten bereit halten	E=kurz/direkt/gewöhnlich	Bereitschaftszustand; Zelle bleibt fortsetzbar	Y/CHY=der aktuell gemeinte Arbeitsposten; dies/es	DOES_NOT_CLOSE_LOCAL_CELL	SUPPORTS_CORE_GRADE_Y_AS_RUNNING_ITEM_STATE	CTHY ↔ CTH+E+Y: bereit sein ↔ den laufenden Posten bereit halten.	CTH(+E)+Y → laufenden Posten bereit bzw. in Bereitschaft halten
ATTESTED_TARGET_CARD	DY	DY_OTHER_TERMINAL	95987d6f198d6d247511	cheeckhody	1	E086	E086=cheeckhody	f56r	H5	H5-S002	E086@f56r:f56r.8/H5-S002:END	E086:STATEMENT_END	abgebildete Pflanze f56r	PAGE_PLANT_OWNER	cheeckho=äußerlich anwenden + dy=Ende	äußerlich anwenden; Ende	KEIN PRODUKTIVER ZUSTANDSGRAD	bis zum Kartenwert ausführen; örtliche Zelle schließen	kein freies Y; DY ist die lizenzierte Abschlusskonstruktion	CLOSES_LOCAL_CELL; distinct from physical line and image owner	SUPPORTS_DY_AS_EXACT_LOCAL_CLOSE	Gelernte exakte DY-Karte schließt den örtlichen Arbeitsschritt.	gelernter CORE+DY-Rahmen → CORE ausführen und örtlichen Schritt schließen
ATTESTED_TARGET_CARD	DY	DY_OTHER_TERMINAL	a84fbe3ad380df345b97	chkeedy	1	E231	E231=chkeedy	f83r	B3	B3-S002	E231@f83r:f83r.3/B3-S002:END	E231:STATEMENT_END	lokale Gefäß-/Leitungsstation f83r	LOCAL_BIOLOGICAL_OWNER	chkee=vollständig benetzen + dy=Ende	vollständig benetzen; Ende	KEIN PRODUKTIVER ZUSTANDSGRAD	bis zum Kartenwert ausführen; örtliche Zelle schließen	kein freies Y; DY ist die lizenzierte Abschlusskonstruktion	CLOSES_LOCAL_CELL; distinct from physical line and image owner	SUPPORTS_DY_AS_EXACT_LOCAL_CLOSE	Gelernte exakte DY-Karte schließt den örtlichen Arbeitsschritt.	gelernter CORE+DY-Rahmen → CORE ausführen und örtlichen Schritt schließen
ATTESTED_TARGET_CARD	Y|DY	DY_OTHER_TERMINAL	8aedd154964a78e555d6	dairydy	1	E351	E351=dairydy	f83r	B4	B4-S014	E351@f83r:f83r.38/B4-S014:END	E351:STATEMENT_END	lokale Gefäß-/Leitungsstation f83r	LOCAL_BIOLOGICAL_OWNER	D_RENDERER+AIR_FLOW+Y_REFERENT+DY_TERMINAL	den Flüssigkeitslauf abschließen	KEIN PRODUKTIVER ZUSTANDSGRAD	bis zum Kartenwert ausführen; örtliche Zelle schließen	Y-Referent innerhalb einer gelernten terminalen Gesamtkarte	CLOSES_LOCAL_CELL; distinct from physical line and image owner	SUPPORTS_DY_AS_EXACT_LOCAL_CLOSE	Gelernte exakte DY-Karte schließt den örtlichen Arbeitsschritt.	gelernter CORE+DY-Rahmen → CORE ausführen und örtlichen Schritt schließen
ATTESTED_TARGET_CARD	DY	DY_OTHER_TERMINAL	2bc2ed2630dbdaaa6b59	dalchdy	1	E280	E280=dalchdy	f83r	B3	B3-S021	E280@f83r:f83r.15/B3-S021:END	E280:STATEMENT_END	lokale Gefäß-/Leitungsstation f83r	LOCAL_BIOLOGICAL_OWNER	DAL+CHD+TERMINAL_Y	lokal umsetzen; Schluss	KEIN PRODUKTIVER ZUSTANDSGRAD	bis zum Kartenwert ausführen; örtliche Zelle schließen	kein freies Y; DY ist die lizenzierte Abschlusskonstruktion	CLOSES_LOCAL_CELL; distinct from physical line and image owner	SUPPORTS_DY_AS_EXACT_LOCAL_CLOSE	Gelernte exakte DY-Karte schließt den örtlichen Arbeitsschritt.	gelernter CORE+DY-Rahmen → CORE ausführen und örtlichen Schritt schließen
ATTESTED_TARGET_CARD	DY	DY_OTHER_TERMINAL	78b3b3140714da19090d	daldy	1	E223	E223=daldy	f82r	B2	B2-S017	E223@f82r:f82r.27/B2-S017:END	E223:STATEMENT_END	lokale Becken-/Gerätestation f82r	LOCAL_BIOLOGICAL_OWNER	dal=zweite Öffnung + dy=Ende	zweite Öffnung; Ende	KEIN PRODUKTIVER ZUSTANDSGRAD	bis zum Kartenwert ausführen; örtliche Zelle schließen	kein freies Y; DY ist die lizenzierte Abschlusskonstruktion	CLOSES_LOCAL_CELL; distinct from physical line and image owner	SUPPORTS_DY_AS_EXACT_LOCAL_CLOSE	Gelernte exakte DY-Karte schließt den örtlichen Arbeitsschritt.	gelernter CORE+DY-Rahmen → CORE ausführen und örtlichen Schritt schließen
ATTESTED_TARGET_CARD	DY	DY_OTHER_TERMINAL	d225b7a7b95da7aee437	dchdy	1	E158	E158=dchdy	f81v	B1	B1-S017	E158@f81v:f81v.24/B1-S017:END	E158:STATEMENT_END	Becken-/Figurenfeld f81v	LOCAL_BIOLOGICAL_OWNER	D+CHD+TERMINAL_Y	Umsetzung abschließen	KEIN PRODUKTIVER ZUSTANDSGRAD	bis zum Kartenwert ausführen; örtliche Zelle schließen	kein freies Y; DY ist die lizenzierte Abschlusskonstruktion	CLOSES_LOCAL_CELL; distinct from physical line and image owner	SUPPORTS_DY_AS_EXACT_LOCAL_CLOSE	Gelernte exakte DY-Karte schließt den örtlichen Arbeitsschritt.	gelernter CORE+DY-Rahmen → CORE ausführen und örtlichen Schritt schließen
