event_id	page	record	statement_id	owner_de	surface	exact_card_id	component_recipe	card_meaning_de	semantic_atom_count	shared_with_herbal	quantity	target	source	passage	heat	close
E101	f81v	B1	B1-S001	gemeinsame zweireihige Figuren-/Beckenstation	qokedy	PROC067	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	3	NO	NO	NO	NO	NO	NO	YES
E102	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	okaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	2	YES	YES	NO	NO	NO	NO	NO
E103	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	kair	PROC068	K+AIR	ZUGEBEN · WASSER	2	NO	NO	NO	NO	NO	NO	NO
E104	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	okal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	2	YES	NO	YES	NO	NO	NO	NO
E105	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	sar	PROC003	AR	QUELLE	1	YES	NO	NO	YES	NO	NO	NO
E106	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	ol	PROC013	OL	WEITER	1	YES	NO	NO	NO	NO	NO	NO
E107	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	kain	PROC069	K+AIN	ZUGEBEN · PORTION	2	NO	YES	NO	NO	NO	NO	NO
E108	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	olkain	PROC070	OL+K+AIN	WEITER · ZUGEBEN · PORTION	3	NO	YES	NO	NO	NO	NO	NO
E109	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	al	PROC055	AL	ZIELSTELLE	1	YES	NO	YES	NO	NO	NO	NO
E110	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	ol	PROC013	OL	WEITER	1	YES	NO	NO	NO	NO	NO	NO
E111	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	rol	PROC071	R+OL	KUEHLEN · WEITER	2	NO	NO	NO	NO	NO	NO	NO
E112	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	dl	PROC072	L	LEITEN	1	NO	NO	NO	NO	NO	NO	NO
E113	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	olor	PROC022	OL+OR	WEITER · ANSATZ	2	YES	NO	NO	NO	NO	NO	NO
E114	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	ol	PROC013	OL	WEITER	1	YES	NO	NO	NO	NO	NO	NO
E115	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	sheckhal	PROC073	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	4	NO	NO	YES	NO	YES	NO	NO
E116	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	daiin	PROC009	AIIN	SOLLMASS	1	YES	YES	NO	NO	NO	NO	NO
E117	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	qokeedal	PROC074	OK+EE+AL	ANSETZEN · LANG · ZIELSTELLE	3	NO	NO	YES	NO	NO	NO	NO
E118	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	daiin	PROC009	AIIN	SOLLMASS	1	YES	YES	NO	NO	NO	NO	NO
E119	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	chckhy	PROC075	CKH+Y	DURCHLASS · POSTEN	2	NO	NO	NO	NO	YES	NO	NO
E120	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	schedy	PROC076	CHD+DY	UMSETZEN · SCHLUSS	2	NO	NO	NO	NO	NO	NO	YES
E121	f81v	B1	B1-S003	gemeinsame zweireihige Figuren-/Beckenstation	qol	PROC013	OL	WEITER	1	YES	NO	NO	NO	NO	NO	NO
E122	f81v	B1	B1-S003	gemeinsame zweireihige Figuren-/Beckenstation	sshkchdy	PROC077	SH+K+CHD+DY	HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	4	NO	NO	NO	NO	NO	NO	YES
E123	f81v	B1	B1-S004	gemeinsame zweireihige Figuren-/Beckenstation	chedy	PROC042	CHD+Y	UMSETZEN · POSTEN	2	YES	NO	NO	NO	NO	NO	NO
E124	f81v	B1	B1-S004	gemeinsame zweireihige Figuren-/Beckenstation	ol	PROC013	OL	WEITER	1	YES	NO	NO	NO	NO	NO	NO
E125	f81v	B1	B1-S004	gemeinsame zweireihige Figuren-/Beckenstation	shedy	PROC078	SHED+DY	STEHENLASSEN · SCHLUSS	2	NO	NO	NO	NO	NO	NO	YES
E126	f81v	B1	B1-S005	gemeinsame zweireihige Figuren-/Beckenstation	qolchedy	PROC079	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	3	NO	NO	NO	NO	NO	NO	YES
E127	f81v	B1	B1-S006	gemeinsame zweireihige Figuren-/Beckenstation	qokain	PROC080	OK+AIN	ANSETZEN · PORTION	2	NO	YES	NO	NO	NO	NO	NO
E128	f81v	B1	B1-S006	gemeinsame zweireihige Figuren-/Beckenstation	shckhy	PROC075	CKH+Y	DURCHLASS · POSTEN	2	NO	NO	NO	NO	YES	NO	NO
E129	f81v	B1	B1-S006	gemeinsame zweireihige Figuren-/Beckenstation	dl	PROC072	L	LEITEN	1	NO	NO	NO	NO	NO	NO	NO
