event_id	physical_page	locus	channel	surface	component_recipe	codebook_layer	current_value_de
P912-E0001	f10r	f10r.1	WORKSHOP_PROSE	pchocthy	P+CH+O+CTH+Y	PRODUCTIVE_ABBREVIATION_COMPOSITION	Material einsetzen; bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bis bereit führen; dieser Arbeitsgegenstand
P912-E0002	f10r	f10r.1	WORKSHOP_PROSE	shor	SH+OR	PRODUCTIVE_ABBREVIATION_COMPOSITION	Arbeitsgegenstand halten; Ansatz oder Zubereitung
P912-E0003	f10r	f10r.1	WORKSHOP_PROSE	octhody	O+CTH+O+D_ADDR+Y	PRODUCTIVE_ABBREVIATION_COMPOSITION	Arbeitsgang ausführen; bis bereit führen; Arbeitsgang ausführen; bezeichneter Teil; dieser Arbeitsgegenstand
P912-E0004	f10r	f10r.1	WORKSHOP_PROSE	chorchy	CH+OR+CH+Y	PRODUCTIVE_ABBREVIATION_COMPOSITION	bezeichneten Anteil entnehmen; Ansatz oder Zubereitung; bezeichneten Anteil entnehmen; dieser Arbeitsgegenstand
P912-E0005	f10r	f10r.1	WORKSHOP_PROSE	pchodol	P+CH+O+D_ADDR+OL	PRODUCTIVE_ABBREVIATION_COMPOSITION	Material einsetzen; bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bezeichneter Teil; im selben Arbeitsgang fortfahren
P912-E0006	f10r	f10r.1	WORKSHOP_PROSE	chopchal	CH+O+P+CH+AL	PRODUCTIVE_ABBREVIATION_COMPOSITION	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; Material einsetzen; bezeichneten Anteil entnehmen; Ziel- oder Anschlussstelle
P912-E0007	f10r	f10r.1	WORKSHOP_PROSE	ypch	Y+P+CH	PRODUCTIVE_ABBREVIATION_COMPOSITION	dieser Arbeitsgegenstand; Material einsetzen; bezeichneten Anteil entnehmen
P912-E0008	f10r	f10r.1	WORKSHOP_PROSE	kom	K+O+M_LOCAL	PRODUCTIVE_ABBREVIATION_COMPOSITION	Material zugeben; Arbeitsgang ausführen; im Mittelgang ausführen
P912-E0009	f10r	f10r.2	WORKSHOP_PROSE	dchey	CH+E+Y	PRODUCTIVE_ABBREVIATION_COMPOSITION	bezeichneten Anteil entnehmen; kurz oder direkt; dieser Arbeitsgegenstand
P912-E0010	f10r	f10r.2	WORKSHOP_PROSE	cthoor	CTH+O+OR	PRODUCTIVE_ABBREVIATION_COMPOSITION	bis bereit führen; Arbeitsgang ausführen; Ansatz oder Zubereitung
