surface	old_current_recipe	corrected_recipe	audit_decision	rule	confidence
adal	AL	A_ADDR+AL	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_A	WORKING
aiiny	AIIN	AIIN+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_Y	WORKING
alaiiin	AL+AIIN	AL+AIIN+LOCAL_CHAR_I	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
alchdy	AL+CHD+DY	AL+CHD+DY	LICENSED_SAME_RECIPE	DIRECT_VISIBLE_PACKAGE	HIGH
alo	AL	AL+O	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_O	WORKING
alol	K+AL+OL	AL+OL	RESEGMENT_VISIBLE_EDIT	VISIBLE_DELETE_K	WORKING
alor	L+OR	AL+OR	RESEGMENT_VISIBLE_EDIT	VISIBLE_AL_FRAME	WORKING
aloy	AL+Y	AL+O+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_O	WORKING
alshy	AL+S+Y	AL+SH+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_SH_FRAME	WORKING
aroly	AR+OL	AR+OL+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_Y	WORKING
atchor	T+CH+OR	A_ADDR+T+CH+OR	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_A	WORKING
chaldy	CH+AL+Y	CH+AL+Y	LICENSED_SAME_RECIPE	DIRECT_VISIBLE_PACKAGE	HIGH
chas	CH+O+S	CH+A_ADDR+S	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
chckh	CH+K+Y	CH+K	RESEGMENT_VISIBLE_EDIT	VISIBLE_REMOVE_Y	WORKING
chckhol	CH+K+O	CH+K+OL	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
chcphdy	CH+CH+P+E+Y	CH+CH+P+Y	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
chcphedy	L+CH+CH+P+E+DY	CH+CH+P+E+DY	RESEGMENT_VISIBLE_EDIT	VISIBLE_DELETE_L	WORKING
chcphy	CH+CH+P+E+Y	CH+CH+P+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
chdam	CH+AM_ADDR	CHD+AM_ADDR	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
chdol	CHD+OL	CHD+OL	LICENSED_SAME_RECIPE	LICENSED_CHD_CHED	HIGH
che	Y	CH+E	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
chead	CH+E+AR	CH+E+A_ADDR+D_ADDR	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
chealdy	AL+Y	AL+Y	LICENSED_SAME_RECIPE	DIRECT_VISIBLE_PACKAGE	HIGH
checkhey	CH+E+CH+K+Y	CH+E+CH+K+E+Y	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
chedal	P+CHD+AL	CHD+AL	RESEGMENT_VISIBLE_EDIT	VISIBLE_DELETE_P	WORKING
chedor	CH+EE+OR	CHD+OR	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
chedyl	CHD+Y	CHD+Y+L	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_L	WORKING
cheeg	SH+EE+Y	SH+EE+LOCAL_CHAR_G	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
cheeody	CH+EE+D_ADDR+Y	CH+EE+O+D_ADDR+Y	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
chekaiin	CH+K+EE+K+AIIN	CH+K+AIIN	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
chekain	CH+K+AIN	CH+K+AIN	LICENSED_SAME_RECIPE	LICENSED_CHK_CHEK	HIGH
chekair	CH+K+AR	CH+K+AIR	RESEGMENT_VISIBLE_EDIT	VISIBLE_AIR	WORKING
chekeol	CH+K+OL	CH+K+E+OL	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
chekoy	CH+K+O+D_ADDR+Y	CH+K+O+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_REMOVE_D_ADDRESS	WORKING
