record	page	register	visible_owner_or_namespace	statements	events	continuous_reading_de	handoff_role	direct_cross_reference
H1	f10r	HERBAL_WHAT	die breite gezahnte Bluetenpflanze	2	14	Von der abgebildeten Pflanze einen kleinen Arbeitsposten entnehmen. Den Ansatz fuer den Arbeitsgang bereiten, die Quelle bestimmen und ihn auf den aktuellen Posten anwenden. Das vorgesehene Fach benutzen, Wasser entnehmen, den Posten danach weiter anwenden und fortfuehren; ihn nach Mass ansetzen und kurz anwenden. Den aktuellen Posten ansetzen; danach etwas davon entnehmen und die Arbeit fortfuehren. Weiterarbeiten und den Posten bereiten.	PREPARES_OR_DESCRIBES_PICTURED_MATERIAL	NONE
H2	f10r	HERBAL_WHAT	die breite gezahnte Bluetenpflanze	3	24	Vom aktuellen Ansatz kurz entnehmen, den Posten bereiten und den Ansatz nach Mass fuer den naechsten Arbeitsgang fortfuehren; die folgenden Verweise halten denselben Posten aktiv. Danach etwas vom Ansatz entnehmen. Denselben Ansatz durch die Folge weiterfuehren, das Mass beachten und aus der angegebenen Quelle nehmen. Im Arbeitsgang dem aktuellen Ansatz zugeben; denselben Ansatz aktiv halten, bis zur genannten Stufe weiter zugeben und zuletzt nach Mass aus dem Arbeitsgang entnehmen.	PREPARES_OR_DESCRIBES_PICTURED_MATERIAL	NONE
H3	f11r	HERBAL_WHAT	die dicht bluehende Kronenpflanze	4	17	Die Pflanzenzubereitung weiter anwenden und am Ziel halten. Den aktuellen Posten auswringen, bis zum Mass halten, in den Empfaenger fuellen und lange halten; anschliessend anwenden, entnehmen und den Arbeitsgang schliessen. Den aktuellen Posten im Arbeitsgang halten und anwenden. Den vorigen Schritt wiederaufnehmen; diesen Posten weiterfuehren, ihm etwas zugeben und ihn bis zum Mass halten. Danach diesen Posten weiter ansetzen, bereiten und aktiv halten.	PREPARES_OR_DESCRIBES_PICTURED_MATERIAL	NONE
H4	f55v	HERBAL_WHAT	die breitblaettrige rispige Pflanze	4	18	Nach dem angegebenen Mass ansetzen; dem aktuellen Posten eine Portion und eine Nachgabe zugeben; den Arbeitsgang schliessen. Das Mass beachten, diesen Posten umsetzen und verwahren. Dem aktuellen Posten das vorgeschriebene Mass zugeben; aus der Quelle kurz fuer den Arbeitsgang entnehmen, lange erwaermen und den Fortsetzungsschritt schliessen. Nach Mass am Ziel ansetzen, den Posten weiter anwenden und als eine Portion des Ansatzes fuehren.	PREPARES_OR_DESCRIBES_PICTURED_MATERIAL	NONE
H5	f56r	HERBAL_WHAT	die mehrkoepfige stachelige Pflanze	6	27	Eine Zutat fuer den Ansatz entnehmen, sie als aktuellen Posten zum Ziel bringen und nach Mass fortgesetzt zugeben; danach erneut aus dem Ansatz entnehmen und am Ziel ansetzen. Den vorigen Vorgang wiederaufnehmen; diese Zutat ansetzen, dann lange durch den Durchlass des Arbeitsgangs entnehmen und schliessen. Die Zutat halten, dem aktuellen Posten kurz zugeben und ihn erneut ansetzen. Diesen Posten ansetzen, im Arbeitsgang kurz etwas daraus entnehmen und es dem Ziel zugeben. Die Zutat waehlen, diesen Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen. Danach diesem Posten kurz weiter zugeben, bis das Mass erreicht ist.	PREPARES_OR_DESCRIBES_PICTURED_MATERIAL	NONE
B1	f81v	BIOLOGICAL_HOW	B1_SHARED_TWO_ROW_POOL	21	66	[Station B1_SHARED_TWO_ROW_POOL] Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und Wasser zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen. Am gemeinsamen zweireihigen Becken: Fortsetzen; dann halten, zugeben und umsetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann weiterleiten; dann zum Ziel kuehlen. Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und fortsetzen, kurz erwaermen, weiterfuehren, absetzen lassen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen. Am gemeinsamen zweireihigen Becken: Den Arbeitsgang waschen, den Posten kurz ansetzen, nochmals kurz waschen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Kurz waschen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und auffangen; zum Ziel weiterleiten und umsetzen, dort fortsetzen und danach zum Quelle wechseln. Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten anwenden; dann ansetzen und umsetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Zum Ziel ansetzen; dann laenger den laufenden Posten ansetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Am Ziel kurz fortsetzen, umsetzen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den laufenden Posten weiterleiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Stufe; dann laenger auffangen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Absetzen lassen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Das Ziel festlegen.	OPERATES_ON_CURRENT_ITEM_AT_LOCAL_STATION	NONE
B2	f82r	BIOLOGICAL_HOW	B2_UPPER_PAIRED_BASINS_AND_CYLINDER | B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE | B2_MIDDLE_RIGHT_AMBIGUOUS_STATION | B2_MIDDLE_RIGHT_AMBIGUOUS_STATION > B2_LOWER_GREEN_MULTI_FIGURE_POOL | B2_LOWER_GREEN_MULTI_FIGURE_POOL | B2_LOWER_POOL_EDGE_STATIONS	22	62	[Station B2_UPPER_PAIRED_BASINS_AND_CYLINDER] An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen. An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen. An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen. An den oberen Paarbecken mit Zylinder: Am Ziel ansetzen; den Posten durch den Durchlass weiterleiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass weiterleiten und schliessen. An den oberen Paarbecken mit Zylinder: Den Posten am Ziel ansetzen und nach Mass auffangen. Ihn durch den Durchlass fuehren, zweimal nach Mass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft fortsetzen, laenger erwaermen, weiterleiten und schliessen. An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zum Ziel ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen. [Besitzerwechsel zu B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE] An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen. An der linken Mittelstation mit Zwischenknoten: Danach nach Mass; dann aus der Quelle ansetzen; dann absetzen lassen; den Schritt schliessen. An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen. An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann fortsetzen; dann ihn laenger halten. [Besitzerwechsel zu B2_MIDDLE_RIGHT_AMBIGUOUS_STATION] An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen. [Lokaler Wechsel innerhalb der Aussage: B2_MIDDLE_RIGHT_AMBIGUOUS_STATION > B2_LOWER_GREEN_MULTI_FIGURE_POOL] An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten weiterleiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger weiterleiten; nach Mass beibehalten, vollstaendig ansetzen und schliessen. Am unteren gruenen Figurenbecken: Weiterleiten und umsetzen; den Schritt schliessen. Am unteren gruenen Figurenbecken: Aus der Quelle weiterleiten. [Besitzerwechsel zu B2_LOWER_POOL_EDGE_STATIONS] An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen. An den Randstationen des unteren Beckens: Am Ziel aus der Quelle weiterleiten und umsetzen. Kurz entnehmen und teilen; nach Mass den naechsten Posten laenger fuehren, nach Mass und kurz ansetzen, einfuellen, umsetzen und schliessen. An den Randstationen des unteren Beckens: Am Ziel kurz kuehlen und halten, dann den Zielschritt schliessen. An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen. An den Randstationen des unteren Beckens: Kuehlen und absetzen lassen; den Schritt schliessen. An den Randstationen des unteren Beckens: Danach laenger; den Schritt schliessen. An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen. An den Randstationen des unteren Beckens: Im Arbeitsgang weiterleiten und umsetzen; den Schritt schliessen.	OPERATES_ON_CURRENT_ITEM_AT_LOCAL_STATION	NONE
B3	f83r	BIOLOGICAL_HOW	B3_UPPER_MARGIN_OPEN_FAN_STATION | B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION | B3_LOWER_MARGIN_BASKET_VESSEL_STATION | B3_LOWER_MARGIN_BASKET_VESSEL_STATION > B3_MARGIN_TO_MAIN_GAP_UNRESOLVED | B3_MARGIN_TO_MAIN_GAP_UNRESOLVED | B3_MARGIN_TO_MAIN_GAP_UNRESOLVED > B3_MAIN_ARCH_LINKED_PAIR | B3_MAIN_ARCH_LINKED_PAIR	34	86	[Station B3_UPPER_MARGIN_OPEN_FAN_STATION] An der oberen offenen Faecherstation: Laenger auffangen und den Schritt schliessen. An der oberen offenen Faecherstation: Danach zum Ziel; dann laenger erwaermen; den Schritt schliessen. An der oberen offenen Faecherstation: Den laufenden Posten nach Mass beibehalten, anschliessend weiterleiten und umsetzen, dann schliessen. An der oberen offenen Faecherstation: Nach Mass ansetzen; danach zum Ziel wechseln und aus der Quelle weiterarbeiten. [Besitzerwechsel zu B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION] Am runden Mittelgefaess: Umsetzen; den Schritt schliessen. Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zum Ziel ansetzen; dann weiter umsetzen; den Schritt schliessen. Am runden Mittelgefaess: Nach Mass ansetzen; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen. Am runden Mittelgefaess: Weiterleiten und umsetzen; den Schritt schliessen. Am runden Mittelgefaess: Den laufenden Posten ansetzen. [Besitzerwechsel zu B3_LOWER_MARGIN_BASKET_VESSEL_STATION] Am unteren Korbgefaess: Am Ziel einfuellen und umsetzen; danach den kurzen Folgeschritt schliessen. Am unteren Korbgefaess: Kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus der Quelle. Am unteren Korbgefaess: Den Ansatz absetzen lassen und den Schritt schliessen. Am unteren Korbgefaess: Nach Mass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen. Am unteren Korbgefaess: Wasser ansetzen, laenger halten und den Schritt schliessen. Am unteren Korbgefaess: Weiterleiten und umsetzen; den Schritt schliessen. [Lokaler Wechsel innerhalb der Aussage: B3_LOWER_MARGIN_BASKET_VESSEL_STATION > B3_MARGIN_TO_MAIN_GAP_UNRESOLVED] Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Arbeitsgang weiterleiten; dann ansetzen und umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Laenger ansetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Absetzen lassen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Kurz ansetzen und halten; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Am Ziel weiterleiten, umsetzen und den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Nach Mass ansetzen und den Posten bereitet halten. Am Ziel nach Mass absetzen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, am Ziel erneut bereitet halten, umsetzen und schliessen. Im bildlich unverbundenen Zwischenabschnitt: Danach umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Weiterleiten und umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Ansetzen und umsetzen; den Schritt schliessen. [Lokaler Wechsel innerhalb der Aussage: B3_MARGIN_TO_MAIN_GAP_UNRESOLVED > B3_MAIN_ARCH_LINKED_PAIR] Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Mass weiterleiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz am Ziel kuehlen, laenger auffangen und schliessen. Am durch den Bogen verbundenen Hauptpaar: Danach laenger; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Laenger den laufenden Posten ansetzen; dann kurz ansetzen; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Fortsetzen; dann vollstaendig den laufenden Posten anwenden; dann kurz ansetzen; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Mass ansetzen, Wasser innerhalb dieses Besitzerpaares umsetzen; danach nochmals umsetzen und schliessen. Am durch den Bogen verbundenen Hauptpaar: Laenger ansetzen; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Mass, anschliessend nochmals nach Mass und den folgenden Kurzschritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Weiterleiten; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Stufe fuehren; den Posten bereitet halten und anwenden; danach nach Mass am Ziel weiterfuehren, absetzen und schliessen.	OPERATES_ON_CURRENT_ITEM_AT_LOCAL_STATION	NONE
B4	f83r	BIOLOGICAL_HOW	B4_MAIN_ARCH_LINKED_PAIR | B4_MAIN_LEFT_OPEN_FRINGE_STATION | B4_MAIN_LEFT_OPEN_FRINGE_STATION > B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION | B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	16	47	[Station B4_MAIN_ARCH_LINKED_PAIR] Am zweiten durch den Bogen verbundenen Hauptpaar: Laenger ansetzen und den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten fortsetzen; dann ihn laenger ansetzen; dann kurz ansetzen; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zum Ziel und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, fortsetzen, absetzen und schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten ansetzen und befestigen; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Eine Portion als laufenden Posten umsetzen, laenger ansetzen und den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Mass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Absetzen lassen; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Fortsetzen; den Schritt schliessen. [Besitzerwechsel zu B4_MAIN_LEFT_OPEN_FRINGE_STATION] An der linken offenen Randstation: Nach Mass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, fortsetzen, kurz weiterleiten und zugeben, dann schliessen. An der linken offenen Randstation: Weiterleiten und umsetzen; den Schritt schliessen. An der linken offenen Randstation: Weiter ansetzen; dann absetzen lassen; den Schritt schliessen. An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren, ihn kurz im Arbeitsgang am Durchlass halten, dieses Wasser lokal weiterfuehren und den Schritt schliessen. [Lokaler Wechsel innerhalb der Aussage: B4_MAIN_LEFT_OPEN_FRINGE_STATION > B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION] An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass am Ziel entnehmen, kurz auffangen, weiterleiten, umsetzen und schliessen. An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, am Ziel aus der Quelle nachzugeben, absetzen lassen und schliessen.	OPERATES_ON_CURRENT_ITEM_AT_LOCAL_STATION	NONE
B5	f83r	BIOLOGICAL_HOW	B5_LEFT_OPEN_FRINGE_STATION	3	11	[Station B5_LEFT_OPEN_FRINGE_STATION] An der linken offenen Nebenstation: Danach umsetzen und den Schritt schliessen. An der linken offenen Nebenstation: Ansetzen und umsetzen; den Schritt schliessen. An der linken offenen Nebenstation: Am Ziel absetzen und dort weiterarbeiten; weiterleiten und fortsetzen, am Ziel umsetzen, nach Mass fortsetzen, fuer den zweiten Durchgang bis zur Stufe fuehren und den Posten umsetzen.	OPERATES_ON_CURRENT_ITEM_AT_LOCAL_STATION	NONE
