joint_tuple_id	registered_surface_palette	atomic_value_de	component_formula	deck_class	teaching_category	primary_slot	all_slots_with_counts	primary_working_state	primary_working_state_de	all_states_with_counts	explicit_marker_states	events	records	pages	ambiguous_pair_id	pair_mate_joint_tuple_id	master_tablet_no	master_pin_owner	board_address
c10aec6d4dd877ec8bd8	choy	Zutatposten	CHO + Y	PRODUCTIVE_COMPOSITION	INVARIANT_TEACHING_CORE	S1_BEZUG_FOLGE	S1_BEZUG_FOLGE:1	M1_RAW_PART	Rohteil	M1_RAW_PART:1	M1_RAW_PART:1	1	H5	f56r	NONE	NONE	NONE	NONE	M1_RAW_PART__S1_BEZUG_FOLGE
2cc054357a929df85f64	cho|sho	Zutat	CHO	PRODUCTIVE_COMPOSITION	HAND_VARIABLE_ALLOGRAPH_CARD	S1_BEZUG_FOLGE	S1_BEZUG_FOLGE:4	M1_RAW_PART	Rohteil	M1_RAW_PART:4	M1_RAW_PART:4	4	H5	f56r	NONE	NONE	NONE	NONE	M1_RAW_PART__S1_BEZUG_FOLGE
65f320e75510b2f38182	dchey	Wurzelteil	WHOLE_CARD	MEMORIZED_WHOLE_CARD	STABLE_MEMORIZED_TECHNICAL_CARD	S1_BEZUG_FOLGE	S1_BEZUG_FOLGE:1	M1_RAW_PART	Rohteil	M1_RAW_PART:1	M1_RAW_PART:1	1	H1	f10r	NONE	NONE	T01	Wurzel und übrige Teile der abgebildeten Pflanze	M1_RAW_PART__S1_BEZUG_FOLGE
d665560c8ff80799a82c	dchol|schol	Vorfortsetzung	D + OL	PRODUCTIVE_COMPOSITION	HAND_VARIABLE_ALLOGRAPH_CARD	S1_BEZUG_FOLGE	S1_BEZUG_FOLGE:2	M1_RAW_PART	Rohteil	M1_RAW_PART:1|M2_PREPARATION:1	NONE__THREAD_CONTEXT_ONLY	2	H3|H5	f11r|f56r	NONE	NONE	NONE	NONE	M1_RAW_PART__S1_BEZUG_FOLGE
c71c72da4e09e0833392	kchoar	Quellenzutatbindung	K + CHO + AR	PRODUCTIVE_COMPOSITION	INVARIANT_TEACHING_CORE	S1_BEZUG_FOLGE	S1_BEZUG_FOLGE:1	M1_RAW_PART	Rohteil	M1_RAW_PART:1	M1_RAW_PART:1	1	H5	f56r	NONE	NONE	NONE	NONE	M1_RAW_PART__S1_BEZUG_FOLGE
893c570f3fa3fce99711	kchol	Bindefortsetzung	K + OL	PRODUCTIVE_COMPOSITION	INVARIANT_TEACHING_CORE	S1_BEZUG_FOLGE	S1_BEZUG_FOLGE:1	M1_RAW_PART	Rohteil	M1_RAW_PART:1	NONE__THREAD_CONTEXT_ONLY	1	H5	f56r	NONE	NONE	NONE	NONE	M1_RAW_PART__S1_BEZUG_FOLGE
b6b654722e55729cc947	otar	Folgequelle	OT_NEXT+AR_FROM	PRODUCTIVE_COMPOSITION	INVARIANT_TEACHING_CORE	S1_BEZUG_FOLGE	S1_BEZUG_FOLGE:1	M1_RAW_PART	Rohteil	M1_RAW_PART:1	NONE__THREAD_CONTEXT_ONLY	1	B1	f81v	NONE	NONE	NONE	NONE	M1_RAW_PART__S1_BEZUG_FOLGE
c205570c49d4d93c23d3	qolky	Weiterweg	Q_FRAME+OL_CONTINUE+KY_PATH	PRODUCTIVE_COMPOSITION	INVARIANT_TEACHING_CORE	S1_BEZUG_FOLGE	S1_BEZUG_FOLGE:1	M1_RAW_PART	Rohteil	M1_RAW_PART:1	NONE__THREAD_CONTEXT_ONLY	1	B1	f81v	NONE	NONE	NONE	NONE	M1_RAW_PART__S1_BEZUG_FOLGE
ad3581d3144f69a5912d	sh	Pflanzenteil	WHOLE_CARD	MEMORIZED_WHOLE_CARD	STABLE_MEMORIZED_TECHNICAL_CARD	S1_BEZUG_FOLGE	S1_BEZUG_FOLGE:1	M1_RAW_PART	Rohteil	M1_RAW_PART:1	M1_RAW_PART:1	1	H5	f56r	NONE	NONE	T07	Stängel-/Pflanzenteil der abgebildeten Pflanze	M1_RAW_PART__S1_BEZUG_FOLGE
577c03a928d674d420d7	shoyty	Zutatfolgeteil	SHO + YTY	PRODUCTIVE_COMPOSITION	INVARIANT_TEACHING_CORE	S1_BEZUG_FOLGE	S1_BEZUG_FOLGE:1	M1_RAW_PART	Rohteil	M1_RAW_PART:1	M1_RAW_PART:1	1	H3	f11r	NONE	NONE	NONE	NONE	M1_RAW_PART__S1_BEZUG_FOLGE
a06244ef1f2b37ca44c1	teol	Kurzfortgang	E_SHORT+OL_CONTINUE	PRODUCTIVE_COMPOSITION	INVARIANT_TEACHING_CORE	S1_BEZUG_FOLGE	S1_BEZUG_FOLGE:1	M1_RAW_PART	Rohteil	M1_RAW_PART:1	NONE__THREAD_CONTEXT_ONLY	1	B1	f81v	NONE	NONE	NONE	NONE	M1_RAW_PART__S1_BEZUG_FOLGE
953ad19b79517fc8a211	tshol	Blütenkraut	WHOLE_CARD	MEMORIZED_WHOLE_CARD	STABLE_MEMORIZED_TECHNICAL_CARD	S1_BEZUG_FOLGE	S1_BEZUG_FOLGE:1	M1_RAW_PART	Rohteil	M1_RAW_PART:1	M1_RAW_PART:1	1	H3	f11r	NONE	NONE	T02	Blütenkraut der abgebildeten Pflanze	M1_RAW_PART__S1_BEZUG_FOLGE
087a47b5423438cd6b6a	chokcheo	Auszugzugabe	OK + CHEO	PRODUCTIVE_COMPOSITION	INVARIANT_TEACHING_CORE	S2_MATERIAL_MASS	S2_MATERIAL_MASS:1	M1_RAW_PART	Rohteil	M1_RAW_PART:1	NONE__THREAD_CONTEXT_ONLY	1	H5	f56r	NONE	NONE	NONE	NONE	M1_RAW_PART__S2_MATERIAL_MASS
0f18de177ed7c878bf95	dl	Zusatz	WHOLE_CARD	MEMORIZED_WHOLE_CARD	STABLE_MEMORIZED_TECHNICAL_CARD	S2_MATERIAL_MASS	S2_MATERIAL_MASS:2	M1_RAW_PART	Rohteil	M1_RAW_PART:2	M1_RAW_PART:2	2	B1	f81v	NONE	NONE	NONE	NONE	M1_RAW_PART__S2_MATERIAL_MASS
