event_id	page	record	statement_id	surface	event_role	event_reading_de	workshop_phase	phase_assignment_complete
E001	f10r	H1	H1-S001	dchey	ACTION	abnehmen	MATERIAL_PREP	YES
E002	f10r	H1	H1-S001	cthoor	ARGUMENT_OR_STATE	bereit · Arbeitsgang · Ansatz	ARGUMENT_OR_STATE	YES
E003	f10r	H1	H1-S001	char	ARGUMENT_OR_STATE	von dort	ARGUMENT_OR_STATE	YES
E004	f10r	H1	H1-S001	chty	ACTION	übertragen	ROUTE	YES
E005	f10r	H1	H1-S001	os	ARGUMENT_OR_STATE	Arbeitsfach	ARGUMENT_OR_STATE	YES
E006	f10r	H1	H1-S001	chair	ACTION	ablaufen lassen	ROUTE	YES
E007	f10r	H1	H1-S001	otytchol	ACTION	eintragen + abnehmen	MATERIAL_PREP	YES
E008	f10r	H1	H1-S001	oky	ACTION	Pflanzenstoff in den Ansatz geben	SPECIALIST	YES
E009	f10r	H1	H1-S001	daiin	ARGUMENT_OR_STATE	vorgeschriebenes Maß	ARGUMENT_OR_STATE	YES
E010	f10r	H1	H1-S001	etyd	ACTION	eintragen	MATERIAL_PREP	YES
E011	f10r	H1	H1-S002	qokchy	ACTION	Pflanzenstoff in den Ansatz geben	SPECIALIST	YES
E012	f10r	H1	H1-S002	qotchol	ACTION	abnehmen	MATERIAL_PREP	YES
E013	f10r	H1	H1-S002	chol	ARGUMENT_OR_STATE	fortsetzen	ARGUMENT_OR_STATE	YES
E014	f10r	H1	H1-S002	cthy	ARGUMENT_OR_STATE	bereit · dieser Posten	ARGUMENT_OR_STATE	YES
E015	f10r	H2	H2-S001	ycheor	ACTION	abziehen	MATERIAL_PREP	YES
E016	f10r	H2	H2-S001	cthy	ARGUMENT_OR_STATE	bereit · dieser Posten	ARGUMENT_OR_STATE	YES
E017	f10r	H2	H2-S001	chor	ARGUMENT_OR_STATE	Ansatz	ARGUMENT_OR_STATE	YES
E018	f10r	H2	H2-S001	cthaiin	ARGUMENT_OR_STATE	bereit · vorgeschriebenes Maß	ARGUMENT_OR_STATE	YES
E019	f10r	H2	H2-S001	qoctholy	ARGUMENT_OR_STATE	Arbeitsgang · bereit · fortsetzen · dieser Posten	ARGUMENT_OR_STATE	YES
E020	f10r	H2	H2-S001	dy	ARGUMENT_OR_STATE	dieser Posten	ARGUMENT_OR_STATE	YES
E021	f10r	H2	H2-S001	chy	ARGUMENT_OR_STATE	dieser Posten	ARGUMENT_OR_STATE	YES
E022	f10r	H2	H2-S001	taiin	ARGUMENT_OR_STATE	vorgeschriebenes Maß	ARGUMENT_OR_STATE	YES
E023	f10r	H2	H2-S001	shy	ARGUMENT_OR_STATE	dieser Posten	ARGUMENT_OR_STATE	YES
E024	f10r	H2	H2-S002	qotchor	ACTION	abziehen	MATERIAL_PREP	YES
E025	f10r	H2	H2-S002	chor	ARGUMENT_OR_STATE	Ansatz	ARGUMENT_OR_STATE	YES
E026	f10r	H2	H2-S002	otol	ARGUMENT_OR_STATE	danach · fortsetzen	ARGUMENT_OR_STATE	YES
E027	f10r	H2	H2-S002	chol	ARGUMENT_OR_STATE	fortsetzen	ARGUMENT_OR_STATE	YES
E028	f10r	H2	H2-S002	cholor	ARGUMENT_OR_STATE	fortsetzen · Ansatz	ARGUMENT_OR_STATE	YES
E029	f10r	H2	H2-S002	chol	ARGUMENT_OR_STATE	fortsetzen	ARGUMENT_OR_STATE	YES
E030	f10r	H2	H2-S002	daiin	ARGUMENT_OR_STATE	vorgeschriebenes Maß	ARGUMENT_OR_STATE	YES
E031	f10r	H2	H2-S002	dar	ARGUMENT_OR_STATE	von dort	ARGUMENT_OR_STATE	YES
E032	f10r	H2	H2-S003	oykchor	ACTION	zugeben	MEASURE_CHARGE	YES
E033	f10r	H2	H2-S003	shor	ARGUMENT_OR_STATE	Ansatz	ARGUMENT_OR_STATE	YES
E034	f10r	H2	H2-S003	chor	ARGUMENT_OR_STATE	Ansatz	ARGUMENT_OR_STATE	YES
E035	f10r	H2	H2-S003	chy	ARGUMENT_OR_STATE	dieser Posten	ARGUMENT_OR_STATE	YES
E036	f10r	H2	H2-S003	kaiiin	ACTION	zugeben	MEASURE_CHARGE	YES
E037	f10r	H2	H2-S003	dy	ARGUMENT_OR_STATE	dieser Posten	ARGUMENT_OR_STATE	YES
E038	f10r	H2	H2-S003	chodaiin	ACTION	abziehen	MATERIAL_PREP	YES
E039	f11r	H3	H3-S001	tshol	ACTION	eintragen + halten	MATERIAL_PREP>HOLD	YES
E040	f11r	H3	H3-S001	schoal	ACTION	an Ort halten	HOLD	YES
E041	f11r	H3	H3-S001	cfhy	ACTION	auswringen	MATERIAL_PREP	YES
E042	f11r	H3	H3-S001	shfydaiin	ACTION	ziehen lassen	HOLD	YES
E043	f11r	H3	H3-S001	cphy	ACTION	hineingeben	MEASURE_CHARGE	YES
E044	f11r	H3	H3-S001	shey	ACTION	ziehen lassen	HOLD	YES
E045	f11r	H3	H3-S001	tchody	ACTION	abschließend eintragen + abziehen	MATERIAL_PREP	YES
E046	f11r	H3	H3-S002	shoyty	ACTION	halten + eintragen	HOLD>MATERIAL_PREP	YES
E047	f11r	H3	H3-S003	dchol	ARGUMENT_OR_STATE	fortsetzen	ARGUMENT_OR_STATE	YES
E048	f11r	H3	H3-S003	chy	ARGUMENT_OR_STATE	dieser Posten	ARGUMENT_OR_STATE	YES
E049	f11r	H3	H3-S003	kchy	ACTION	zugeben	MEASURE_CHARGE	YES
E050	f11r	H3	H3-S003	dy	ARGUMENT_OR_STATE	dieser Posten	ARGUMENT_OR_STATE	YES
E051	f11r	H3	H3-S003	daiin	ARGUMENT_OR_STATE	vorgeschriebenes Maß	ARGUMENT_OR_STATE	YES
E052	f11r	H3	H3-S004	qotchy	ARGUMENT_OR_STATE	danach · dieser Posten	ARGUMENT_OR_STATE	YES
E053	f11r	H3	H3-S004	okchol	ACTION	weiter beschicken	MEASURE_CHARGE	YES
