locus	record	page	palette_id	residual_events	stamp_sequence	uniform_stamp	program_load	free_choice
f10r.2	H1	f10r	WP17	1	Ø	YES	LOAD_ONE_STAMP	NO
f10r.5	H1	f10r	WP11	1	q	YES	LOAD_ONE_STAMP	NO
f10r.6	H2	f10r	WP10	3	d>t>sh	NO	COPY_SHORT_STAMP_SEQUENCE	NO
f10r.8	H2	f10r	WP02	2	q>ch	NO	COPY_SHORT_STAMP_SEQUENCE	NO
f10r.9	H2	f10r	WP09	2	s>d	NO	COPY_SHORT_STAMP_SEQUENCE	NO
f11r.4	H3	f11r	WP08	1	d	YES	LOAD_ONE_STAMP	NO
f11r.7	H3	f11r	WP08	1	d	YES	LOAD_ONE_STAMP	NO
f55v.11	H4	f55v	WP17	3	Ø>Ø>Ø	YES	LOAD_ONE_STAMP	NO
f55v.5	H4	f55v	WP01	1	ch	YES	LOAD_ONE_STAMP	NO
f56r.18	H5	f56r	WP01	1	ch	YES	LOAD_ONE_STAMP	NO
f56r.8	H5	f56r	WP14	1	s	YES	LOAD_ONE_STAMP	NO
f81v.17	B1	f81v	WP14	1	s	YES	LOAD_ONE_STAMP	NO
f81v.2	B1	f81v	WP15	4	Ø>Ø>s>Ø	NO	COPY_SHORT_STAMP_SEQUENCE	NO
f81v.21	B1	f81v	WP11	2	q>q	YES	LOAD_ONE_STAMP	NO
f81v.24	B1	f81v	WP05	4	Ø>q>che>s	NO	COPY_SHORT_STAMP_SEQUENCE	NO
f81v.27	B1	f81v	WP04	2	t>ch	NO	COPY_SHORT_STAMP_SEQUENCE	NO
f81v.7	B1	f81v	WP11	1	q	YES	LOAD_ONE_STAMP	NO
f82r.19	B2	f82r	WP17	1	Ø	YES	LOAD_ONE_STAMP	NO
f82r.2	B2	f82r	WP08	2	d>d	YES	LOAD_ONE_STAMP	NO
f82r.26	B2	f82r	WP07	2	che>Ø	NO	COPY_SHORT_STAMP_SEQUENCE	NO
f82r.7	B2	f82r	WP14	1	s	YES	LOAD_ONE_STAMP	NO
f83r.11	B3	f83r	WP03	3	s>ch>sh	NO	COPY_SHORT_STAMP_SEQUENCE	NO
f83r.14	B3	f83r	WP12	3	q>sh>s	NO	COPY_SHORT_STAMP_SEQUENCE	NO
f83r.15	B3	f83r	WP13	3	t>sh>q	NO	COPY_SHORT_STAMP_SEQUENCE	NO
f83r.16	B3	f83r	WP16	1	t	YES	LOAD_ONE_STAMP	NO
f83r.20	B3	f83r	WP14	2	s>s	YES	LOAD_ONE_STAMP	NO
f83r.24	B3	f83r	WP06	2	s>che	NO	COPY_SHORT_STAMP_SEQUENCE	NO
f83r.25	B4	f83r	WP17	1	Ø	YES	LOAD_ONE_STAMP	NO
f83r.26	B4	f83r	WP16	1	t	YES	LOAD_ONE_STAMP	NO
f83r.35	B4	f83r	WP01	1	ch	YES	LOAD_ONE_STAMP	NO
f83r.41	B4	f83r	WP11	1	q	YES	LOAD_ONE_STAMP	NO
f83r.48	B5	f83r	WP07	2	che>Ø	NO	COPY_SHORT_STAMP_SEQUENCE	NO
f83r.54	B6	f83r	WP08	1	d	YES	LOAD_ONE_STAMP	NO
f83r.6	B3	f83r	WP17	1	Ø	YES	LOAD_ONE_STAMP	NO
