exact_tuple_id	surface	selected_default_English	source_class	events	hand_1_events	hand_2_events	hand_1_wrappers	hand_2_wrappers	registers	pages	positions	curriculum_level
2f1c5e56e8f0ff459065	daiin	in the stated or usual measure	MEASURE_REFERENCE	20	6	14	d|t	NONE|ch|d|s	HERBAL_A|HERBAL_B|OTHER_B	f10r|f11r|f55v|f56r|f81v|f82r|f83r	FIRST:6;LAST:5;MIDDLE:9	SHARED_APPRENTICE_CORE
dcda95c81a5460feb191	chol	with the foregoing preparation	PREPARATION_REFERENCE	19	3	16	ch	NONE|che|q|s|t	HERBAL_A|OTHER_B	f10r|f81v|f83r	FIRST:3;LAST:1;MIDDLE:14;ONLY:1	SHARED_APPRENTICE_CORE
b921a237be883a820352	dy	this present portion	CURRENT_PORTION	18	8	10	ch|d|sh	NONE|che|d|s	HERBAL_A|HERBAL_B|OTHER_B	f10r|f11r|f55v|f81v|f82r|f83r	FIRST:2;LAST:3;MIDDLE:13	SHARED_APPRENTICE_CORE
dd0ecaf5e27d81befffc	dal	apply it at the place indicated by the drawing	APPLICATION_LOCATION	10	1	9	d	NONE|ch|che|d|s|t	HERBAL_A|OTHER_B	f56r|f81v|f82r|f83r	FIRST:4;LAST:2;MIDDLE:3;ONLY:1	SHARED_APPRENTICE_CORE
276a7c2d74d1143446f4	oky	apply or use this portion	APPLICATION_ACTION	10	3	7	NONE|ch	q	HERBAL_A|OTHER_B	f10r|f56r|f81v|f82r|f83r	FIRST:1;LAST:2;MIDDLE:6;ONLY:1	SHARED_APPRENTICE_CORE
7a4bb8136330ee4e6e56	chor	the prepared decoction or working liquid	PREPARED_LIQUID	7	4	3	ch|sh	NONE|s	HERBAL_A|HERBAL_B|OTHER_B	f10r|f55v|f83r	FIRST:2;MIDDLE:5	SHARED_APPRENTICE_CORE
e0b630cb1b5df5e7105b	cthy	when the preparation is ready	READINESS_CONDITION	7	3	4	NONE	che|sh	HERBAL_A|OTHER_B	f10r|f11r|f83r	LAST:1;MIDDLE:6	SHARED_APPRENTICE_CORE
4d4559019a961b834aa1	char	from the same prepared batch	SAME_PREPARED_BATCH_REFERENCE	5	2	3	ch|d	ch|d|s	HERBAL_A|OTHER_B	f10r|f81v|f82r|f83r	LAST:2;MIDDLE:3	SHARED_APPRENTICE_CORE
b5df9126607030b95175	shey	until the liquid runs clear	CLARITY_GATE	4	1	3	sh	che|sh	HERBAL_A|OTHER_B	f11r|f82r|f83r	FIRST:1;LAST:1;MIDDLE:2	SHARED_APPRENTICE_CORE
dec401773c1f0347793d	cholor	from the foregoing batch	PORTABLE_TECHNICAL_PHRASE	2	1	1	ch	NONE	HERBAL_A|OTHER_B	f10r|f81v	FIRST:1;MIDDLE:1	SHARED_APPRENTICE_CORE
80ebbbbf238eee9f0aef	chty	work it until evenly homogeneous	PROCESS_CONDITION	2	1	1	ch	che	HERBAL_A|OTHER_B	f10r|f83r	MIDDLE:2	SHARED_APPRENTICE_CORE
faf321940aed922846a9	otchey	take the final indicated share	FINAL_SHARE_INSTRUCTION	2	1	1	NONE	NONE	HERBAL_A|OTHER_B	f56r|f83r	FIRST:2	SHARED_APPRENTICE_CORE
