page_host	joint_tuple_id	surface_examples	v43_current_default	source_class	v43_confidence	fixed_panel_events	fixed_panel_pages	manuscript_events	manuscript_folios	coordinate_id	wrapper_classes	meaning_unit
aiiin	fcc1deda9e24ec268eb0	daiiin	die zweite Öffnung	APPLICATION_PHRASE	.16	1	f83r	20	14	fb61c4e2699f5c505886	NONE|d|s|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
aiin	2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	Ein vorgeschriebenes Maß	MEASURE_REFERENCE	.66	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	435	84	fb61c4e2699f5c505886	NONE|ch|che|d|q|s|sh|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ain	53cd0637c6820ba5e91f	dain	durch ein Tuch	APPLICATION_PHRASE	.24	2	f83r	90	48	fb61c4e2699f5c505886	NONE|ch|d|s|sh|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
air	12efe866f335461823a6	chair	gib Rotwein hinzu	MEDIUM	.32	1	f10r	41	27	fb61c4e2699f5c505886	NONE|ch|d|s|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
airy	8aedd154964a78e555d6	dairydy	gebrauche sie sofort und beende den Schritt	COMMITTED_TECHNICAL_INSTRUCTION	.16	1	f83r	1	1	b13789bf2874739e46f6	d	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
al	78b3b3140714da19090d	daldy	wiederhole es an der zweiten Öffnung und beende den Schritt	COMMITTED_TECHNICAL_INSTRUCTION	.16	1	f82r	11	10	b13789bf2874739e46f6	NONE|d|s	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
al	dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	An die bezeichnete Zielstelle führen	APPLICATION_LOCATION	.55	10	f56r|f81v|f82r|f83r	137	50	fb61c4e2699f5c505886	NONE|ch|che|d|s|sh|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
ala	e026af581c99322fbd46	talam	wasche die wunde Stelle einmal	APPLICATION	.35	1	f55v	4	4	c63952e1036200b3720a	NONE|d|t	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
alch	2bc2ed2630dbdaaa6b59	dalchdy	behalte den Rückstand und beende den Schritt	COMMITTED_TECHNICAL_INSTRUCTION	.16	1	f83r	2	2	b13789bf2874739e46f6	d	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
alror	d788d8d72d41b25a3c71	chealror	bis der Strom klar wird	APPLICATION_CLAUSE_END	.16	1	f83r	1	1	fb61c4e2699f5c505886	che	COMPLETE_JOINT_TUPLE_NOT_PAGE_HOST
