page	locus	record	event_index	surface	joint_tuple_id	page_host	atomic_literal_composition_German	separate_local_creative_expansion_German
f10r	f10r.2	1	1	dchey	65f320e75510b2f38182	chey	HOST-CHEY=NEHMEN	Nimm die faserige untere Wurzel
f10r	f10r.2	1	2	cthoor	dedc383b600397a301ee	cthoor	HOST-CTHOOR=UNBEKANNT	wasche sie in fließendem Wasser
f10r	f10r.2	1	3	char	4d4559019a961b834aa1	ar	HOST-AR=UNBEKANNT	Daraus, aus demselben Ansatz
f10r	f10r.2	1	4	chty	80ebbbbf238eee9f0aef	ty	HOST-TY=UNBEKANNT	Gleichmäßig bearbeiten
f10r	f10r.2	1	5	os	df1098831679a8ad1b39	os	HOST-OS=UNBEKANNT	zerstoße sie zu grobem Pulver
f10r	f10r.2	1	6	chair	12efe866f335461823a6	air	HOST-AIR=UNBEKANNT	gib Rotwein hinzu
f10r	f10r.2	1	7	otytchol	62ff059766b21c7de083	otytchol	HOST-OTYTCHOL=UNBEKANNT	trinke es bei Magenschmerz
f10r	f10r.2	1	8	oky	276a7c2d74d1143446f4	oky	GANZKARTE-OKY=VERWENDEN	Die aktive Portion verwenden
f10r	f10r.2	1	9	daiin	2f1c5e56e8f0ff459065	aiin	GANZKARTE-AIIN=MASS	Ein vorgeschriebenes Maß
f10r	f10r.2	1	10	etyd	a6939862e33ece5a0483	etyd	HOST-ETYD=UNBEKANNT	bewahre die übrige Wurzel trocken auf
f10r	f10r.5	1	1	qokchy	9ad66e67803a12e745de	okchy	HOST-OKCHY=UNBEKANNT	gebrauche die frisch bereitete Arznei
f10r	f10r.5	1	2	qotchol	e8a6105b5c3a6220b440	chol	HOST-CHOL=UNBEKANNT + FRAME-OT=GEGENBEZUG	wende sie warm an
f10r	f10r.5	1	3	chol	dcda95c81a5460feb191	l	HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG	Mit der vorigen Zubereitung weiter
f10r	f10r.5	1	4	cthy	e0b630cb1b5df5e7105b	cthy	GANZKARTE-CTHY=BEREIT	Sobald die Zubereitung gebrauchsfertig ist
f10r	f10r.6	2	1	ycheor	7249edc4df3419c26999	ycheor	HOST-YCHEOR=UNBEKANNT	sie wächst auf feuchtem Wiesengrund
f10r	f10r.6	2	2	cthy	e0b630cb1b5df5e7105b	cthy	GANZKARTE-CTHY=BEREIT	Sobald die Zubereitung gebrauchsfertig ist
f10r	f10r.6	2	3	chor	7a4bb8136330ee4e6e56	or	HOST-OR=BEREIT	Die bereitete Arbeitsflüssigkeit
f10r	f10r.6	2	4	cthaiin	f3c23f42baf625639e1e	cth	HOST-CTH=UNBEKANNT + RIGHT-AIIN=STANDARD	gib den ausgepressten Saft hinzu
f10r	f10r.6	2	5	qoctholy	af816c04e65874a0f2fa	octholy	HOST-OCTHOLY=UNBEKANNT	koche es sanft
f10r	f10r.6	2	6	dy	b921a237be883a820352	y	HOST-Y=UNBEKANNT	Diese aktive Portion
f10r	f10r.6	2	7	chy	b921a237be883a820352	y	HOST-Y=UNBEKANNT	Diese aktive Portion
f10r	f10r.6	2	8	taiin	2f1c5e56e8f0ff459065	aiin	GANZKARTE-AIIN=MASS	Ein vorgeschriebenes Maß
f10r	f10r.6	2	9	shy	b921a237be883a820352	y	HOST-Y=UNBEKANNT	Diese aktive Portion
f10r	f10r.8	2	1	qotchor	10488b911aae52b3b334	chor	HOST-CHOR=SAMMELN + FRAME-OT=GEGENBEZUG	vor der Blüte gesammelt
f10r	f10r.8	2	2	chor	7a4bb8136330ee4e6e56	or	HOST-OR=BEREIT	Die bereitete Arbeitsflüssigkeit
f10r	f10r.8	2	3	otol	497cbd9c7401810ff56b	ol	HOST-OL=UNBEKANNT + FRAME-OT=GEGENBEZUG	eine Handvoll
f10r	f10r.8	2	4	chol	dcda95c81a5460feb191	l	HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG	Mit der vorigen Zubereitung weiter
f10r	f10r.8	2	5	cholor	dec401773c1f0347793d	olor	GANZKARTE-OLOR=VORANSATZ	Aus dem vorigen Ansatz entnehmen
f10r	f10r.8	2	6	chol	dcda95c81a5460feb191	l	HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG	Mit der vorigen Zubereitung weiter
f10r	f10r.8	2	7	daiin	2f1c5e56e8f0ff459065	aiin	GANZKARTE-AIIN=MASS	Ein vorgeschriebenes Maß
f10r	f10r.8	2	8	dar	4d4559019a961b834aa1	ar	HOST-AR=UNBEKANNT	Daraus, aus demselben Ansatz
f10r	f10r.9	2	1	oykchor	27d97af8c96eb056c2e6	oykchor	HOST-OYKCHOR=UNBEKANNT	wenn sich die Blüte geöffnet hat
f10r	f10r.9	2	2	shor	7a4bb8136330ee4e6e56	or	HOST-OR=BEREIT	Die bereitete Arbeitsflüssigkeit
f10r	f10r.9	2	3	chor	7a4bb8136330ee4e6e56	or	HOST-OR=BEREIT	Die bereitete Arbeitsflüssigkeit
f10r	f10r.9	2	4	chy	b921a237be883a820352	y	HOST-Y=UNBEKANNT	Diese aktive Portion
f10r	f10r.9	2	5	kaiiin	409de02322e7b2ca0c62	kaiiin	HOST-KAIIIN=UNBEKANNT	bis ein bitterer Geschmack bleibt
f10r	f10r.9	2	6	dy	b921a237be883a820352	y	HOST-Y=UNBEKANNT	Diese aktive Portion
f10r	f10r.9	2	7	chodaiin	834825c61d048a6b5628	d	HOST-D=UNBEKANNT + FRAME-O=FORTSETZUNG + RIGHT-AIIN=STANDARD	bewahre diesen Anteil unter Öl
f11r	f11r.1	1	1	tshol	953ad19b79517fc8a211	shol	HOST-SHOL=UNBEKANNT	sammle die Wurzel im Frühjahr
f11r	f11r.1	1	2	schoal	428a5e3662aa57b4b256	cho	HOST-CHO=UNBEKANNT + RIGHT-AL=ZIEL	vom schattigen Waldort
f11r	f11r.1	1	3	cfhy	bdad9f9ea8b80f141496	cfhy	HOST-CFHY=UNBEKANNT	bevor sich die Blütenkrone öffnet
f11r	f11r.1	1	4	shfydaiin	a8af08e69edab8e54f15	fyd	HOST-FYD=UNBEKANNT + RIGHT-AIIN=STANDARD	presse die gequetschte Wurzel durch ein Tuch
f11r	f11r.1	1	5	cphy	deb377381ceaf55ea310	cphy	HOST-CPHY=UNBEKANNT	seihe die Flüssigkeit ein zweites Mal
f11r	f11r.1	1	6	shey	b5df9126607030b95175	ey	GANZKARTE-EY=ENDZUSTAND	Bis die Flüssigkeit klar abläuft
f11r	f11r.1	1	7	tchody	2e2027b1951d79911e24	cho	HOST-CHO=UNBEKANNT + DY=SCHLUSS	lasse die geseihte Flüssigkeit offen abkühlen
f11r	f11r.1	1	8	shoyty	577c03a928d674d420d7	oyty	HOST-OYTY=UNBEKANNT	behalte die Blütenkrone zurück
f11r	f11r.4	1	1	dchol	d665560c8ff80799a82c	chol	HOST-CHOL=UNBEKANNT	von diesem abgebildeten Simplex
f11r	f11r.4	1	2	chy	b921a237be883a820352	y	HOST-Y=UNBEKANNT	Diese aktive Portion
f11r	f11r.4	1	3	kchy	b2812c8283c3a62438bd	kchy	HOST-KCHY=UNBEKANNT	binde es auf die geschwollene Stelle
f11r	f11r.4	1	4	dy	b921a237be883a820352	y	HOST-Y=UNBEKANNT	Diese aktive Portion
f11r	f11r.4	1	5	daiin	2f1c5e56e8f0ff459065	aiin	GANZKARTE-AIIN=MASS	Ein vorgeschriebenes Maß
f11r	f11r.7	1	1	qotchy	a48efd6c4491a046ba78	chy	HOST-CHY=UNBEKANNT + FRAME-OT=GEGENBEZUG	bereite aus den Blättern einen warmen Umschlag
f11r	f11r.7	1	2	okchol	322281bd391aa621f568	okchol	HOST-OKCHOL=UNBEKANNT	lege ihn warm auf
f11r	f11r.7	1	3	cthy	e0b630cb1b5df5e7105b	cthy	GANZKARTE-CTHY=BEREIT	Sobald die Zubereitung gebrauchsfertig ist
f11r	f11r.7	1	4	dy	b921a237be883a820352	y	HOST-Y=UNBEKANNT	Diese aktive Portion
f55v	f55v.5	1	1	qokaiin	b5fcea1eaed06b2f2291	ok	HOST-OK=SETZEN + RIGHT-AIIN=STANDARD	beginne den nächsten abgemessenen Posten
f55v	f55v.5	1	2	chaiin	2f1c5e56e8f0ff459065	aiin	GANZKARTE-AIIN=MASS	Ein vorgeschriebenes Maß
f55v	f55v.5	1	3	ykain	403c1592f918c8f23b88	yk	HOST-YK=UNBEKANNT + RIGHT-AIN=EINHEIT	koche das breite Blatt sanft
f55v	f55v.5	1	4	ykan	d929a14ec45749b2e805	ykan	HOST-YKAN=UNBEKANNT	in Weißwein
f55v	f55v.5	1	5	ody	97cc9ac109148723c472	o	HOST-O=UNBEKANNT + DY=SCHLUSS	lasse es ziehen, bis die Flüssigkeit klar ist
f55v	f55v.5	1	6	daiin	2f1c5e56e8f0ff459065	aiin	GANZKARTE-AIIN=MASS	Ein vorgeschriebenes Maß
f55v	f55v.5	1	7	chedy	6f7ff8287eddf4da9fdb	y	HOST-Y=UNBEKANNT + INNER-D=VARIANTE	rühre, bis alles gleichmäßig vermischt ist
f55v	f55v.5	1	8	talam	e026af581c99322fbd46	ala	HOST-ALA=UNBEKANNT + B3=SONDERABSCHLUSS	wasche die wunde Stelle einmal
f55v	f55v.11	1	1	ykaiin	f7dc90b2c31fd341f0a4	yk	HOST-YK=UNBEKANNT + RIGHT-AIIN=STANDARD	für den zweiten Arzneigebrauch
f55v	f55v.11	1	2	cheoar	807591efc3d3f7ddbfab	o	HOST-O=UNBEKANNT + RIGHT-AR=QUELLE	gib Weißwein hinzu
f55v	f55v.11	1	3	cheeky	2c1a5fd92b9e3c762242	eky	HOST-EKY=UNBEKANNT	solange es noch warm ist
f55v	f55v.11	1	4	oldy	1b1ffdd869fb1429ad03	l	HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG + DY=SCHLUSS	koche sanft und beende diesen Arbeitsschritt
f55v	f55v.11	1	5	aiin	2f1c5e56e8f0ff459065	aiin	GANZKARTE-AIIN=MASS	Ein vorgeschriebenes Maß
f55v	f55v.11	1	6	okal	308e8ea2d5d190c498e8	ok	HOST-OK=SETZEN + RIGHT-AL=ZIEL	mische beide Anteile zusammen
f55v	f55v.11	1	7	oltchy	204b04837409088c48f9	oltchy	HOST-OLTCHY=UNBEKANNT	bewahre es in einem bedeckten Gefäß
f55v	f55v.11	1	8	or	7a4bb8136330ee4e6e56	or	HOST-OR=BEREIT	Die bereitete Arbeitsflüssigkeit
f55v	f55v.11	1	9	y	b921a237be883a820352	y	HOST-Y=UNBEKANNT	Diese aktive Portion
f55v	f55v.11	1	10	orain	6afeb5c9ab9f6cbdea0d	or	HOST-OR=BEREIT + RIGHT-AIN=EINHEIT	gebrauche die fertige Flüssigkeit frisch
