statement_id	record_unit_id	page	statement_ordinal_in_record	constituent_loci	constituent_fields	physical_line_count	event_count	entry_boundary_class	exit_boundary_class	internal_cross_line_boundaries	selected_short_card_skeleton_unchanged	record_reset	owner_id_before	owner_action	owner_id_after	active_item_id_before	active_item_kind_before	active_item_action	active_item_reset_reason	active_item_id_after	active_item_kind_after	target_id_before	target_required	target_action	target_id_after	previous_register_before	previous_required	previous_action	previous_binding	previous_register_after	exact_voriges_occurrences	exact_voriges_binding	required_silent_argument_count	required_silent_argument_slots	marked_german_source_clause	concrete_workshop_reading_unchanged	historical_ellipsis_mechanism	strongest_list_or_form_rival	confidence	status	source_lineage
H1-S001	H1	f10r	1	f10r.2	F001	1	10	RECORD_START	RESUME_ACTIVE_ITEM	NONE	F001[ANWENDEN? MASS?]	YES	NONE	INTRODUCE_FROM_PICTURE_OR_RECORD_HEADER	H1:O01	NONE	NONE	INTRODUCE_ACTIVE_ITEM	NONE	H1:I01	SIMPLEX_OR_PLANT_PART	NONE	YES	INTRODUCE_PICTURED_OR_LOCALLY_NAMED_TARGET	H1:T01	NONE	YES	BIND_CURRENT_ITEM_PART_OR_DERIVATIVE	H1:I01	H1:I01	0	NONE	4	OWNER|ACTIVE_ITEM|TARGET_OR_STATION|PREVIOUS_ITEM	[STILL:OWNER=H1:O01;PICTURED_SIMPLEX] [STILL:ACTIVE=H1:I01;SIMPLEX_OR_PLANT_PART] [STILL:TARGET=H1:T01;DESTINATION_BODY_SITE_OR_STATION_UNRESOLVED] [STILL:PREVIOUS=H1:I01;ANTECEDENT_ID_ONLY] Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei Magenschmerz ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf	Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei Magenschmerz ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf	Bildlemma hält den Simplex; recipe/item gliedert Handlungen; idem/de-eodem/praedictum dienen nur als historische Ellipsenvergleiche.	SEGMENTATION=Ein erstes Feld kann Überschrift oder Rubrik statt Klausel sein.; NONMEDICAL=Wurzelstoff aus dem Bildlos übernehmen [Ganzfeldexemplar H1, Feld 1/2]	.44	ANONYMOUS_REFERENT_EDITORIAL_LAYER;NO_NEW_CARD_MEANING	V60_SELECTED_DECK+V61_SELECTED_116_STATEMENTS>V62_R2
H1-S002	H1	f10r	2	f10r.5	F002	1	4	RESUME_ACTIVE_ITEM	RECORD_END	NONE	F002[BEREIT?]	NO	H1:O01	CARRY_RECORD_OWNER	H1:O01	H1:I01	SIMPLEX_OR_PLANT_PART	RESUME_ACTIVE_ITEM	NONE	H1:I01	SIMPLEX_DERIVATIVE_OR_PREPARATION	H1:T01	NO	CARRY_TARGET_UNMENTIONED	H1:T01	H1:I01	YES	RESUME_ACTIVE_ITEM_AS_ANTECEDENT	H1:I01	H1:I01	0	NONE	3	OWNER|ACTIVE_ITEM|PREVIOUS_ITEM	[STILL:OWNER=H1:O01;PICTURED_SIMPLEX] [STILL:ACTIVE=H1:I01;SIMPLEX_DERIVATIVE_OR_PREPARATION] [STILL:PREVIOUS=H1:I01;ANTECEDENT_ID_ONLY] gebrauche die frisch bereitete Arznei ; wende sie warm an ; Mit der vorigen Zubereitung weiter ; Sobald die Zubereitung gebrauchsfertig ist	gebrauche die frisch bereitete Arznei ; wende sie warm an ; Mit der vorigen Zubereitung weiter ; Sobald die Zubereitung gebrauchsfertig ist	Bildlemma hält den Simplex; recipe/item gliedert Handlungen; idem/de-eodem/praedictum dienen nur als historische Ellipsenvergleiche.	SEGMENTATION=START_NEW_CLAUSE: F002 könnte ein unabhängiger zweiter Rezeptzusatz sein.; NONMEDICAL=als Standardzusatz ansetzen [Ganzfeldexemplar H1, Feld 2/2]	.44	ANONYMOUS_REFERENT_EDITORIAL_LAYER;NO_NEW_CARD_MEANING	V60_SELECTED_DECK+V61_SELECTED_116_STATEMENTS>V62_R2
H2-S001	H2	f10r	1	f10r.6	F003	1	9	RECORD_START	RESUME_ACTIVE_ITEM	NONE	F003[BEREIT? ANSATZ? MASS?]	YES	NONE	INTRODUCE_FROM_PICTURE_OR_RECORD_HEADER	H2:O01	NONE	NONE	INTRODUCE_ACTIVE_ITEM	NONE	H2:I01	SIMPLEX_DERIVATIVE_OR_PREPARATION	NONE	NO	UNBOUND	NONE	NONE	NO	NONE	NONE	NONE	0	NONE	2	OWNER|ACTIVE_ITEM	[STILL:OWNER=H2:O01;PICTURED_SIMPLEX] [STILL:ACTIVE=H2:I01;SIMPLEX_DERIVATIVE_OR_PREPARATION] sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	Bildlemma hält den Simplex; recipe/item gliedert Handlungen; idem/de-eodem/praedictum dienen nur als historische Ellipsenvergleiche.	SEGMENTATION=Ein erstes Feld kann Überschrift oder Rubrik statt Klausel sein.; NONMEDICAL=obere Pflanzenteile übernehmen [Ganzfeldexemplar H2, Feld 1/3]	.36	ANONYMOUS_REFERENT_EDITORIAL_LAYER;NO_NEW_CARD_MEANING	V60_SELECTED_DECK+V61_SELECTED_116_STATEMENTS>V62_R2
H2-S002	H2	f10r	2	f10r.8	F004	1	8	RESUME_ACTIVE_ITEM	NEXT_PARALLEL_CELL	NONE	F004[ANSATZ? VORIGES? MASS?]	NO	H2:O01	CARRY_RECORD_OWNER	H2:O01	H2:I01	SIMPLEX_DERIVATIVE_OR_PREPARATION	RESUME_ACTIVE_ITEM	NONE	H2:I01	SIMPLEX_DERIVATIVE_OR_PREPARATION	NONE	NO	UNBOUND	NONE	NONE	YES	BIND_EXACT_VORIGES_TO_ANONYMOUS_ANTECEDENT	H2:I01	H2:I01	1	H2:I01	3	OWNER|ACTIVE_ITEM|PREVIOUS_ITEM	[STILL:OWNER=H2:O01;PICTURED_SIMPLEX] [STILL:ACTIVE=H2:I01;SIMPLEX_DERIVATIVE_OR_PREPARATION] [STILL:PREVIOUS=H2:I01;ANTECEDENT_ID_ONLY] [EXACT:VORIGES?→H2:I01;ANTECEDENT_TYPE_STILL_SILENT] vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz	vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz	Bildlemma hält den Simplex; recipe/item gliedert Handlungen; idem/de-eodem/praedictum dienen nur als historische Ellipsenvergleiche.	SEGMENTATION=NEXT_PARALLEL_CELL: die abweichende Sammelzeit kann eine zweite Erntevariante eröffnen.; NONMEDICAL=ausziehen [Ganzfeldexemplar H2, Feld 2/3]	.58	ANONYMOUS_REFERENT_EDITORIAL_LAYER;NO_NEW_CARD_MEANING	V60_SELECTED_DECK+V61_SELECTED_116_STATEMENTS>V62_R2
H2-S003	H2	f10r	3	f10r.9	F005	1	7	NEXT_PARALLEL_CELL	RECORD_END	NONE	F005[ANSATZ? ANSATZ?]	NO	H2:O01	CARRY_RECORD_OWNER	H2:O01	H2:I01	SIMPLEX_DERIVATIVE_OR_PREPARATION	RESET_TO_NEW_ITEM:PARALLEL_HARVEST_OR_PREPARATION_CHARGE	PARALLEL_HARVEST_OR_PREPARATION_CHARGE	H2:I02	SIMPLEX_DERIVATIVE_OR_PREPARATION	NONE	NO	UNBOUND	NONE	H2:I01	NO	NONE	NONE	H2:I01	0	NONE	2	OWNER|ACTIVE_ITEM	[STILL:OWNER=H2:O01;PICTURED_SIMPLEX] [STILL:ACTIVE=H2:I02;SIMPLEX_DERIVATIVE_OR_PREPARATION] wenn sich die Blüte geöffnet hat ; Die bereitete Arbeitsflüssigkeit ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; bis ein bitterer Geschmack bleibt ; Diese aktive Portion ; bewahre diesen Anteil unter Öl	wenn sich die Blüte geöffnet hat ; Die bereitete Arbeitsflüssigkeit ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; bis ein bitterer Geschmack bleibt ; Diese aktive Portion ; bewahre diesen Anteil unter Öl	Bildlemma hält den Simplex; recipe/item gliedert Handlungen; idem/de-eodem/praedictum dienen nur als historische Ellipsenvergleiche.	SEGMENTATION=CONTINUE_SAME_CLAUSE: beide OPEN-Felder könnten eine einzige lange Ernte-/Zubereitungsanweisung sein.; NONMEDICAL=mit einem Träger verbinden [Ganzfeldexemplar H2, Feld 3/3]	.36	ANONYMOUS_REFERENT_EDITORIAL_LAYER;NO_NEW_CARD_MEANING	V60_SELECTED_DECK+V61_SELECTED_116_STATEMENTS>V62_R2
H3-S001	H3	f11r	1	f11r.1	F006	1	7	RECORD_START	WITHIN_LOCUS_FIELD_BOUNDARY	NONE	F006[KLAR?]	YES	NONE	INTRODUCE_FROM_PICTURE_OR_RECORD_HEADER	H3:O01	NONE	NONE	INTRODUCE_ACTIVE_ITEM	NONE	H3:I01	SIMPLEX_DERIVATIVE_OR_PREPARATION	NONE	NO	UNBOUND	NONE	NONE	NO	NONE	NONE	NONE	0	NONE	2	OWNER|ACTIVE_ITEM	[STILL:OWNER=H3:O01;PICTURED_SIMPLEX] [STILL:ACTIVE=H3:I01;SIMPLEX_DERIVATIVE_OR_PREPARATION] sammle die Wurzel im Frühjahr ; vom schattigen Waldort ; bevor sich die Blütenkrone öffnet ; presse die gequetschte Wurzel durch ein Tuch ; seihe die Flüssigkeit ein zweites Mal ; Bis die Flüssigkeit klar abläuft ; lasse die geseihte Flüssigkeit offen abkühlen	sammle die Wurzel im Frühjahr ; vom schattigen Waldort ; bevor sich die Blütenkrone öffnet ; presse die gequetschte Wurzel durch ein Tuch ; seihe die Flüssigkeit ein zweites Mal ; Bis die Flüssigkeit klar abläuft ; lasse die geseihte Flüssigkeit offen abkühlen	Bildlemma hält den Simplex; recipe/item gliedert Handlungen; idem/de-eodem/praedictum dienen nur als historische Ellipsenvergleiche.	SEGMENTATION=Ein erstes Feld kann Überschrift oder Rubrik statt Klausel sein.; NONMEDICAL=Blüten- oder Krautanteil übernehmen [Ganzfeldexemplar H3, Feld 1/4]	.36	ANONYMOUS_REFERENT_EDITORIAL_LAYER;NO_NEW_CARD_MEANING	V60_SELECTED_DECK+V61_SELECTED_116_STATEMENTS>V62_R2
H3-S002	H3	f11r	2	f11r.1	F007	1	1	WITHIN_LOCUS_FIELD_BOUNDARY	RESUME_ACTIVE_ITEM	NONE	F007[∅]	NO	H3:O01	CARRY_RECORD_OWNER	H3:O01	H3:I01	SIMPLEX_DERIVATIVE_OR_PREPARATION	RESET_TO_NEW_ITEM:RETAINED_PLANT_PART_BECOMES_ACTIVE	RETAINED_PLANT_PART_BECOMES_ACTIVE	H3:I02	SIMPLEX_OR_PLANT_PART	NONE	NO	UNBOUND	NONE	NONE	NO	NONE	NONE	H3:I01	0	NONE	2	OWNER|ACTIVE_ITEM	[STILL:OWNER=H3:O01;PICTURED_SIMPLEX] [STILL:ACTIVE=H3:I02;SIMPLEX_OR_PLANT_PART] behalte die Blütenkrone zurück	behalte die Blütenkrone zurück	Bildlemma hält den Simplex; recipe/item gliedert Handlungen; idem/de-eodem/praedictum dienen nur als historische Ellipsenvergleiche.	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=ausziehen [Ganzfeldexemplar H3, Feld 2/4]	.36	ANONYMOUS_REFERENT_EDITORIAL_LAYER;NO_NEW_CARD_MEANING	V60_SELECTED_DECK+V61_SELECTED_116_STATEMENTS>V62_R2
H3-S003	H3	f11r	3	f11r.4	F008	1	5	RESUME_ACTIVE_ITEM	NEXT_PARALLEL_CELL	NONE	F008[MASS?]	NO	H3:O01	CARRY_RECORD_OWNER	H3:O01	H3:I02	SIMPLEX_OR_PLANT_PART	RESUME_ACTIVE_ITEM	NONE	H3:I02	SIMPLEX_OR_PLANT_PART	NONE	YES	INTRODUCE_PICTURED_OR_LOCALLY_NAMED_TARGET	H3:T01	H3:I01	YES	RESUME_ACTIVE_ITEM_AS_ANTECEDENT	H3:I02	H3:I02	0	NONE	4	OWNER|ACTIVE_ITEM|TARGET_OR_STATION|PREVIOUS_ITEM	[STILL:OWNER=H3:O01;PICTURED_SIMPLEX] [STILL:ACTIVE=H3:I02;SIMPLEX_OR_PLANT_PART] [STILL:TARGET=H3:T01;DESTINATION_BODY_SITE_OR_STATION_UNRESOLVED] [STILL:PREVIOUS=H3:I02;ANTECEDENT_ID_ONLY] von diesem abgebildeten Simplex ; Diese aktive Portion ; binde es auf die geschwollene Stelle ; Diese aktive Portion ; Ein vorgeschriebenes Maß	von diesem abgebildeten Simplex ; Diese aktive Portion ; binde es auf die geschwollene Stelle ; Diese aktive Portion ; Ein vorgeschriebenes Maß	Bildlemma hält den Simplex; recipe/item gliedert Handlungen; idem/de-eodem/praedictum dienen nur als historische Ellipsenvergleiche.	SEGMENTATION=START_NEW_CLAUSE: F008 kann eine eigenständige Anwendung des Simplex beginnen.; NONMEDICAL=filtrieren [Ganzfeldexemplar H3, Feld 3/4]	.44	ANONYMOUS_REFERENT_EDITORIAL_LAYER;NO_NEW_CARD_MEANING	V60_SELECTED_DECK+V61_SELECTED_116_STATEMENTS>V62_R2
H3-S004	H3	f11r	4	f11r.7	F009	1	4	NEXT_PARALLEL_CELL	RECORD_END	NONE	F009[BEREIT?]	NO	H3:O01	CARRY_RECORD_OWNER	H3:O01	H3:I02	SIMPLEX_OR_PLANT_PART	RESET_TO_NEW_ITEM:PARALLEL_POULTICE_PREPARATION	PARALLEL_POULTICE_PREPARATION	H3:I03	SIMPLEX_DERIVATIVE_OR_PREPARATION	H3:T01	YES	RESET_TO_NEW_TARGET_OR_STATION	H3:T02	H3:I02	NO	NONE	NONE	H3:I02	0	NONE	3	OWNER|ACTIVE_ITEM|TARGET_OR_STATION	[STILL:OWNER=H3:O01;PICTURED_SIMPLEX] [STILL:ACTIVE=H3:I03;SIMPLEX_DERIVATIVE_OR_PREPARATION] [STILL:TARGET=H3:T02;DESTINATION_BODY_SITE_OR_STATION_UNRESOLVED] bereite aus den Blättern einen warmen Umschlag ; lege ihn warm auf ; Sobald die Zubereitung gebrauchsfertig ist ; Diese aktive Portion	bereite aus den Blättern einen warmen Umschlag ; lege ihn warm auf ; Sobald die Zubereitung gebrauchsfertig ist ; Diese aktive Portion	Bildlemma hält den Simplex; recipe/item gliedert Handlungen; idem/de-eodem/praedictum dienen nur als historische Ellipsenvergleiche.	SEGMENTATION=CONTINUE_SAME_CLAUSE: F009 könnte die in F008 nur knapp bezeichnete Auflage ausführen.; NONMEDICAL=getrennt verwahren [Ganzfeldexemplar H3, Feld 4/4]	.36	ANONYMOUS_REFERENT_EDITORIAL_LAYER;NO_NEW_CARD_MEANING	V60_SELECTED_DECK+V61_SELECTED_116_STATEMENTS>V62_R2
H4-S001	H4	f55v	1	f55v.5	F010	1	5	RECORD_START	WITHIN_LOCUS_FIELD_BOUNDARY	NONE	F010[MASS?]	YES	NONE	INTRODUCE_FROM_PICTURE_OR_RECORD_HEADER	H4:O01	NONE	NONE	INTRODUCE_ACTIVE_ITEM	NONE	H4:I01	SIMPLEX_DERIVATIVE_OR_PREPARATION	NONE	NO	UNBOUND	NONE	NONE	NO	NONE	NONE	NONE	0	NONE	2	OWNER|ACTIVE_ITEM	[STILL:OWNER=H4:O01;PICTURED_SIMPLEX] [STILL:ACTIVE=H4:I01;SIMPLEX_DERIVATIVE_OR_PREPARATION] beginne den nächsten abgemessenen Posten ; Ein vorgeschriebenes Maß ; koche das breite Blatt sanft ; in Weißwein ; lasse es ziehen, bis die Flüssigkeit klar ist	beginne den nächsten abgemessenen Posten ; Ein vorgeschriebenes Maß ; koche das breite Blatt sanft ; in Weißwein ; lasse es ziehen, bis die Flüssigkeit klar ist	Bildlemma hält den Simplex; recipe/item gliedert Handlungen; idem/de-eodem/praedictum dienen nur als historische Ellipsenvergleiche.	SEGMENTATION=Ein erstes Feld kann Überschrift oder Rubrik statt Klausel sein.; NONMEDICAL=Blattflotte ansetzen [Ganzfeldexemplar H4, Feld 1/4]	.36	ANONYMOUS_REFERENT_EDITORIAL_LAYER;NO_NEW_CARD_MEANING	V60_SELECTED_DECK+V61_SELECTED_116_STATEMENTS>V62_R2
