record_unit_id	model	weight_contract	assumption_counts	weighted_cost	cost_scope	interpretation	source_lineage
B1	TECHNICAL_WATERWORK	EXEMPLAR=1;LOCAL_PROCESS=1;MEDIUM=1;STATION/TARGET=1;FILTER/RETURN=1;DOMAIN_PURPOSE=2;HUMAN_ROLE/BODY=2	EXEMPLAR_FILL:43|LOCAL_PROCESS:24|MEDIUM:24|STATION_OR_TARGET:6|FILTER_OR_RETURN_MECHANISM:11|DOMAIN_PURPOSE:1|HUMAN_ROLE_OR_BODY:11	132	SUM_OF_115_FIELD_LOCAL_FILLERS;V60_EXACT+V63_FORMAL+V62_REGISTERS_COST_ZERO	SYMMETRIC_DESCRIPTION_LENGTH_PROXY_NOT_PROBABILITY	V65_R3_FIXED_PREOUTPUT_COST_RULE
B1	IATROMEDICAL	EXEMPLAR=1;LOCAL_PROCESS=1;MEDIUM=1;STATION/TARGET=1;FILTER/RETURN=1;DOMAIN_PURPOSE=2;HUMAN_ROLE/BODY=2	EXEMPLAR_FILL:43|LOCAL_PROCESS:24|MEDIUM:24|STATION_OR_TARGET:6|FILTER_OR_RETURN_MECHANISM:8|DOMAIN_PURPOSE:1|HUMAN_ROLE_OR_BODY:11	129	SUM_OF_115_FIELD_LOCAL_FILLERS;V60_EXACT+V63_FORMAL+V62_REGISTERS_COST_ZERO	SYMMETRIC_DESCRIPTION_LENGTH_PROXY_NOT_PROBABILITY	V65_R3_FIXED_PREOUTPUT_COST_RULE
B2	TECHNICAL_WATERWORK	EXEMPLAR=1;LOCAL_PROCESS=1;MEDIUM=1;STATION/TARGET=1;FILTER/RETURN=1;DOMAIN_PURPOSE=2;HUMAN_ROLE/BODY=2	EXEMPLAR_FILL:46|LOCAL_PROCESS:26|MEDIUM:26|STATION_OR_TARGET:5|FILTER_OR_RETURN_MECHANISM:8|DOMAIN_PURPOSE:1|HUMAN_ROLE_OR_BODY:11	135	SUM_OF_115_FIELD_LOCAL_FILLERS;V60_EXACT+V63_FORMAL+V62_REGISTERS_COST_ZERO	SYMMETRIC_DESCRIPTION_LENGTH_PROXY_NOT_PROBABILITY	V65_R3_FIXED_PREOUTPUT_COST_RULE
B2	IATROMEDICAL	EXEMPLAR=1;LOCAL_PROCESS=1;MEDIUM=1;STATION/TARGET=1;FILTER/RETURN=1;DOMAIN_PURPOSE=2;HUMAN_ROLE/BODY=2	EXEMPLAR_FILL:46|LOCAL_PROCESS:26|MEDIUM:26|STATION_OR_TARGET:5|FILTER_OR_RETURN_MECHANISM:5|DOMAIN_PURPOSE:1|HUMAN_ROLE_OR_BODY:11	132	SUM_OF_115_FIELD_LOCAL_FILLERS;V60_EXACT+V63_FORMAL+V62_REGISTERS_COST_ZERO	SYMMETRIC_DESCRIPTION_LENGTH_PROXY_NOT_PROBABILITY	V65_R3_FIXED_PREOUTPUT_COST_RULE
B3	TECHNICAL_WATERWORK	EXEMPLAR=1;LOCAL_PROCESS=1;MEDIUM=1;STATION/TARGET=1;FILTER/RETURN=1;DOMAIN_PURPOSE=2;HUMAN_ROLE/BODY=2	EXEMPLAR_FILL:57|LOCAL_PROCESS:38|MEDIUM:38|STATION_OR_TARGET:7|FILTER_OR_RETURN_MECHANISM:20|DOMAIN_PURPOSE:1|HUMAN_ROLE_OR_BODY:13	188	SUM_OF_115_FIELD_LOCAL_FILLERS;V60_EXACT+V63_FORMAL+V62_REGISTERS_COST_ZERO	SYMMETRIC_DESCRIPTION_LENGTH_PROXY_NOT_PROBABILITY	V65_R3_FIXED_PREOUTPUT_COST_RULE
B3	IATROMEDICAL	EXEMPLAR=1;LOCAL_PROCESS=1;MEDIUM=1;STATION/TARGET=1;FILTER/RETURN=1;DOMAIN_PURPOSE=2;HUMAN_ROLE/BODY=2	EXEMPLAR_FILL:57|LOCAL_PROCESS:38|MEDIUM:38|STATION_OR_TARGET:7|FILTER_OR_RETURN_MECHANISM:16|DOMAIN_PURPOSE:1|HUMAN_ROLE_OR_BODY:13	184	SUM_OF_115_FIELD_LOCAL_FILLERS;V60_EXACT+V63_FORMAL+V62_REGISTERS_COST_ZERO	SYMMETRIC_DESCRIPTION_LENGTH_PROXY_NOT_PROBABILITY	V65_R3_FIXED_PREOUTPUT_COST_RULE
B4	TECHNICAL_WATERWORK	EXEMPLAR=1;LOCAL_PROCESS=1;MEDIUM=1;STATION/TARGET=1;FILTER/RETURN=1;DOMAIN_PURPOSE=2;HUMAN_ROLE/BODY=2	EXEMPLAR_FILL:32|LOCAL_PROCESS:20|MEDIUM:20|STATION_OR_TARGET:4|FILTER_OR_RETURN_MECHANISM:12|DOMAIN_PURPOSE:1|HUMAN_ROLE_OR_BODY:8	106	SUM_OF_115_FIELD_LOCAL_FILLERS;V60_EXACT+V63_FORMAL+V62_REGISTERS_COST_ZERO	SYMMETRIC_DESCRIPTION_LENGTH_PROXY_NOT_PROBABILITY	V65_R3_FIXED_PREOUTPUT_COST_RULE
B4	IATROMEDICAL	EXEMPLAR=1;LOCAL_PROCESS=1;MEDIUM=1;STATION/TARGET=1;FILTER/RETURN=1;DOMAIN_PURPOSE=2;HUMAN_ROLE/BODY=2	EXEMPLAR_FILL:32|LOCAL_PROCESS:20|MEDIUM:20|STATION_OR_TARGET:4|FILTER_OR_RETURN_MECHANISM:9|DOMAIN_PURPOSE:1|HUMAN_ROLE_OR_BODY:8	103	SUM_OF_115_FIELD_LOCAL_FILLERS;V60_EXACT+V63_FORMAL+V62_REGISTERS_COST_ZERO	SYMMETRIC_DESCRIPTION_LENGTH_PROXY_NOT_PROBABILITY	V65_R3_FIXED_PREOUTPUT_COST_RULE
B5	TECHNICAL_WATERWORK	EXEMPLAR=1;LOCAL_PROCESS=1;MEDIUM=1;STATION/TARGET=1;FILTER/RETURN=1;DOMAIN_PURPOSE=2;HUMAN_ROLE/BODY=2	EXEMPLAR_FILL:7|LOCAL_PROCESS:5|MEDIUM:5|STATION_OR_TARGET:2|FILTER_OR_RETURN_MECHANISM:1|DOMAIN_PURPOSE:1	22	SUM_OF_115_FIELD_LOCAL_FILLERS;V60_EXACT+V63_FORMAL+V62_REGISTERS_COST_ZERO	SYMMETRIC_DESCRIPTION_LENGTH_PROXY_NOT_PROBABILITY	V65_R3_FIXED_PREOUTPUT_COST_RULE
B5	IATROMEDICAL	EXEMPLAR=1;LOCAL_PROCESS=1;MEDIUM=1;STATION/TARGET=1;FILTER/RETURN=1;DOMAIN_PURPOSE=2;HUMAN_ROLE/BODY=2	EXEMPLAR_FILL:7|LOCAL_PROCESS:5|MEDIUM:5|STATION_OR_TARGET:2|DOMAIN_PURPOSE:1|HUMAN_ROLE_OR_BODY:1	23	SUM_OF_115_FIELD_LOCAL_FILLERS;V60_EXACT+V63_FORMAL+V62_REGISTERS_COST_ZERO	SYMMETRIC_DESCRIPTION_LENGTH_PROXY_NOT_PROBABILITY	V65_R3_FIXED_PREOUTPUT_COST_RULE
B6	TECHNICAL_WATERWORK	EXEMPLAR=1;LOCAL_PROCESS=1;MEDIUM=1;STATION/TARGET=1;FILTER/RETURN=1;DOMAIN_PURPOSE=2;HUMAN_ROLE/BODY=2	EXEMPLAR_FILL:6|LOCAL_PROCESS:2|MEDIUM:2|STATION_OR_TARGET:1|FILTER_OR_RETURN_MECHANISM:1|DOMAIN_PURPOSE:1	14	SUM_OF_115_FIELD_LOCAL_FILLERS;V60_EXACT+V63_FORMAL+V62_REGISTERS_COST_ZERO	SYMMETRIC_DESCRIPTION_LENGTH_PROXY_NOT_PROBABILITY	V65_R3_FIXED_PREOUTPUT_COST_RULE
B6	IATROMEDICAL	EXEMPLAR=1;LOCAL_PROCESS=1;MEDIUM=1;STATION/TARGET=1;FILTER/RETURN=1;DOMAIN_PURPOSE=2;HUMAN_ROLE/BODY=2	EXEMPLAR_FILL:6|LOCAL_PROCESS:2|MEDIUM:2|STATION_OR_TARGET:1|FILTER_OR_RETURN_MECHANISM:1|DOMAIN_PURPOSE:1|HUMAN_ROLE_OR_BODY:1	16	SUM_OF_115_FIELD_LOCAL_FILLERS;V60_EXACT+V63_FORMAL+V62_REGISTERS_COST_ZERO	SYMMETRIC_DESCRIPTION_LENGTH_PROXY_NOT_PROBABILITY	V65_R3_FIXED_PREOUTPUT_COST_RULE
