event_serial	page	locus	record_id	field_id	statement_id	joint_tuple_id	surface_display_only	event_template	selected_exact_mnemonic	interpretive_layer	complete_default_reading_de	semantic_ceiling
101	f81v	f81v.2	B1	F021	B1-S001	7db18b2f0fb7ed0fcfd3	qokedy	TERMINAL_FLUSH	SPÜLEN?	EXACT_CARD_DEFAULT	den Schritt mit einem Spülvorgang abschließen	CREATIVE_LOCAL_DEFAULT_NOT_CARD_TRANSLATION
102	f81v	f81v.2	B1	F022	B1-S002	b5fcea1eaed06b2f2291	okaiin	PARAMETER_ASSIGN	UNKNOWN	FORMAL_SLOT_EXPANSION	den vorgeschriebenen Wert oder Anteil setzen	CREATIVE_LOCAL_DEFAULT_NOT_CARD_TRANSLATION
103	f81v	f81v.2	B1	F022	B1-S002	22fb87a5a83e5c3fb510	kair	EXEMPLAR_ONLY	UNKNOWN	LOCAL_EXEMPLAR	der zurücklaufende Strom	CREATIVE_LOCAL_DEFAULT_NOT_CARD_TRANSLATION
104	f81v	f81v.2	B1	F022	B1-S002	308e8ea2d5d190c498e8	okal	TARGET_ASSIGN	UNKNOWN	FORMAL_SLOT_EXPANSION	den nächsten Ziel- oder Stationsslot setzen	CREATIVE_LOCAL_DEFAULT_NOT_CARD_TRANSLATION
105	f81v	f81v.2	B1	F022	B1-S002	4d4559019a961b834aa1	sar	EXEMPLAR_ONLY	UNKNOWN	LOCAL_EXEMPLAR	Daraus, aus demselben Ansatz	CREATIVE_LOCAL_DEFAULT_NOT_CARD_TRANSLATION
106	f81v	f81v.2	B1	F022	B1-S002	dcda95c81a5460feb191	ol	LINK_ACTIVE	UNKNOWN	FORMAL_SLOT_EXPANSION	den Posten mit dem aktiven Arbeitsstand verbinden	CREATIVE_LOCAL_DEFAULT_NOT_CARD_TRANSLATION
107	f81v	f81v.2	B1	F022	B1-S002	9da1b6ac2c929daea697	kain	EXEMPLAR_ONLY	UNKNOWN	LOCAL_EXEMPLAR	ein abgemessener Anteil	CREATIVE_LOCAL_DEFAULT_NOT_CARD_TRANSLATION
108	f81v	f81v.2	B1	F022	B1-S002	94df4847b7b16c98394a	olkain	EXEMPLAR_ONLY	UNKNOWN	LOCAL_EXEMPLAR	das untere Becken	CREATIVE_LOCAL_DEFAULT_NOT_CARD_TRANSLATION
109	f81v	f81v.2	B1	F022	B1-S002	dd0ecaf5e27d81befffc	al	TARGET_ASSIGN	ZIEL?	EXACT_CARD_DEFAULT	den nächsten Ziel- oder Stationsslot setzen	CREATIVE_LOCAL_DEFAULT_NOT_CARD_TRANSLATION
110	f81v	f81v.2	B1	F022	B1-S002	dcda95c81a5460feb191	ol	LINK_ACTIVE	UNKNOWN	FORMAL_SLOT_EXPANSION	den Posten mit dem aktiven Arbeitsstand verbinden	CREATIVE_LOCAL_DEFAULT_NOT_CARD_TRANSLATION
111	f81v	f81v.2	B1	F022	B1-S002	1496a731803a9f48d2e1	rol	EXEMPLAR_ONLY	UNKNOWN	LOCAL_EXEMPLAR	bevor es abkühlt	CREATIVE_LOCAL_DEFAULT_NOT_CARD_TRANSLATION
112	f81v	f81v.2	B1	F022	B1-S002	0f18de177ed7c878bf95	dl	EXEMPLAR_ONLY	UNKNOWN	LOCAL_EXEMPLAR	das bereitete Öl	CREATIVE_LOCAL_DEFAULT_NOT_CARD_TRANSLATION
