local_group_id	diagram_id	page	source_locus	locus_ordinal_editorial	group_index_within_locus	surface_display_only	instrument_component	technical_group_role	local_lookup_address	concrete_technical_function_German	medical_election_comparator_local_only	orientation_contract	crosspage_contract	semantic_status	source_lineage
A1:G001	A1	f67r2	f67r2.1	1	1	ykshy	COLUMN_12	COLUMN_KEY	A1:C01:G01	Termin-/Sektorspalte C01 wählen; Fragment 01 als opaken Merker bewahren	Aries: protect the head and face; avoid invasive treatment there	SOURCE_LOCUS_PRESERVED;NO_IMPLICIT_START_OR_DIRECTION	PAGE_LOCAL_ID_ONLY;NO_F68_F69_JOIN;NO_PROSE_TUPLE	LOCAL_FUNCTION_EXEMPLAR_NOT_WORD_MEANING	GUARDED_V22_ASTRO_ROW>V55_SELECTED_INSTRUMENT>V66_R3_LOCAL_GROUP
A1:G002	A1	f67r2	f67r2.1	1	2	s	COLUMN_12	COLUMN_DESCRIPTOR_FRAGMENT	A1:C01:G02	Termin-/Sektorspalte C01 wählen; Fragment 02 als opaken Merker bewahren	its ruling quality	SOURCE_LOCUS_PRESERVED;NO_IMPLICIT_START_OR_DIRECTION	PAGE_LOCAL_ID_ONLY;NO_F68_F69_JOIN;NO_PROSE_TUPLE	LOCAL_FUNCTION_EXEMPLAR_NOT_WORD_MEANING	GUARDED_V22_ASTRO_ROW>V55_SELECTED_INSTRUMENT>V66_R3_LOCAL_GROUP
A1:G003	A1	f67r2	f67r2.1	1	3	aram	COLUMN_12	COLUMN_DESCRIPTOR_FRAGMENT	A1:C01:G03	Termin-/Sektorspalte C01 wählen; Fragment 03 als opaken Merker bewahren	its application rule	SOURCE_LOCUS_PRESERVED;NO_IMPLICIT_START_OR_DIRECTION	PAGE_LOCAL_ID_ONLY;NO_F68_F69_JOIN;NO_PROSE_TUPLE	LOCAL_FUNCTION_EXEMPLAR_NOT_WORD_MEANING	GUARDED_V22_ASTRO_ROW>V55_SELECTED_INSTRUMENT>V66_R3_LOCAL_GROUP
A1:G004	A1	f67r2	f67r2.2	2	1	ykecho	COLUMN_12	COLUMN_KEY	A1:C02:G01	Termin-/Sektorspalte C02 wählen; Fragment 01 als opaken Merker bewahren	Taurus: protect the neck and throat; avoid invasive treatment there	SOURCE_LOCUS_PRESERVED;NO_IMPLICIT_START_OR_DIRECTION	PAGE_LOCAL_ID_ONLY;NO_F68_F69_JOIN;NO_PROSE_TUPLE	LOCAL_FUNCTION_EXEMPLAR_NOT_WORD_MEANING	GUARDED_V22_ASTRO_ROW>V55_SELECTED_INSTRUMENT>V66_R3_LOCAL_GROUP
A1:G005	A1	f67r2	f67r2.2	2	2	ols	COLUMN_12	COLUMN_DESCRIPTOR_FRAGMENT	A1:C02:G02	Termin-/Sektorspalte C02 wählen; Fragment 02 als opaken Merker bewahren	its ruling quality	SOURCE_LOCUS_PRESERVED;NO_IMPLICIT_START_OR_DIRECTION	PAGE_LOCAL_ID_ONLY;NO_F68_F69_JOIN;NO_PROSE_TUPLE	LOCAL_FUNCTION_EXEMPLAR_NOT_WORD_MEANING	GUARDED_V22_ASTRO_ROW>V55_SELECTED_INSTRUMENT>V66_R3_LOCAL_GROUP
A1:G006	A1	f67r2	f67r2.2	2	3	eesydy	COLUMN_12	COLUMN_DESCRIPTOR_FRAGMENT	A1:C02:G03	Termin-/Sektorspalte C02 wählen; Fragment 03 als opaken Merker bewahren	its application rule	SOURCE_LOCUS_PRESERVED;NO_IMPLICIT_START_OR_DIRECTION	PAGE_LOCAL_ID_ONLY;NO_F68_F69_JOIN;NO_PROSE_TUPLE	LOCAL_FUNCTION_EXEMPLAR_NOT_WORD_MEANING	GUARDED_V22_ASTRO_ROW>V55_SELECTED_INSTRUMENT>V66_R3_LOCAL_GROUP
A1:G007	A1	f67r2	f67r2.3	3	1	ey	COLUMN_12	COLUMN_KEY	A1:C03:G01	Termin-/Sektorspalte C03 wählen; Fragment 01 als opaken Merker bewahren	Gemini: protect the shoulders, arms and hands; avoid invasive treatment there	SOURCE_LOCUS_PRESERVED;NO_IMPLICIT_START_OR_DIRECTION	PAGE_LOCAL_ID_ONLY;NO_F68_F69_JOIN;NO_PROSE_TUPLE	LOCAL_FUNCTION_EXEMPLAR_NOT_WORD_MEANING	GUARDED_V22_ASTRO_ROW>V55_SELECTED_INSTRUMENT>V66_R3_LOCAL_GROUP
A1:G008	A1	f67r2	f67r2.3	3	2	shs	COLUMN_12	COLUMN_DESCRIPTOR_FRAGMENT	A1:C03:G02	Termin-/Sektorspalte C03 wählen; Fragment 02 als opaken Merker bewahren	its ruling quality	SOURCE_LOCUS_PRESERVED;NO_IMPLICIT_START_OR_DIRECTION	PAGE_LOCAL_ID_ONLY;NO_F68_F69_JOIN;NO_PROSE_TUPLE	LOCAL_FUNCTION_EXEMPLAR_NOT_WORD_MEANING	GUARDED_V22_ASTRO_ROW>V55_SELECTED_INSTRUMENT>V66_R3_LOCAL_GROUP
A1:G009	A1	f67r2	f67r2.3	3	3	okar	COLUMN_12	COLUMN_DESCRIPTOR_FRAGMENT	A1:C03:G03	Termin-/Sektorspalte C03 wählen; Fragment 03 als opaken Merker bewahren	its application rule	SOURCE_LOCUS_PRESERVED;NO_IMPLICIT_START_OR_DIRECTION	PAGE_LOCAL_ID_ONLY;NO_F68_F69_JOIN;NO_PROSE_TUPLE	LOCAL_FUNCTION_EXEMPLAR_NOT_WORD_MEANING	GUARDED_V22_ASTRO_ROW>V55_SELECTED_INSTRUMENT>V66_R3_LOCAL_GROUP
A1:G010	A1	f67r2	f67r2.4	4	1	shekchy	COLUMN_12	COLUMN_KEY	A1:C04:G01	Termin-/Sektorspalte C04 wählen; Fragment 01 als opaken Merker bewahren	Cancer: protect the chest and breast; avoid invasive treatment there	SOURCE_LOCUS_PRESERVED;NO_IMPLICIT_START_OR_DIRECTION	PAGE_LOCAL_ID_ONLY;NO_F68_F69_JOIN;NO_PROSE_TUPLE	LOCAL_FUNCTION_EXEMPLAR_NOT_WORD_MEANING	GUARDED_V22_ASTRO_ROW>V55_SELECTED_INSTRUMENT>V66_R3_LOCAL_GROUP
