page	section	inspection_filename	width	height	sha256
f10r	HERBAL	f10r.jpg	1600	2223	d2b4f7f1ba78cc2b2712ad9ac51b13260af0227164c19b7b63a0808f3dcc3951
f11r	HERBAL	f11r.jpg	1600	2242	dea9c2e170656f415c8fe5055cffdeb8220ccf46082c84968e1368e63c0aca51
f55v	HERBAL	f55v.jpg	1600	2024	3d2a930da0504af0393ee3c19e279291efd3382512656e64371b18fe29210432
f56r	HERBAL	f56r.jpg	1600	2124	d1bda13a2d5d9fe935baa1dff136149d3cccf025ca25bc05b93e61d0a4ce352c
f81v	BIOLOGICAL	f81v.jpg	1600	2091	5065b13388c0307510ce5c27bc6df76996791e6fc51a705a5b0a6be228a88d44
f82r	BIOLOGICAL	f82r.jpg	1600	2177	81bd1aa1addeedd6b08411ec05105f45d6ba6b9f59ea39ff95cf2fd89cf49d6c
f83r	BIOLOGICAL	f83r.jpg	1600	2177	3d5b04d796f247d140930949cd080f57164c94920134012adf8811112bcd55e9
f67r2	ASTRO	f67r2.jpg	1600	1203	099ded767a3f8a3472e675dcaa2b609ab2d6842d62813a94159fc1dc20f023f3
f68r1	ASTRO	f68r1.jpg	1600	766	68fa16bc16ffdbe233279bf8511466617090c91f42e1bf81c01513cefebd11d5
f69v	ASTRO	f69v.jpg	1600	698	e7e21451aac6f5baa11e2e6d578976de66b5fd68ad533dfa53ed886be7878f4a
