event_serial	event_id	section	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	surface_display_only	image_owner_id	owner_break_before	owner_reset	literal_visible_layer	autonomous_primary_token	optional_questioned_master_gloss	occurrence_bound_exemplar	source_token_count	read_action	line_crossing	terminal_status	source_class	source_expansion_confidence	strongest_rival	strongest_contradiction	semantic_ceiling	source_lineage
1	E001	HERBAL	H1	f10r	f10r.2	F001	H1-S001	65f320e75510b2f38182	dchey	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	RECORD_START	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:65f320e75510b2f38182; SURFACE:dchey]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.36	Technischer Pflanzenmaterial-Rivale: Bildbesitzer H1 als Rohstofflos dem lokalen Posten eröffnen.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Wurzelteil.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
2	E002	HERBAL	H1	f10r	f10r.2	F001	H1-S001	dedc383b600397a301ee	cthoor	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:dedc383b600397a301ee; SURFACE:cthoor]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Säubere ihn]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.32	Technischer Pflanzenmaterial-Rivale: unteren Wurzelstock als sichtbaren Pflanzenteil wählen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Reinigung.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
3	E003	HERBAL	H1	f10r	f10r.2	F001	H1-S001	4d4559019a961b834aa1	char	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:4d4559019a961b834aa1; SURFACE:char]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Führe ihn als denselben Arbeitsansatz weiter]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.34	Technischer Pflanzenmaterial-Rivale: Erde und Fremdstoff mit Wasser abwaschen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
4	E004	HERBAL	H1	f10r	f10r.2	F001	H1-S001	80ebbbbf238eee9f0aef	chty	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:80ebbbbf238eee9f0aef; SURFACE:chty]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Zerschneide ihn]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.32	Technischer Pflanzenmaterial-Rivale: beschädigte Fasern aussortieren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Zerschneiden.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
5	E005	HERBAL	H1	f10r	f10r.2	F001	H1-S001	df1098831679a8ad1b39	os	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:df1098831679a8ad1b39; SURFACE:os]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Gib die Stücke in ein Gefäß]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.25	Technischer Pflanzenmaterial-Rivale: sauberen Wurzelstock grob schneiden.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gefäß.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
6	E006	HERBAL	H1	f10r	f10r.2	F001	H1-S001	12efe866f335461823a6	chair	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:12efe866f335461823a6; SURFACE:chair]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Gieße Quellwasser darüber]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.24	Technischer Pflanzenmaterial-Rivale: Schnittgut im Mazeriergefäß mit Wasser bedecken.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Quellwasser.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
7	E007	HERBAL	H1	f10r	f10r.2	F001	H1-S001	62ff059766b21c7de083	otytchol	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:62ff059766b21c7de083; SURFACE:otytchol]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Fange den ersten Auszug in einem Glas auf]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.29	Technischer Pflanzenmaterial-Rivale: Auszug umrühren und eine Prüfportion abnehmen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug, Glas.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
8	E008	HERBAL	H1	f10r	f10r.2	F001	H1-S001	276a7c2d74d1143446f4	oky	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:276a7c2d74d1143446f4; SURFACE:oky]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Gebrauche diesen Auszug innerlich]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.46	Technischer Pflanzenmaterial-Rivale: aktive Prüfportion=dem lokalen Posten; Arbeitsziel=Musterstreifen dem lokalen Posten.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug, innerlicher Gebrauch.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
9	E009	HERBAL	H1	f10r	f10r.2	F001	H1-S001	2f1c5e56e8f0ff459065	daiin	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:2f1c5e56e8f0ff459065; SURFACE:daiin]	[FORMAL:FORMAL_PARAMETER_CHANNEL; KEIN WORT]	NONE	[EXEMPLAR:Nimm davon das örtlich vorgeschriebene kleine Maß]	1	READ_FORMAL_CHANNEL	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.46	Technischer Pflanzenmaterial-Rivale: Sollwert für die Prüfportion in das Losregister eintragen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
10	E010	HERBAL	H1	f10r	f10r.2	F001	H1-S001	a6939862e33ece5a0483	etyd	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:a6939862e33ece5a0483; SURFACE:etyd]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.18	Technischer Pflanzenmaterial-Rivale: trockenen Rest als dem lokalen Posten verwahren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Leibschmerz, Vorratsgefäß.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
