shared_process	order	total_bits	bits_per_symbol	gap_vs_source_winner_bits	key_bits	structure_bits	payload_bits	fixed_bits	decoder_hash	cpu_exact
True	0	1028810.3196826935	5.29430394435424	436770.05381260475	8.0	128251.12667078112	750756.5801073527	149794.61290455973	ac87e340a82ed2ad5e3657c34988480456d1e4691b7de9cd4be6949011f2075b	True
True	1	731113.0399534655	3.7623404209128335	139072.77408337675	10.0	128251.12667078112	453057.3003781246	149794.61290455973	4604769f0a10b5bbfe4fed986ac58a5a9f0c1db67fc09d36a765c0ac2da11f1b	True
True	2	695575.4505711397	3.5794623956440774	103535.18470105098	10.0	128251.12667078112	417519.7109957989	149794.61290455973	af1993f5290922cd3dc1b1334cd59a7c62edc3470461a04a5124c0d70679ae13	True
True	3	705454.2265308801	3.6302990188081763	113413.96066079137	12.0	128251.12667078112	427396.4869555392	149794.61290455973	81ded05b41afaf3d6899b406985545564e13ddb5ab2e92f8d6b623402424c0df	True
True	4	722690.3037380071	3.7189966434305957	130650.03786791838	12.0	128251.12667078112	444632.56416266627	149794.61290455973	c8556ea111eea703016be9809f62541865ce85915962ec0f1f841c87130ec0d1	True
True	5	738128.0955022665	3.798440210690736	146087.82963217783	12.0	128251.12667078112	460070.3559269257	149794.61290455973	db1def93a60fb9bb3aed33285c70acaef5da1932b382838b78cbd65bef59c9d8	True
False	0	1024876.8080941957	5.2740619176951675	432836.54222410696	10.0	128251.12667078112	746821.0685188549	149794.61290455973	1f587c71541f8659b900c5a72f387874ebefd095a865697a4025203067071d4b	True
False	1	724659.6890351664	3.72913118829978	132619.4231650777	12.0	128251.12667078112	446601.94945982564	149794.61290455973	1f5a061b88de53c4ef8b3da1723826400537b385516735d67d7694d1e71454a9	True
False	2	697109.488239152	3.5873566221318622	105069.2223690633	12.0	128251.12667078112	419051.74866381113	149794.61290455973	362a68d06715bd86308231dac14c6d5a8f42d25161926fd7104ec9113a101b1e	True
False	3	715202.3913055918	3.680463510969267	123162.12543550308	14.0	128251.12667078112	437142.651730251	149794.61290455973	992651abe263e74970d5fb732fd5492accdecd33d759e80137643db5500067e3	True
False	4	737164.4286056372	3.7934811377165825	145124.16273554845	14.0	128251.12667078112	459104.6890302963	149794.61290455973	45ed3e61ddc065f7d4d81ca6bd9cade644fa9c08d8e5b82963d9785801bda2d7	True
False	5	753209.6516364625	3.876050573457023	161169.38576637383	14.0	128251.12667078112	475149.91206112166	149794.61290455973	92639c32b0f8de2d59788d9c6772ad577a876c605160773f4155a6570bd2a3d9	True
