evidence_class	holdout_role	semantic_role	coverage_state	consensus_group_id	locus	page	grammar_scope	code	kind	group_index	group_count	factual_position	family_surface	zl_sta_codes	it_sta_codes	rf_sta_codes	left_boundary_profile	left_boundary_support	right_boundary_profile	right_boundary_support	descriptive_only_full_corpus_tags_excluded
FORMAL_STRUCTURE	DISCOVERY	UNASSIGNED	NO_EXACT_FAMILY_CONSENSUS		f80r.1	f80r	DIAGNOSTIC_NONPROSE	@Ln	L												exact_first_last;exact_edge_core;opening;closing;transition;favored_path
FORMAL_STRUCTURE	DISCOVERY	UNASSIGNED	STRICT_EXACT_FAMILY	f80r.2|C001	f80r.2	f80r	DIAGNOSTIC_NONPROSE	=Ln	L	1	1	SINGLE	ABKBA	A1 B2 K1 B1 A2	A1 B2 K1 B1 A2	A1 B2 K1 Ba A2	LINE_START	3	LINE_END	3	exact_first_last;exact_edge_core;opening;closing;transition;favored_path
FORMAL_STRUCTURE	DISCOVERY	UNASSIGNED	STRICT_EXACT_FAMILY	f80r.3|C001	f80r.3	f80r	DIAGNOSTIC_NONPROSE	=Ln	L	1	1	SINGLE	AQABA	A1 Q1 A3 B2 A2	A1 Q1 A3 B2 A2	A1 Q1 A3 B2 A2	LINE_START	3	LINE_END	3	exact_first_last;exact_edge_core;opening;closing;transition;favored_path
FORMAL_STRUCTURE	DISCOVERY	UNASSIGNED	STRICT_EXACT_FAMILY	f80r.4|C001	f80r.4	f80r	DIAGNOSTIC_NONPROSE	=Ln	L	1	1	SINGLE	AQABA	A1 Q1 A1 B2 A1	A1 Q1 A1 B2 A1	A1 Q1 A1 B2 A1	LINE_START	3	LINE_END	3	exact_first_last;exact_edge_core;opening;closing;transition;favored_path
FORMAL_STRUCTURE	DISCOVERY	UNASSIGNED	STRICT_EXACT_FAMILY	f80r.5|C001	f80r.5	f80r	DIAGNOSTIC_NONPROSE	=Ln	L	1	1	SINGLE	AQACA	A1 Q1 A3 C1 A2	A1 Q1 A1 C1 A2	A1 Q1 A1 C1 A2	LINE_START	3	LINE_END	3	exact_first_last;exact_edge_core;opening;closing;transition;favored_path
FORMAL_STRUCTURE	DISCOVERY	UNASSIGNED	STRICT_EXACT_FAMILY	f80r.6|C001	f80r.6	f80r	DIAGNOSTIC_NONPROSE	=Ln	L	1	1	SINGLE	APAC	A1 P1 A1 C1	A1 P1 A1 C1	A1 P1 A1 C1	LINE_START	3	LINE_END	3	exact_first_last;exact_edge_core;opening;closing;transition;favored_path
FORMAL_STRUCTURE	DISCOVERY	UNASSIGNED	STRICT_EXACT_FAMILY	f80r.7|C001	f80r.7	f80r	DIAGNOSTIC_NONPROSE	~Ln	L	1	1	SINGLE	ABQA	A1 B2 Q1 A2	A1 B2 Q1 A2	A1 B2 Q1 A2	LINE_START	3	LINE_END	3	exact_first_last;exact_edge_core;opening;closing;transition;favored_path
FORMAL_STRUCTURE	DISCOVERY	UNASSIGNED	STRICT_EXACT_FAMILY	f80r.8|C001	f80r.8	f80r	DIAGNOSTIC_NONPROSE	=Ln	L	1	1	SINGLE	AQABLJBA	A1 Q2 A3 B2 L1 J1 B1 A2	A1 Q2 A3 B2 L1 J1 B1 A2	A1 Q2 A3 B2 L1 J1 B1 A2	LINE_START	3	LINE_END	3	exact_first_last;exact_edge_core;opening;closing;transition;favored_path
FORMAL_STRUCTURE	DISCOVERY	UNASSIGNED	STRICT_EXACT_FAMILY	f80r.9|C001	f80r.9	f80r	DIAGNOSTIC_NONPROSE	~Ln	L	1	1	SINGLE	AQAC	A1 Q1 A3 C1	A1 Q1 A3 C1	Aa Q1 A3 C1	LINE_START	3	LINE_END	3	exact_first_last;exact_edge_core;opening;closing;transition;favored_path
FORMAL_STRUCTURE	DISCOVERY	UNASSIGNED	NO_EXACT_FAMILY_CONSENSUS		f80r.10	f80r	DIAGNOSTIC_NONPROSE	+Ln	L												exact_first_last;exact_edge_core;opening;closing;transition;favored_path
