state	line_start_count	line_start_fraction	post_dy_count	post_dy_fraction	non_dy_internal_count	non_dy_internal_fraction
AL_STATE	89	0.036017806556	130	0.055460750853	689	0.063932448733
AR_REFERENCE	160	0.064751112910	136	0.058020477816	708	0.065695462559
CARRIER_STATE	187	0.075677863213	270	0.115187713311	2124	0.197086387677
DY_RESOLUTION	357	0.144475920680	737	0.314419795222	1573	0.145958986731
ED_MEDIUM	45	0.018211250506	55	0.023464163823	87	0.008072747518
ENTRY_STATE	510	0.206394172400	88	0.037542662116	827	0.076737496520
OL_STATE	356	0.144071226224	210	0.089590443686	1418	0.131576505521
OTHER	532	0.215297450425	290	0.123720136519	2341	0.217221861371
OT_AL_LOCAL	3	0.001214083367	23	0.009812286689	78	0.007237635706
OT_AR_LOCAL	1	0.000404694456	28	0.011945392491	79	0.007330425907
OT_OL_LOCAL	11	0.004451639013	18	0.007679180887	53	0.004917880672
O_AL_LOCAL	2	0.000809388911	0	0.000000000000	3	0.000278370604
O_AR_LOCAL	6	0.002428166734	4	0.001706484642	6	0.000556741208
O_OL_LOCAL	0	0.000000000000	1	0.000426621160	2	0.000185580403
Q_OUTER_STATE	212	0.085795224605	354	0.151023890785	789	0.073211468869
