locus	physical_folio	register	side	token	wrapper	residual_host	base	suffix
f13v.1	f13	HA	CONTROL	koair	NONE	koair	ko	air
f18r.12	f18	HA	CONTROL	ychair	NONE	ychair	ych	air
f3r.14	f3	HA	CONTROL	qodair	q	odair	od	air
f44r.3	f44	HA	CONTROL	oair	NONE	oair	o	air
f45r.10	f45	HA	CONTROL	kair	NONE	kair	k	air
f52r.1	f52	HA	CONTROL	ytair	NONE	ytair	yt	air
f52r.5	f52	HA	CONTROL	ykair	NONE	ykair	yk	air
f76v.16	f76	OB	CONTROL	otedair	NONE	otedair	oted	air
f79v.28	f79	OB	CONTROL	olkair	NONE	olkair	olk	air
f80r.20	f80	OB	CONTROL	qokair	q	okair	ok	air
f80r.26	f80	OB	CONTROL	otair	NONE	otair	ot	air
f81v.2	f81	OB	CONTROL	kair	NONE	kair	k	air
f82v.28	f82	OB	CONTROL	olkair	NONE	olkair	olk	air
f83r.11	f83	OB	CONTROL	okair	NONE	okair	ok	air
f85r1.22	f85	OB	CONTROL	ydair	NONE	ydair	yd	air
f85r1.3	f85	OB	CONTROL	ykdair	NONE	ykdair	ykd	air
f86v3.20	f86	OB	CONTROL	lshodair	NONE	lshodair	lshod	air
f86v5.35	f86	OB	CONTROL	ytair	NONE	ytair	yt	air
f86v6.18	f86	OB	CONTROL	ytair	NONE	ytair	yt	air
f31r.15	f31	HB	TARGET	yshedair	NONE	yshedair	yshed	air
f40v.18	f40	HB	TARGET	okair	NONE	okair	ok	air
f40v.19	f40	HB	TARGET	ofair	NONE	ofair	of	air
f50v.8	f50	HB	TARGET	okair	NONE	okair	ok	air
f55r.2	f55	HB	TARGET	okair	NONE	okair	ok	air
f55r.2	f55	HB	TARGET	ykair	NONE	ykair	yk	air
f55v.6	f55	HB	TARGET	ykair	NONE	ykair	yk	air
f94v.9	f94	HB	TARGET	ypchdair	NONE	ypchdair	ypchd	air
f104r.11	f104	SB	TARGET	qokair	q	okair	ok	air
f104r.19	f104	SB	TARGET	opair	NONE	opair	op	air
f104r.39	f104	SB	TARGET	qotair	q	otair	ot	air
f104r.40	f104	SB	TARGET	oair	NONE	oair	o	air
f104r.44	f104	SB	TARGET	olkair	NONE	olkair	olk	air
f104r.5	f104	SB	TARGET	pchdair	NONE	pchdair	pchd	air
f105r.33	f105	SB	TARGET	okeeodair	NONE	okeeodair	okeeod	air
f105r.35	f105	SB	TARGET	qokair	q	okair	ok	air
f105v.1	f105	SB	TARGET	oair	NONE	oair	o	air
f105v.12	f105	SB	TARGET	alkair	NONE	alkair	alk	air
f105v.13	f105	SB	TARGET	kair	NONE	kair	k	air
f105v.16	f105	SB	TARGET	okair	NONE	okair	ok	air
f105v.18	f105	SB	TARGET	opair	NONE	opair	op	air
f105v.18	f105	SB	TARGET	orair	NONE	orair	or	air
f105v.2	f105	SB	TARGET	oteodair	NONE	oteodair	oteod	air
f105v.20	f105	SB	TARGET	otair	NONE	otair	ot	air
f105v.20	f105	SB	TARGET	porair	NONE	porair	por	air
f105v.3	f105	SB	TARGET	okair	NONE	okair	ok	air
f105v.30	f105	SB	TARGET	otair	NONE	otair	ot	air
f105v.30	f105	SB	TARGET	otair	NONE	otair	ot	air
f105v.36	f105	SB	TARGET	otair	NONE	otair	ot	air
f105v.7	f105	SB	TARGET	otair	NONE	otair	ot	air
f106r.10	f106	SB	TARGET	pshoair	NONE	pshoair	psho	air
f106r.33	f106	SB	TARGET	akair	NONE	akair	ak	air
f106r.44	f106	SB	TARGET	otair	NONE	otair	ot	air
f107r.40	f107	SB	TARGET	otair	NONE	otair	ot	air
f107v.16	f107	SB	TARGET	parair	NONE	parair	par	air
f107v.8	f107	SB	TARGET	qokair	q	okair	ok	air
f108r.17	f108	SB	TARGET	fcheokair	NONE	fcheokair	fcheok	air
f111r.12	f111	SB	TARGET	oteolair	NONE	oteolair	oteol	air
f111v.1	f111	SB	TARGET	opcheodair	NONE	opcheodair	opcheod	air
f111v.2	f111	SB	TARGET	qokair	q	okair	ok	air
f112r.1	f112	SB	TARGET	ykair	NONE	ykair	yk	air
f112r.5	f112	SB	TARGET	otair	NONE	otair	ot	air
f113v.37	f113	SB	TARGET	qokair	q	okair	ok	air
f114r.12	f114	SB	TARGET	lair	NONE	lair	l	air
f114r.12	f114	SB	TARGET	otchedair	NONE	otchedair	otched	air
f114r.14	f114	SB	TARGET	qodair	q	odair	od	air
f114r.15	f114	SB	TARGET	otair	NONE	otair	ot	air
f114r.19	f114	SB	TARGET	opair	NONE	opair	op	air
f114r.4	f114	SB	TARGET	podair	NONE	podair	pod	air
f114r.42	f114	SB	TARGET	poedair	NONE	poedair	poed	air
f114v.29	f114	SB	TARGET	pchdair	NONE	pchdair	pchd	air
f114v.35	f114	SB	TARGET	kair	NONE	kair	k	air
f115r.8	f115	SB	TARGET	orair	NONE	orair	or	air
f115v.13	f115	SB	TARGET	orair	NONE	orair	or	air
