base_host	base_n	o_n	ot_n	shared_pages_base_ot	base_to_ot_effect	claim_state
aiin	746	27	129	57	0.162870107560	HELD_FROM_AR_AL_OL_DISCOVERY
aiir	7	2	1	0		HELD_FROM_AR_AL_OL_DISCOVERY
ain	184	9	87	31	0.297784263595	HELD_FROM_AR_AL_OL_DISCOVERY
air	78	3	12	5	0.035586286111	HELD_FROM_AR_AL_OL_DISCOVERY
am	55	1	30	10	-0.069517873773	HELD_FROM_AR_AL_OL_DISCOVERY
chaiin	4	2	3	0		HELD_FROM_AR_AL_OL_DISCOVERY
char	5	1	6	0		HELD_FROM_AR_AL_OL_DISCOVERY
che	47	4	29	11	0.398307730505	HELD_FROM_AR_AL_OL_DISCOVERY
chedain	1	1	1	0		HELD_FROM_AR_AL_OL_DISCOVERY
chee	3	1	3	1	0.454545454545	HELD_FROM_AR_AL_OL_DISCOVERY
cheey	11	2	1	0		HELD_FROM_AR_AL_OL_DISCOVERY
cheo	7	1	3	0		HELD_FROM_AR_AL_OL_DISCOVERY
cheodaiin	2	1	1	0		HELD_FROM_AR_AL_OL_DISCOVERY
cheor	5	2	1	0		HELD_FROM_AR_AL_OL_DISCOVERY
chey	20	8	31	5	-0.016843033510	HELD_FROM_AR_AL_OL_DISCOVERY
cho	12	3	13	1	-0.400000000000	HELD_FROM_AR_AL_OL_DISCOVERY
chod	1	1	3	0		HELD_FROM_AR_AL_OL_DISCOVERY
chol	27	3	24	2	0.053571428571	HELD_FROM_AR_AL_OL_DISCOVERY
chor	33	6	19	4	0.164835164835	HELD_FROM_AR_AL_OL_DISCOVERY
chy	27	4	68	13	-0.266626005241	HELD_FROM_AR_AL_OL_DISCOVERY
dal	22	21	1	0		HELD_FROM_AR_AL_OL_DISCOVERY
e	289	3	107	44	0.049072876023	HELD_FROM_AR_AL_OL_DISCOVERY
ear	10	2	1	0		HELD_FROM_AR_AL_OL_DISCOVERY
edaiin	9	2	2	1	0.525000000000	HELD_FROM_AR_AL_OL_DISCOVERY
ee	60	15	94	25	0.059777126266	HELD_FROM_AR_AL_OL_DISCOVERY
eeal	2	1	1	0		HELD_FROM_AR_AL_OL_DISCOVERY
eee	4	3	3	1	0.214285714286	HELD_FROM_AR_AL_OL_DISCOVERY
eees	6	4	3	0		HELD_FROM_AR_AL_OL_DISCOVERY
eeey	6	4	6	1	-0.694444444444	HELD_FROM_AR_AL_OL_DISCOVERY
eeo	7	3	10	0		HELD_FROM_AR_AL_OL_DISCOVERY
eeol	9	2	4	1	-0.400000000000	HELD_FROM_AR_AL_OL_DISCOVERY
eeor	1	1	2	0		HELD_FROM_AR_AL_OL_DISCOVERY
eeos	2	1	2	0		HELD_FROM_AR_AL_OL_DISCOVERY
ees	4	6	5	1	-0.600000000000	HELD_FROM_AR_AL_OL_DISCOVERY
eey	87	10	75	22	0.079540745662	HELD_FROM_AR_AL_OL_DISCOVERY
eol	74	1	16	4	-0.053893178893	HELD_FROM_AR_AL_OL_DISCOVERY
eor	28	1	5	0		HELD_FROM_AR_AL_OL_DISCOVERY
es	20	1	3	2	-0.205122655123	HELD_FROM_AR_AL_OL_DISCOVERY
l	51	827	1	0		HELD_FROM_AR_AL_OL_DISCOVERY
laiin	6	27	1	0		HELD_FROM_AR_AL_OL_DISCOVERY
or	422	4	28	24	-0.012168224604	HELD_FROM_AR_AL_OL_DISCOVERY
os	37	2	1	1	-0.245454545455	HELD_FROM_AR_AL_OL_DISCOVERY
sh	3	1	3	0		HELD_FROM_AR_AL_OL_DISCOVERY
she	33	2	8	4	0.408857808858	HELD_FROM_AR_AL_OL_DISCOVERY
sheo	2	3	1	0		HELD_FROM_AR_AL_OL_DISCOVERY
shey	14	3	6	2	0.464285714286	HELD_FROM_AR_AL_OL_DISCOVERY
shor	12	1	1	0		HELD_FROM_AR_AL_OL_DISCOVERY
shy	6	4	5	1	-0.288888888889	HELD_FROM_AR_AL_OL_DISCOVERY
y	415	13	116	55	0.108725563959	HELD_FROM_AR_AL_OL_DISCOVERY
