dimension	held_host	row_neighbor_same_base	column_neighbor_same_terminal	diagonal	held_occurrences	factor_bits	neighbor_mixture_bits	pooled_bits	same_base_bits	factor_gain_vs_pool	factor_gain_vs_neighbor_mixture	same_base_gain_vs_pool
WRAPPER	ok	ot	yk	yt	847	1085.41694771	1650.71964526	1405.33643457	1279.66571811	319.919486856	565.302697546	125.670716462
WRAPPER	ot	ok	yt	yk	432	521.94690647	538.581435692	579.371153113	618.699911825	57.4242466429	16.6345292223	-39.328758712
WRAPPER	yk	yt	ok	ot	56	43.335963723	65.3991560746	97.3186990764	41.3888771595	53.9827353534	22.0631923516	55.9298219169
WRAPPER	yt	yk	ot	ok	55	16.8135460533	33.5003432741	74.5061551609	21.3790643285	57.6926091076	16.6867972208	53.1270908324
RIGHT_FAMILY	ok	ot	yk	yt	847	2291.11577158	1929.32144007	1835.74929869	1826.76055741	-455.366472899	-361.794331517	8.98874127233
RIGHT_FAMILY	ot	ok	yt	yk	432	1174.13254437	971.144907609	971.933482471	976.211862874	-202.1990619	-202.987636762	-4.27838040251
RIGHT_FAMILY	yk	yt	ok	ot	56	135.125644386	131.450580266	134.489443242	127.945935265	-0.63620114392	-3.67506412052	6.54350797734
RIGHT_FAMILY	yt	yk	ot	ok	55	143.554155231	120.868876003	119.635381774	135.254639378	-23.9187734572	-22.6852792286	-15.6192576044
POSITION	ok	ot	yk	yt	847	2024.72968888	1868.39410375	1885.39961653	1905.88124862	-139.330072359	-156.33558513	-20.4816320901
POSITION	ot	ok	yt	yk	432	1049.85679321	997.45830026	1001.33747853	1005.86890729	-48.5193146771	-52.398492945	-4.53142876004
POSITION	yk	yt	ok	ot	56	133.932890722	126.691642571	125.560889309	129.613290474	-8.37200141297	-7.24124815116	-4.05240116476
POSITION	yt	yk	ot	ok	55	134.638118723	128.522199685	128.33127662	130.430652592	-6.30684210295	-6.11591903788	-2.09937597137
REGISTER	ok	ot	yk	yt	847	1822.42337504	1648.78795917	1576.74658748	1588.15093615	-245.676787559	-173.635415866	-11.4043486682
REGISTER	ot	ok	yt	yk	432	827.066291573	822.568384561	791.319897352	787.935639017	-35.7463942205	-4.49790701135	3.38425833567
REGISTER	yk	yt	ok	ot	56	144.180158381	145.923337148	154.87068491	150.194796598	10.6905265289	1.74317876676	4.67588831222
REGISTER	yt	yk	ot	ok	55	124.971150327	123.627889476	129.142754215	129.646950926	4.17160388747	-1.34326085176	-0.504196710875
DY	ok	ot	yk	yt	847	94.688776818	75.6144886559	72.4090168646	72.8062869655	-22.2797599534	-19.0742881621	-0.397270100943
DY	ot	ok	yt	yk	432	50.6415134052	46.0240562578	45.8445932179	45.8039405522	-4.7969201873	-4.61745714742	0.0406526656423
DY	yk	yt	ok	ot	56	7.76147462881	7.43715097832	7.35508923486	7.51900298597	-0.406385393951	-0.324323650491	-0.163913751106
DY	yt	yk	ot	ok	55	2.83355599336	1.65680283893	0.986076143128	2.1160781298	-1.84747985023	-1.17675315443	-1.13000198668
