held_physical_folio	prefix	core	tail	page_host	held_source_groups	exact_cell_seen_outside_folio	prefix_seen_outside_folio	tail_seen_outside_folio	factor_combination_predictable	whole_form_frequency_predictable	novel_factor_only_prediction	claim_state	semantic_role
f103	EMPTY	pch	EMPTY	pch	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f113	EMPTY	pch	EMPTY	pch	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f22	EMPTY	pch	EMPTY	pch	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f50	EMPTY	pch	EMPTY	pch	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f6	EMPTY	pch	EMPTY	pch	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f8	EMPTY	pch	EMPTY	pch	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f82	EMPTY	pch	EMPTY	pch	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f95	EMPTY	pch	EMPTY	pch	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f104	EMPTY	pch	d	pchd	2	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f112	EMPTY	pch	d	pchd	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f114	EMPTY	pch	d	pchd	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f26	EMPTY	pch	d	pchd	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f85	EMPTY	pch	d	pchd	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f103	EMPTY	pch	e	pche	2	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f104	EMPTY	pch	e	pche	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f111	EMPTY	pch	e	pche	3	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f112	EMPTY	pch	e	pche	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f26	EMPTY	pch	e	pche	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f40	EMPTY	pch	e	pche	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f66	EMPTY	pch	e	pche	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f75	EMPTY	pch	e	pche	3	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f79	EMPTY	pch	e	pche	2	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f81	EMPTY	pch	e	pche	3	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f82	EMPTY	pch	e	pche	2	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f85	EMPTY	pch	e	pche	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f103	EMPTY	pch	ed	pched	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f104	EMPTY	pch	ed	pched	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f108	EMPTY	pch	ed	pched	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f111	EMPTY	pch	ed	pched	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f114	EMPTY	pch	ed	pched	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f40	EMPTY	pch	ed	pched	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f75	EMPTY	pch	ed	pched	2	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f83	EMPTY	pch	ed	pched	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f86	EMPTY	pch	ed	pched	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f94	EMPTY	pch	ed	pched	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f40	EMPTY	pch	ey	pchey	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f79	EMPTY	pch	ey	pchey	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
f8	EMPTY	pch	ey	pchey	1	1	1	1	1	1	0	COMPUTATIONAL_POSTSELECTED_NOT_PROSPECTIVE	UNASSIGNED
