target_register	train_groups	test_groups	model	test_bits	gain_vs_other_register_prevalence_bits	semantic_role
HERBAL_A	11681	3911	REGISTER_ONLY	4596.37448226	0	UNASSIGNED
HERBAL_A	11681	3911	FIRST_CHAR	4360.43259268	235.941889582	UNASSIGNED
HERBAL_A	11681	3911	FINAL_CHAR	2033.51395126	2562.86053101	UNASSIGNED
HERBAL_A	11681	3911	FINAL_TWO	2086.37529767	2509.9991846	UNASSIGNED
HERBAL_A	11681	3911	HOST_LENGTH	4442.67828626	153.696196001	UNASSIGNED
HERBAL_A	11681	3911	EXACT_PAGE_HOST	2836.96959507	1759.4048872	UNASSIGNED
HERBAL_B	14269	1323	REGISTER_ONLY	2212.97794757	0	UNASSIGNED
HERBAL_B	14269	1323	FIRST_CHAR	1979.57643475	233.401512827	UNASSIGNED
HERBAL_B	14269	1323	FINAL_CHAR	657.731295401	1555.24665217	UNASSIGNED
HERBAL_B	14269	1323	FINAL_TWO	664.383182107	1548.59476547	UNASSIGNED
HERBAL_B	14269	1323	HOST_LENGTH	2026.47770433	186.500243245	UNASSIGNED
HERBAL_B	14269	1323	EXACT_PAGE_HOST	853.932890366	1359.04505721	UNASSIGNED
OTHER_A	14608	984	REGISTER_ONLY	1260.77482499	0	UNASSIGNED
OTHER_A	14608	984	FIRST_CHAR	1251.50353364	9.27129135472	UNASSIGNED
OTHER_A	14608	984	FINAL_CHAR	578.269194488	682.505630502	UNASSIGNED
OTHER_A	14608	984	FINAL_TWO	570.5727209	690.202104091	UNASSIGNED
OTHER_A	14608	984	HOST_LENGTH	1160.21598383	100.558841161	UNASSIGNED
OTHER_A	14608	984	EXACT_PAGE_HOST	729.373934491	531.400890499	UNASSIGNED
OTHER_B	11073	4519	REGISTER_ONLY	7282.81880659	0	UNASSIGNED
OTHER_B	11073	4519	FIRST_CHAR	6361.9750243	920.843782293	UNASSIGNED
OTHER_B	11073	4519	FINAL_CHAR	1317.50894757	5965.30985902	UNASSIGNED
OTHER_B	11073	4519	FINAL_TWO	1352.83484779	5929.9839588	UNASSIGNED
OTHER_B	11073	4519	HOST_LENGTH	6504.71691334	778.101893253	UNASSIGNED
OTHER_B	11073	4519	EXACT_PAGE_HOST	2052.7133166	5230.10548999	UNASSIGNED
STARS_RECIPE_B	10737	4855	REGISTER_ONLY	7985.66553879	0	UNASSIGNED
STARS_RECIPE_B	10737	4855	FIRST_CHAR	7186.46061313	799.204925666	UNASSIGNED
STARS_RECIPE_B	10737	4855	FINAL_CHAR	2299.8066869	5685.85885189	UNASSIGNED
STARS_RECIPE_B	10737	4855	FINAL_TWO	2247.75553242	5737.91000637	UNASSIGNED
STARS_RECIPE_B	10737	4855	HOST_LENGTH	7325.47912404	660.186414753	UNASSIGNED
STARS_RECIPE_B	10737	4855	EXACT_PAGE_HOST	3188.23968473	4797.42585406	UNASSIGNED
